relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	And-dffe_60_condor-3	And-dffe_60_Mountains-16	And-dffe_60_condor-3_1498	60	And-dffe_60_Mountains-16_1366	60	0	Andean condor	Mountains	100.0
location	Par-e7cb_111_kea-10	Par-e7cb_111_mountain-19	Par-e7cb_111_kea-10_5137	111	Par-e7cb_111_mountain-19_4527	111	0	kea	mountains	100.0
location	Gre5442_4_bustards-4	Gre5442_4_farmland-9	Gre5442_4_bustards-4_5044	4	Gre5442_4_farmland-9_4509	4	0	great bustard	farmland	100.0
location	Sno-0a8f_115_owl-36	Sno-0a8f_115_taiga-31	Sno-0a8f_115_owl-36_5053	115	Sno-0a8f_115_taiga-31_4534	115	0	great grey owl	taiga	100.0
location	Eur-930e_25_moorhen-22	Eur-930e_25_lakes-12	Eur-930e_25_moorhen-22_100	25	Eur-930e_25_lakes-12_4522	25	0	Common moorhen	lakes and ponds	100.0
location	Sno-0a8f_115_owl-66	Sno-0a8f_115_taiga-31	Sno-0a8f_115_owl-66_5053	115	Sno-0a8f_115_taiga-31_4534	115	0	great grey owl	taiga	100.0
location	Sno-0a8f_115_owl-26	Sno-0a8f_115_taiga-31	Sno-0a8f_115_owl-26_5053	115	Sno-0a8f_115_taiga-31_4534	115	0	great grey owl	taiga	100.0
location	Son-bd44_24_cuckoo-7	Son-bd44_24_marsh-21	Son-bd44_24_cuckoo-7_88	24	Son-bd44_24_marsh-21_3807	24	0	Common cuckoo	marsh	100.0
location	Cra-bfc4_100_cranes-13	Cra-bfc4_100_wetland-30	Cra-bfc4_100_cranes-13_85	100	Cra-bfc4_100_wetland-30_4542	100	0	Common crane	wetlands	100.0
location	Cra-bfc4_100_cranes-27	Cra-bfc4_100_wetland-30	Cra-bfc4_100_cranes-27_85	100	Cra-bfc4_100_wetland-30_4542	100	0	Common crane	wetlands	100.0
location	Cra-bfc4_100_cranes-35	Cra-bfc4_100_wetland-30	Cra-bfc4_100_cranes-35_85	100	Cra-bfc4_100_wetland-30_4542	100	0	Common crane	wetlands	100.0
location	Cra-bfc4_100_cranes-55	Cra-bfc4_100_wetland-30	Cra-bfc4_100_cranes-55_85	100	Cra-bfc4_100_wetland-30_4542	100	0	Common crane	wetlands	100.0
location	Com-0bc9_51_cranes-8	Com-0bc9_51_wetlands-18	Com-0bc9_51_cranes-8_85	51	Com-0bc9_51_wetlands-18_4542	51	0	Common crane	wetlands	100.0
location	Sno-0a8f_115_owl-12	Sno-0a8f_115_taiga-31	Sno-0a8f_115_owl-12_5053	115	Sno-0a8f_115_taiga-31_4534	115	0	great grey owl	taiga	100.0
location	Com-0bc9_51_cranes-8	Com-0bc9_51_swamps-14	Com-0bc9_51_cranes-8_85	51	Com-0bc9_51_swamps-14_3808	51	0	Common crane	swamp	100.0
location	Kea-483e_44_kea-5	Kea-483e_44_mountains-26	Kea-483e_44_kea-5_5137	44	Kea-483e_44_mountains-26_4527	44	0	kea	mountains	100.0
location	Ant79a2_18_penguins-11	Ant79a2_18_ocean-15	Ant79a2_18_penguins-11_5142	18	Ant79a2_18_ocean-15_4530	18	0	king penguin	open ocean	100.0
location	Sno-0a8f_453_ptarmigan-56	Sno-0a8f_453_mountain-96	Sno-0a8f_453_ptarmigan-56_5427	453	Sno-0a8f_453_mountain-96_4527	453	0	ptarmigan	mountains	100.0
location	Kin1cdf_25_penguins-11	Kin1cdf_25_ocean-15	Kin1cdf_25_penguins-11_5142	25	Kin1cdf_25_ocean-15_4530	25	0	king penguin	open ocean	100.0
location	Com-0bc9_51_cranes-8	Com-0bc9_51_bogs-16	Com-0bc9_51_cranes-8_85	51	Com-0bc9_51_bogs-16_4511	51	0	Common crane	bog	100.0
location	Lite4fd_5_egrets-2	Lite4fd_5_coastal-7	Lite4fd_5_egrets-2_3871	5	Lite4fd_5_coastal-7_1353	5	0	little egret	Coastal	100.0
location	Lit-0303_110_egret-7	Lit-0303_110_Marsh-16	Lit-0303_110_egret-7_3871	110	Lit-0303_110_Marsh-16_36	110	0	little egret	Marsh	100.0
location	Lit-0303_48_egret-3	Lit-0303_48_marshes-24	Lit-0303_48_egret-3_3871	48	Lit-0303_48_marshes-24_3807	48	0	little egret	marsh	100.0
location	Lit-f642_69_owls-2	Lit-f642_69_farmland-28	Lit-f642_69_owls-2_5188	69	Lit-f642_69_farmland-28_4509	69	0	little owl	farmland	100.0
location	Lon-b0af_207_owls-23	Lon-b0af_207_farmland-12	Lon-b0af_207_owls-23_5193	207	Lon-b0af_207_farmland-12_4509	207	0	long-eared owl	farmland	100.0
location	Lon-b0af_217_owl-57	Lon-b0af_217_taiga-12	Lon-b0af_217_owl-57_5193	217	Lon-b0af_217_taiga-12_4534	217	0	long-eared owl	taiga	100.0
location	Lon-b0af_217_owl-37	Lon-b0af_217_taiga-12	Lon-b0af_217_owl-37_5193	217	Lon-b0af_217_taiga-12_4534	217	0	long-eared owl	taiga	100.0
location	Whi-b4c3_368_mallard-28	Whi-b4c3_368_wetlands-39	Whi-b4c3_368_mallard-28_3873	368	Whi-b4c3_368_wetlands-39_4542	368	0	mallard	wetlands	100.0
location	Mer-5a4a_40_merlin-14	Mer-5a4a_40_taiga-10	Mer-5a4a_40_merlin-14_3876	40	Mer-5a4a_40_taiga-10_4534	40	0	merlin	taiga	100.0
location	Mer-5a4a_40_merlin-11	Mer-5a4a_40_taiga-10	Mer-5a4a_40_merlin-11_3876	40	Mer-5a4a_40_taiga-10_4534	40	0	merlin	taiga	100.0
