source	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	25.25	1.11	10.78	0.11	12.26	25.25	25.25	Passerine__order	167
adaptation_topic	0.02	32.15	12.5	0.0	18.68	14.77	21.88	Passerine__order	273
free_topic	0.0	0.07	44.12	0.0	22.99	13.16	19.67	Passerine__order	952
location_comment	0.02	0.07	8.33	55.1	6.05	14.07	16.35	Passerine__order	124
location_topic	0.0	0.0	0.12	0.0	84.79	2.79	12.3	Passerine__order	309
taxongroup_comment	0.0	0.0	0.19	0.0	0.18	87.21	12.42	Passerine__order	332
taxongroup_topic	0.0	0.0	0.01	0.0	0.17	2.98	96.85	Passerine__order	300
