feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj< ...,0.334,0.419,0.166,0.694,11,Passerine__order,location_comment
nmod<cop> be,0.332,0.422,0.452,0.261,3,Passerine__order,location_comment
acl:relcl>obl>amod> ...,0.33,0.425,0.109,0.797,3,Passerine__order,location_comment
compound<det> the,0.323,0.436,0.483,0.225,4,Passerine__order,location_comment
compound< ...,0.318,0.442,0.558,0.151,14,Passerine__order,location_comment
nmod<conj<conj> ...,0.316,0.446,0.312,0.452,5,Passerine__order,location_comment
conj<cop> be,-0.309,0.457,-0.282,0.499,3,Passerine__order,location_comment
compound<conj< ree,0.306,0.461,0.412,0.31,2,Passerine__order,location_comment
nmod<case> for,0.304,0.464,0.247,0.555,2,Passerine__order,location_comment
compound<amod> ...,0.304,0.465,0.156,0.712,5,Passerine__order,location_comment
compound<nmod<conj> ...,-0.295,0.477,-0.312,0.452,3,Passerine__order,location_comment
conj<conj>nmod> ...,0.295,0.479,0.452,0.261,3,Passerine__order,location_comment
compound<nmod< ...,-0.293,0.481,-0.218,0.604,8,Passerine__order,location_comment
conj< woodland,-0.293,0.481,-0.218,0.604,4,Passerine__order,location_comment
det> a,0.289,0.488,0.247,0.555,2,Passerine__order,location_comment
conj<obl<advmod> ...,-0.279,0.503,-0.247,0.555,1,Passerine__order,location_comment
conj<obl<acl< warbler,-0.279,0.503,-0.504,0.203,2,Passerine__order,location_comment
conj<obj< ...,-0.273,0.513,-0.247,0.555,1,Passerine__order,location_comment
obl<mark> ...,0.273,0.513,0.327,0.429,4,Passerine__order,location_comment
nmod<case> such,0.268,0.522,0.378,0.356,2,Passerine__order,location_comment
compound<det> ...,0.26,0.535,0.156,0.712,3,Passerine__order,location_comment
obl<advcl< ...,-0.259,0.535,-0.248,0.554,5,Passerine__order,location_comment
compound<amod> western,0.258,0.537,0.247,0.555,2,Passerine__order,location_comment
compound< harrier,0.257,0.539,0.247,0.555,2,Passerine__order,location_comment
nmod<nmod>case> in,0.255,0.543,0.082,0.846,2,Passerine__order,location_comment
nmod<obl<nsubj:pass> ...,0.246,0.558,0.016,0.971,3,Passerine__order,location_comment
cc> or,-0.243,0.563,-0.169,0.689,3,Passerine__order,location_comment
conj<case> ...,0.241,0.565,0.156,0.712,6,Passerine__order,location_comment
compound<cc> ...,0.229,0.585,0.247,0.555,1,Passerine__order,location_comment
appos> ...,0.228,0.588,0.312,0.452,5,Passerine__order,location_comment
compound<nmod>case> in,0.224,0.594,0.247,0.555,2,Passerine__order,location_comment
compound< warbler,0.223,0.595,0.069,0.872,7,Passerine__order,location_comment
compound<obl<advmod> ...,0.223,0.595,0.247,0.555,3,Passerine__order,location_comment
conj<conj>amod> open,0.216,0.607,0.412,0.31,2,Passerine__order,location_comment
obl<advmod> usually,0.212,0.614,0.378,0.356,2,Passerine__order,location_comment
compound<nmod<case> ...,-0.206,0.624,-0.206,0.624,4,Passerine__order,location_comment
nmod<obl< favour,0.206,0.625,0.247,0.555,2,Passerine__order,location_comment
cc> and,0.181,0.668,-0.055,0.898,8,Passerine__order,location_comment
nmod>nmod> ...,0.179,0.672,0.247,0.555,3,Passerine__order,location_comment
obl< ...,0.178,0.673,0.277,0.506,19,Passerine__order,location_comment
obl<nsubj:pass> it,0.174,0.68,0.282,0.499,3,Passerine__order,location_comment
case> include,0.169,0.69,0.156,0.712,6,Passerine__order,location_comment
conj<obl<advmod> usually,-0.167,0.692,-0.252,0.547,2,Passerine__order,location_comment
