rel_role	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	1.0	0.0	0.0	0.002	0.0	0.0	0.001	Bird__class	212
adaptation_topic	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Bird__class	300
free_topic	0.0	0.0	1.0	0.004	0.0	0.0	0.0	Bird__class	994
location_comment	0.002	0.0	0.004	1.0	0.0	0.0	0.014	Bird__class	242
location_topic	0.0	0.0	0.0	0.0	1.0	0.0	0.0	Bird__class	383
taxongroup_comment	0.0	0.0	0.0	0.0	0.0	1.0	0.0	Bird__class	264
taxongroup_topic	0.001	0.0	0.0	0.014	0.0	0.0	1.0	Bird__class	261
