feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
case> include,0.724,0.042,0.577,0.134,2,Bird__class,adaptation_topic
parataxis<parataxis>amod> ...,0.723,0.043,0.655,0.078,3,Bird__class,adaptation_topic
nmod<conj> one,0.723,0.043,0.577,0.134,2,Bird__class,adaptation_topic
appos>compound> Falco,0.722,0.043,0.63,0.094,2,Bird__class,adaptation_topic
conj<compound> ...,0.72,0.044,0.764,0.027,5,Bird__class,adaptation_topic
nsubj:pass<obl>case> in,0.719,0.044,0.577,0.134,5,Bird__class,adaptation_topic
conj> scavenger,0.716,0.046,0.63,0.094,2,Bird__class,adaptation_topic
compound<appos<det> ...,-0.715,0.046,-0.577,0.134,1,Bird__class,adaptation_topic
case> to,0.713,0.047,0.577,0.134,4,Bird__class,adaptation_topic
conj<conj>amod> eared,0.712,0.048,0.756,0.03,4,Bird__class,adaptation_topic
amod> Eurasian,-0.71,0.048,-0.878,0.004,19,Bird__class,adaptation_topic
nsubj<obl>nmod> migration,0.71,0.048,0.577,0.134,2,Bird__class,adaptation_topic
advmod>advmod> ...,0.707,0.05,0.63,0.094,2,Bird__class,adaptation_topic
nmod<nsubj< undertake,0.706,0.05,0.577,0.134,3,Bird__class,adaptation_topic
conj<nmod> tawny,0.705,0.051,0.577,0.134,3,Bird__class,adaptation_topic
conj> owl,0.704,0.051,0.6,0.116,9,Bird__class,adaptation_topic
nsubj<nmod>case> in,0.704,0.051,0.674,0.067,6,Bird__class,adaptation_topic
nmod<obl<nsubj> ...,0.702,0.052,0.577,0.134,3,Bird__class,adaptation_topic
compound<appos<nsubj< ...,-0.7,0.053,-0.577,0.134,2,Bird__class,adaptation_topic
nsubj<obl>nmod> ...,0.7,0.053,0.577,0.134,3,Bird__class,adaptation_topic
nsubj< territorial,0.696,0.055,0.577,0.134,7,Bird__class,adaptation_topic
nmod<amod> ...,0.691,0.058,0.109,0.797,11,Bird__class,adaptation_topic
nsubj<conj> ...,0.691,0.058,0.824,0.012,35,Bird__class,adaptation_topic
appos<appos>amod> golden,0.69,0.058,0.577,0.134,2,Bird__class,adaptation_topic
conj> ...,0.689,0.059,0.561,0.148,20,Bird__class,adaptation_topic
nsubj>amod> ...,0.684,0.061,0.218,0.604,8,Bird__class,adaptation_topic
conj<nsubj<obj> migration,0.684,0.061,0.577,0.134,2,Bird__class,adaptation_topic
nsubj<obl>nmod> range,0.684,0.062,0.577,0.134,2,Bird__class,adaptation_topic
parataxis<conj>amod> ...,0.683,0.062,0.546,0.162,7,Bird__class,adaptation_topic
advmod>advmod> most,0.68,0.064,0.63,0.094,2,Bird__class,adaptation_topic
nsubj> predator,0.679,0.064,0.733,0.039,7,Bird__class,adaptation_topic
conj<nmod>case> of,0.676,0.066,0.655,0.078,9,Bird__class,adaptation_topic
nsubj<advmod> also,0.676,0.066,0.577,0.134,4,Bird__class,adaptation_topic
compound> wood,-0.675,0.066,-0.732,0.039,3,Bird__class,adaptation_topic
conj< eagle,0.674,0.067,0.732,0.039,3,Bird__class,adaptation_topic
conj< ...,0.674,0.067,0.702,0.052,28,Bird__class,adaptation_topic
flat> virginianus,-0.673,0.067,-0.63,0.094,2,Bird__class,adaptation_topic
acl:relcl>nsubj> which,0.67,0.069,0.546,0.162,5,Bird__class,adaptation_topic
conj<conj>appos> eagle,0.667,0.071,0.733,0.039,3,Bird__class,adaptation_topic
nsubj:pass<cc> and,0.666,0.071,0.577,0.134,2,Bird__class,adaptation_topic
nmod<det> the,0.666,0.072,0.764,0.027,9,Bird__class,adaptation_topic
det> the,0.665,0.072,0.524,0.183,80,Bird__class,adaptation_topic
appos<conj> ...,0.665,0.072,0.63,0.094,2,Bird__class,adaptation_topic
conj>cc> ...,0.664,0.072,0.577,0.134,2,Bird__class,adaptation_topic
nsubj:pass<obl>case> ...,0.663,0.073,0.577,0.134,3,Bird__class,adaptation_topic
conj>compound> eagle,0.662,0.074,0.577,0.134,2,Bird__class,adaptation_topic
obl<obl>case> ...,0.659,0.076,0.764,0.027,3,Bird__class,adaptation_topic
nmod<amod> large,0.658,0.076,0.577,0.134,2,Bird__class,adaptation_topic
nsubj<advmod> not,0.657,0.077,0.577,0.134,2,Bird__class,adaptation_topic
compound<appos<amod> great,-0.655,0.078,-0.577,0.134,2,Bird__class,adaptation_topic
conj>appos> uralensis,-0.654,0.078,-0.63,0.094,2,Bird__class,adaptation_topic
conj<nmod>nmod> ...,0.653,0.079,0.577,0.134,1,Bird__class,adaptation_topic
nmod:poss> ...,0.652,0.08,0.655,0.078,3,Bird__class,adaptation_topic
advmod> ...,0.648,0.082,0.546,0.162,9,Bird__class,adaptation_topic
conj< owl,0.648,0.083,0.791,0.019,9,Bird__class,adaptation_topic
nsubj<advcl>obj> ...,0.647,0.083,0.733,0.039,4,Bird__class,adaptation_topic
conj<case> as,0.646,0.083,0.327,0.429,4,Bird__class,adaptation_topic
nmod> migration,0.646,0.084,0.63,0.094,2,Bird__class,adaptation_topic
nmod<obl< ...,0.643,0.085,0.577,0.134,6,Bird__class,adaptation_topic
conj<appos<nsubj> predator,0.642,0.086,0.756,0.03,2,Bird__class,adaptation_topic
nmod<nsubj>appos> ...,0.641,0.087,0.577,0.134,3,Bird__class,adaptation_topic
compound> grey,-0.64,0.088,-0.536,0.171,5,Bird__class,adaptation_topic
nsubj<conj>aux> ...,-0.639,0.088,-0.577,0.134,1,Bird__class,adaptation_topic
nsubj< ...,0.639,0.088,0.233,0.578,28,Bird__class,adaptation_topic
compound<appos<case> ...,-0.639,0.088,-0.577,0.134,1,Bird__class,adaptation_topic
compound<appos<amod> ...,-0.639,0.088,-0.577,0.134,4,Bird__class,adaptation_topic
nsubj<det> the,0.639,0.088,0.784,0.021,5,Bird__class,adaptation_topic
conj<conj>appos> ...,0.638,0.089,0.577,0.134,6,Bird__class,adaptation_topic
nsubj< take,0.636,0.09,0.577,0.134,3,Bird__class,adaptation_topic
nsubj<obl>det> ...,0.636,0.09,0.577,0.134,3,Bird__class,adaptation_topic
nsubj:pass<conj>cc> ...,-0.634,0.092,-0.577,0.134,1,Bird__class,adaptation_topic
conj< duck,0.633,0.092,0.577,0.134,2,Bird__class,adaptation_topic
nsubj:pass<obl>case> to,0.629,0.095,0.577,0.134,2,Bird__class,adaptation_topic
obj<nsubj> predator,0.628,0.095,0.385,0.346,7,Bird__class,adaptation_topic
nsubj< crepuscular,0.628,0.095,0.577,0.134,2,Bird__class,adaptation_topic
appos<conj>compound> ...,-0.628,0.096,-0.577,0.134,1,Bird__class,adaptation_topic
amod>advmod> ...,-0.626,0.097,-0.218,0.604,4,Bird__class,adaptation_topic
appos>amod> ...,0.626,0.097,0.709,0.049,7,Bird__class,adaptation_topic
nmod<nsubj<conj> ...,0.625,0.098,0.577,0.134,5,Bird__class,adaptation_topic
nsubj:pass<cc> ...,0.622,0.099,0.577,0.134,1,Bird__class,adaptation_topic
appos<appos> fox,0.622,0.099,0.577,0.134,2,Bird__class,adaptation_topic
compound<obj<nsubj> predator,-0.622,0.099,-0.577,0.134,3,Bird__class,adaptation_topic
appos> predator,-0.622,0.1,-0.756,0.03,2,Bird__class,adaptation_topic
nsubj<nmod>case> of,0.621,0.1,0.77,0.025,10,Bird__class,adaptation_topic
appos<conj>cc> and,0.618,0.103,0.639,0.088,5,Bird__class,adaptation_topic
nsubj< nocturnal,0.616,0.104,0.577,0.134,5,Bird__class,adaptation_topic
nsubj< predator,0.615,0.104,0.327,0.429,8,Bird__class,adaptation_topic
obl< ...,0.615,0.105,0.664,0.073,12,Bird__class,adaptation_topic
conj<conj>amod> red,0.614,0.106,0.577,0.134,3,Bird__class,adaptation_topic
conj<nmod>det> the,0.614,0.106,0.577,0.134,3,Bird__class,adaptation_topic
nsubj<obl>advmod> ...,0.613,0.106,0.655,0.078,3,Bird__class,adaptation_topic
conj<case> such,0.612,0.107,0.495,0.212,10,Bird__class,adaptation_topic
conj<conj>amod> snowy,0.611,0.108,0.577,0.134,2,Bird__class,adaptation_topic
compound<appos<appos> owl,0.61,0.108,0.577,0.134,2,Bird__class,adaptation_topic
appos<nsubj> ...,-0.608,0.109,-0.756,0.03,2,Bird__class,adaptation_topic
compound<conj>cc> and,-0.608,0.109,-0.577,0.134,3,Bird__class,adaptation_topic
nmod> ...,0.606,0.111,0.185,0.66,16,Bird__class,adaptation_topic
compound<conj<conj> ...,0.6,0.116,0.577,0.134,7,Bird__class,adaptation_topic
nmod<det> ...,0.596,0.119,0.577,0.134,1,Bird__class,adaptation_topic
acl:relcl>nsubj> that,0.596,0.119,0.412,0.31,2,Bird__class,adaptation_topic
nsubj<advmod> ...,0.595,0.12,0.245,0.558,16,Bird__class,adaptation_topic
obj<conj> ...,0.593,0.121,0.192,0.648,4,Bird__class,adaptation_topic
compound<conj<conj> hawk,0.592,0.122,0.577,0.134,2,Bird__class,adaptation_topic
nmod<amod> territorial,0.592,0.122,0.577,0.134,2,Bird__class,adaptation_topic
nsubj<conj>aux> may,0.591,0.123,0.63,0.094,2,Bird__class,adaptation_topic
nmod<nsubj<obj> ...,0.591,0.123,0.577,0.134,3,Bird__class,adaptation_topic
conj<conj>amod> ...,0.591,0.123,0.546,0.162,12,Bird__class,adaptation_topic
appos< ...,-0.59,0.123,-0.536,0.171,5,Bird__class,adaptation_topic
nsubj<obl>case> over,0.59,0.124,0.577,0.134,2,Bird__class,adaptation_topic
obl< territorial,0.588,0.125,0.577,0.134,2,Bird__class,adaptation_topic
compound<appos<nsubj< predator,-0.586,0.127,-0.577,0.134,2,Bird__class,adaptation_topic
flat> ...,-0.586,0.127,-0.577,0.134,1,Bird__class,adaptation_topic
appos<cop> be,0.584,0.129,0.632,0.093,5,Bird__class,adaptation_topic
conj< falcon,0.583,0.13,0.729,0.04,4,Bird__class,adaptation_topic
nsubj<nmod>amod> ...,0.58,0.132,0.514,0.192,7,Bird__class,adaptation_topic
obj<advcl>nsubj> raven,-0.579,0.132,-0.577,0.134,2,Bird__class,adaptation_topic
nmod<nsubj<conj> one,0.578,0.134,0.577,0.134,2,Bird__class,adaptation_topic
nsubj:pass< find,0.574,0.137,0.577,0.134,2,Bird__class,adaptation_topic
compound<appos<appos> ...,0.572,0.138,0.577,0.134,4,Bird__class,adaptation_topic
conj<nmod> ...,0.571,0.139,0.548,0.16,7,Bird__class,adaptation_topic
conj<conj>amod> -tailed,0.568,0.142,0.577,0.134,2,Bird__class,adaptation_topic
