feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<nsubj<conj> ...,0.885,0.003,0.436,0.28,7,Insect__class,location_topic
conj<case> include,0.866,0.005,0.577,0.134,2,Insect__class,location_topic
conj<conj> beetle,0.861,0.006,0.577,0.134,2,Insect__class,location_topic
nsubj<det> a,0.859,0.006,0.577,0.134,3,Insect__class,location_topic
det> the,0.846,0.008,0.786,0.021,27,Insect__class,location_topic
nsubj<det> ...,0.825,0.012,0.577,0.134,1,Insect__class,location_topic
conj<conj> ...,0.818,0.013,0.577,0.134,15,Insect__class,location_topic
case> include,0.818,0.013,0.756,0.03,2,Insect__class,location_topic
conj< ...,0.796,0.018,0.218,0.604,7,Insect__class,location_topic
nsubj< ...,0.788,0.02,0.327,0.429,10,Insect__class,location_topic
det> ...,0.787,0.021,0.756,0.03,2,Insect__class,location_topic
compound< plague,0.78,0.022,0.732,0.039,3,Insect__class,location_topic
obl< ...,0.754,0.031,0.764,0.027,8,Insect__class,location_topic
nmod<obj< ...,0.745,0.034,0.732,0.039,3,Insect__class,location_topic
case> ...,0.739,0.036,0.619,0.102,5,Insect__class,location_topic
nsubj<advmod> ...,0.733,0.039,0.577,0.134,3,Insect__class,location_topic
compound<conj> ...,0.719,0.044,0.655,0.078,5,Insect__class,location_topic
conj>cc> and,0.698,0.054,0.784,0.021,5,Insect__class,location_topic
nmod<nmod>case> such,0.69,0.058,0.577,0.134,3,Insect__class,location_topic
nmod<nmod>conj> ...,0.687,0.06,0.577,0.134,7,Insect__class,location_topic
obl<cop> be,0.647,0.083,0.577,0.134,3,Insect__class,location_topic
nsubj<nmod>case> ...,0.644,0.085,0.577,0.134,3,Insect__class,location_topic
conj<nmod< ...,0.643,0.085,0.546,0.162,4,Insect__class,location_topic
compound> spot,-0.63,0.094,-0.62,0.101,3,Insect__class,location_topic
case> in,0.622,0.1,0.62,0.101,3,Insect__class,location_topic
case> of,0.617,0.103,0.791,0.019,11,Insect__class,location_topic
nmod<nmod> ...,0.614,0.105,0.709,0.049,8,Insect__class,location_topic
case>fixed> as,0.606,0.111,0.62,0.101,3,Insect__class,location_topic
nmod< insect,0.601,0.115,0.62,0.101,3,Insect__class,location_topic
nsubj<conj> ...,0.592,0.122,0.577,0.134,8,Insect__class,location_topic
obj< ...,-0.59,0.123,-0.591,0.123,4,Insect__class,location_topic
nsubj<cop> be,0.585,0.128,0.218,0.604,6,Insect__class,location_topic
nmod<det> the,0.578,0.133,0.514,0.192,3,Insect__class,location_topic
compound<conj>cc> and,0.555,0.153,0.577,0.134,3,Insect__class,location_topic
case> such,0.542,0.165,0.507,0.2,3,Insect__class,location_topic
nmod<amod> ...,0.541,0.166,0.6,0.116,7,Insect__class,location_topic
nmod<obj<nsubj> ...,0.534,0.173,0.412,0.31,1,Insect__class,location_topic
nsubj<nmod>case> of,0.531,0.175,0.577,0.134,2,Insect__class,location_topic
case> by,0.525,0.181,0.577,0.134,2,Insect__class,location_topic
nmod<obj<obl> ...,-0.513,0.193,-0.577,0.134,2,Insect__class,location_topic
compound< ...,0.506,0.201,0.592,0.122,8,Insect__class,location_topic
nmod<det> ...,0.501,0.206,0.577,0.134,1,Insect__class,location_topic
conj<case> ...,0.498,0.209,0.126,0.766,2,Insect__class,location_topic
compound<appos>nummod> ...,-0.496,0.211,-0.592,0.122,3,Insect__class,location_topic
conj> ...,0.496,0.211,0.268,0.521,9,Insect__class,location_topic
compound<nsubj< be,-0.466,0.245,-0.756,0.03,2,Insect__class,location_topic
nmod< ...,0.462,0.249,0.483,0.225,9,Insect__class,location_topic
appos< Coccinella,0.461,0.25,0.247,0.555,2,Insect__class,location_topic
obl<nsubj> ...,0.458,0.253,0.405,0.319,5,Insect__class,location_topic
nmod<case> ...,0.45,0.263,0.289,0.488,4,Insect__class,location_topic
nmod<amod> first,0.44,0.275,0.378,0.356,2,Insect__class,location_topic
nmod<conj>cc> and,-0.421,0.299,-0.289,0.488,4,Insect__class,location_topic
appos< ...,0.416,0.305,0.247,0.555,1,Insect__class,location_topic
nmod<obj< publish,0.409,0.314,0.504,0.203,2,Insect__class,location_topic
compound<nsubj< ...,-0.404,0.321,-0.632,0.093,4,Insect__class,location_topic
appos> Schistocerca,0.403,0.322,0.592,0.122,5,Insect__class,location_topic
