source	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	69.77	0.1	5.86	0.0	0.0	18.05	6.22	Insect__class	108
adaptation_topic	0.0	60.95	8.39	0.0	0.01	11.92	18.73	Insect__class	124
free_topic	0.0	0.09	57.52	0.0	0.0	24.46	17.92	Insect__class	950
location_comment	1.79	10.59	21.8	21.8	0.41	21.8	21.8	Insect__class	79
location_topic	0.04	0.93	17.97	0.0	47.69	17.21	16.16	Insect__class	97
taxongroup_comment	0.01	0.01	5.17	0.0	0.0	78.02	16.79	Insect__class	449
taxongroup_topic	0.0	0.1	8.07	0.0	0.0	20.96	70.86	Insect__class	458
