feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<case> such,0.79,0.02,0.655,0.078,21,Insect__class,taxongroup_topic
conj<conj> ...,0.789,0.02,0.748,0.033,187,Insect__class,taxongroup_topic
nsubj<amod> large,0.787,0.021,0.577,0.134,2,Insect__class,taxongroup_topic
conj< fly,0.786,0.021,0.546,0.162,4,Insect__class,taxongroup_topic
nmod< species,0.783,0.022,0.846,0.008,14,Insect__class,taxongroup_topic
conj<nmod<amod> ...,0.782,0.022,0.764,0.027,10,Insect__class,taxongroup_topic
nmod> species,0.781,0.022,0.756,0.03,2,Insect__class,taxongroup_topic
nmod>det> ...,0.781,0.022,0.577,0.134,1,Insect__class,taxongroup_topic
nsubj< ...,0.781,0.022,0.708,0.05,37,Insect__class,taxongroup_topic
case> ...,0.78,0.022,0.66,0.075,17,Insect__class,taxongroup_topic
nmod< behavior,0.78,0.023,0.577,0.134,2,Insect__class,taxongroup_topic
nsubj<acl:relcl>obl> ...,0.776,0.024,0.577,0.134,1,Insect__class,taxongroup_topic
nmod>det> the,0.774,0.024,0.327,0.429,11,Insect__class,taxongroup_topic
obl<advmod> heavily,0.774,0.024,0.756,0.03,2,Insect__class,taxongroup_topic
case> on,0.773,0.024,0.674,0.067,5,Insect__class,taxongroup_topic
conj< Lepidoptera,0.771,0.025,0.577,0.134,3,Insect__class,taxongroup_topic
compound> desert,-0.769,0.026,-0.577,0.134,6,Insect__class,taxongroup_topic
nmod<amod> many,0.768,0.026,0.764,0.027,3,Insect__class,taxongroup_topic
conj> lepidopteran,0.767,0.026,0.62,0.101,3,Insect__class,taxongroup_topic
obj<nsubj> Scarabaeoidea,0.765,0.027,0.577,0.134,2,Insect__class,taxongroup_topic
nsubj:pass<conj> ...,0.764,0.027,0.764,0.027,6,Insect__class,taxongroup_topic
compound<compound> ...,0.761,0.028,0.682,0.062,12,Insect__class,taxongroup_topic
nmod<case> in,0.759,0.029,0.481,0.227,6,Insect__class,taxongroup_topic
obj< use,0.759,0.029,0.577,0.134,2,Insect__class,taxongroup_topic
nmod>nmod> ...,0.758,0.029,0.764,0.027,7,Insect__class,taxongroup_topic
nsubj<obl>case> on,0.758,0.029,0.577,0.134,3,Insect__class,taxongroup_topic
conj<case> like,0.754,0.031,0.577,0.134,3,Insect__class,taxongroup_topic
nsubj<amod>advmod> ...,0.753,0.031,0.577,0.134,4,Insect__class,taxongroup_topic
conj< grasshopper,0.75,0.032,0.655,0.078,5,Insect__class,taxongroup_topic
nsubj<advmod> usually,0.746,0.033,0.577,0.134,2,Insect__class,taxongroup_topic
nsubj< species,0.745,0.034,0.577,0.134,2,Insect__class,taxongroup_topic
conj<nmod< insects,0.744,0.034,0.577,0.134,10,Insect__class,taxongroup_topic
nmod<obl<obl> ...,0.743,0.035,0.764,0.027,3,Insect__class,taxongroup_topic
conj<nmod< group,0.743,0.035,0.655,0.078,3,Insect__class,taxongroup_topic
