source	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	43.5	0.61	18.1	0.53	0.02	20.65	16.59	Monocotyledon__class	47
adaptation_topic	0.0	44.73	0.32	0.0	0.0	10.21	44.73	Monocotyledon__class	144
free_topic	0.0	0.0	62.6	0.04	0.02	13.77	23.57	Monocotyledon__class	938
location_comment	0.0	0.0	7.69	69.15	0.07	8.81	14.27	Monocotyledon__class	145
location_topic	0.0	0.0	5.42	0.16	70.49	5.37	18.57	Monocotyledon__class	105
taxongroup_comment	0.0	0.0	4.78	0.02	0.02	79.99	15.19	Monocotyledon__class	468
taxongroup_topic	0.0	0.0	1.1	0.0	0.0	7.24	91.66	Monocotyledon__class	450
