feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<case> to,0.829,0.011,0.218,0.604,5,Monocotyledon__class,free_topic
compound<appos> natrix,0.828,0.011,0.577,0.134,2,Monocotyledon__class,free_topic
nmod>case> of,0.825,0.012,0.655,0.078,7,Monocotyledon__class,free_topic
nsubj:pass<obl>case> ...,0.824,0.012,0.481,0.227,7,Monocotyledon__class,free_topic
conj<case> include,0.823,0.012,0.756,0.03,4,Monocotyledon__class,free_topic
compound<nmod<det> ...,0.823,0.012,0.577,0.134,1,Monocotyledon__class,free_topic
obl< grow,0.819,0.013,0.756,0.03,2,Monocotyledon__class,free_topic
nmod>case> include,0.819,0.013,0.577,0.134,2,Monocotyledon__class,free_topic
compound<conj<parataxis> ...,-0.817,0.013,-0.577,0.134,3,Monocotyledon__class,free_topic
nmod<obj< avoid,0.817,0.013,0.577,0.134,2,Monocotyledon__class,free_topic
compound<nmod<det> a,0.815,0.014,0.577,0.134,4,Monocotyledon__class,free_topic
obl<nsubj>det> the,0.812,0.014,0.764,0.027,5,Monocotyledon__class,free_topic
obj<cc> and,0.811,0.015,0.218,0.604,5,Monocotyledon__class,free_topic
advmod> not,0.811,0.015,0.655,0.078,3,Monocotyledon__class,free_topic
obl< shed,0.81,0.015,0.756,0.03,6,Monocotyledon__class,free_topic
conj<appos>compound> poa,0.81,0.015,0.577,0.134,2,Monocotyledon__class,free_topic
nsubj:pass<obl>flat> ...,-0.809,0.015,-0.436,0.28,6,Monocotyledon__class,free_topic
conj< ...,0.808,0.015,0.545,0.162,120,Monocotyledon__class,free_topic
nsubj<mark> because,0.807,0.015,0.756,0.03,2,Monocotyledon__class,free_topic
nmod>case> from,0.804,0.016,0.546,0.162,4,Monocotyledon__class,free_topic
nmod>case> as,0.803,0.016,0.577,0.134,2,Monocotyledon__class,free_topic
nmod< seed,0.803,0.016,0.577,0.134,3,Monocotyledon__class,free_topic
nmod<obj< diet,0.803,0.016,0.577,0.134,2,Monocotyledon__class,free_topic
conj< tree,0.803,0.017,0.546,0.162,4,Monocotyledon__class,free_topic
nmod>case> such,0.8,0.017,0.577,0.134,5,Monocotyledon__class,free_topic
acl>obl>det> ...,0.799,0.017,0.577,0.134,1,Monocotyledon__class,free_topic
nsubj< form,0.799,0.017,0.756,0.03,2,Monocotyledon__class,free_topic
nmod>case> ...,0.799,0.017,0.577,0.134,4,Monocotyledon__class,free_topic
nmod<conj<compound> ...,-0.799,0.017,-0.577,0.134,3,Monocotyledon__class,free_topic
conj<obl> ...,0.797,0.018,0.764,0.027,6,Monocotyledon__class,free_topic
nsubj<advcl>mark> ...,0.795,0.018,0.577,0.134,2,Monocotyledon__class,free_topic
nmod<obj< form,0.793,0.019,0.577,0.134,2,Monocotyledon__class,free_topic
conj> leave,0.792,0.019,0.764,0.027,19,Monocotyledon__class,free_topic
compound<list< ...,0.792,0.019,0.577,0.134,1,Monocotyledon__class,free_topic
compound<appos<compound> ...,-0.791,0.019,-0.655,0.078,5,Monocotyledon__class,free_topic
conj< herb,0.785,0.021,0.546,0.162,3,Monocotyledon__class,free_topic
conj<conj> ...,0.784,0.021,0.027,0.949,198,Monocotyledon__class,free_topic
obl<conj>advcl> ...,-0.783,0.022,-0.577,0.134,3,Monocotyledon__class,free_topic
conj< moss,0.783,0.022,0.577,0.134,10,Monocotyledon__class,free_topic
conj< shrub,0.783,0.022,0.577,0.134,3,Monocotyledon__class,free_topic
conj< wetland,0.782,0.022,0.546,0.162,3,Monocotyledon__class,free_topic
nmod< cup,0.78,0.022,0.577,0.134,5,Monocotyledon__class,free_topic
obl<acl:relcl> ...,-0.78,0.022,-0.577,0.134,1,Monocotyledon__class,free_topic
obl< ...,0.775,0.024,0.873,0.005,68,Monocotyledon__class,free_topic
nmod>case> on,0.774,0.024,0.577,0.134,2,Monocotyledon__class,free_topic
det> some,0.774,0.024,0.617,0.103,10,Monocotyledon__class,free_topic
nsubj:pass<obl>case> in,0.773,0.024,0.694,0.056,6,Monocotyledon__class,free_topic
obl< line,0.771,0.025,0.736,0.037,13,Monocotyledon__class,free_topic
conj< bushes,0.77,0.026,0.577,0.134,5,Monocotyledon__class,free_topic
conj<conj> bark,0.765,0.027,0.218,0.604,8,Monocotyledon__class,free_topic
conj<appos>compound> ...,0.764,0.027,0.577,0.134,1,Monocotyledon__class,free_topic
conj< stick,0.762,0.028,0.577,0.134,3,Monocotyledon__class,free_topic
nsubj<mark> when,0.762,0.028,0.756,0.03,6,Monocotyledon__class,free_topic
nsubj< ...,0.76,0.029,0.306,0.46,45,Monocotyledon__class,free_topic
conj> herb,0.759,0.029,0.756,0.03,10,Monocotyledon__class,free_topic
compound<amod> common,0.759,0.029,0.577,0.134,2,Monocotyledon__class,free_topic
compound<nmod>det> the,0.758,0.029,0.764,0.027,6,Monocotyledon__class,free_topic
nmod<nmod:poss> its,0.758,0.029,0.764,0.027,4,Monocotyledon__class,free_topic
obl<conj<aux:pass> be,-0.758,0.029,-0.764,0.027,3,Monocotyledon__class,free_topic
nmod>case> in,0.757,0.03,0.365,0.374,9,Monocotyledon__class,free_topic
nmod<obj< build,0.756,0.03,0.577,0.134,2,Monocotyledon__class,free_topic
nsubj< grow,0.754,0.031,0.764,0.027,4,Monocotyledon__class,free_topic
conj<obl<obl> ...,0.753,0.031,0.577,0.134,11,Monocotyledon__class,free_topic
compound<conj<obj< include,0.753,0.031,0.577,0.134,2,Monocotyledon__class,free_topic
conj<obl<conj> ...,0.752,0.031,0.577,0.134,5,Monocotyledon__class,free_topic
nmod<obl<nmod> ...,-0.752,0.031,-0.577,0.134,4,Monocotyledon__class,free_topic
obl<aux> can,0.752,0.031,0.756,0.03,2,Monocotyledon__class,free_topic
obl< graze,0.752,0.031,0.866,0.005,6,Monocotyledon__class,free_topic
nmod>case> for,0.751,0.032,0.577,0.134,3,Monocotyledon__class,free_topic
conj<cop> be,-0.749,0.032,-0.546,0.162,6,Monocotyledon__class,free_topic
nmod< stem,0.748,0.033,0.577,0.134,3,Monocotyledon__class,free_topic
compound<nmod<obj< ...,0.748,0.033,0.577,0.134,5,Monocotyledon__class,free_topic
nmod<appos>nummod> ...,-0.747,0.033,-0.577,0.134,3,Monocotyledon__class,free_topic
obl<nsubj:pass>det> ...,0.747,0.033,0.577,0.134,1,Monocotyledon__class,free_topic
