relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Blab943_10_whales-5	Blab943_10_ocean-10	Blab943_10_whales-5_2627	10	Blab943_10_ocean-10_4530	10	0	Killer whale	open ocean	100.0
location	Por-f868_13_porpoise-35	Por-f868_13_ocean-31	Por-f868_13_porpoise-35_5080	13	Por-f868_13_ocean-31_4530	13	0	harbour porpoise	open ocean	100.0
location	Por-f868_13_porpoise-16	Por-f868_13_ocean-31	Por-f868_13_porpoise-16_2500	13	Por-f868_13_ocean-31_4530	13	0	Harbour porpoise	open ocean	100.0
location	Por-f868_13_porpoise-25	Por-f868_13_ocean-31	Por-f868_13_porpoise-25_5080	13	Por-f868_13_ocean-31_4530	13	0	harbour porpoise	open ocean	100.0
location	Por-f868_13_porpoise-60	Por-f868_13_ocean-31	Por-f868_13_porpoise-60_5080	13	Por-f868_13_ocean-31_4530	13	0	harbour porpoise	open ocean	100.0
location	Por-f868_13_porpoise-38	Por-f868_13_ocean-31	Por-f868_13_porpoise-38_5080	13	Por-f868_13_ocean-31_4530	13	0	harbour porpoise	open ocean	100.0
location	Bel-4321_92_whale-2	Bel-4321_91_estuaries-6	Bel-4321_92_whale-2_1664	92	Bel-4321_91_estuaries-6_4517	91	1	Beluga whale	estuaries	50.0
location	Bel-4321_488_whales-8	Bel-4321_487_estuary-24	Bel-4321_488_whales-8_4671	488	Bel-4321_487_estuary-24_4517	487	1	beluga whale	estuaries	50.0
location	Spe-c6ef_456_whales-7	Spe-c6ef_455_ocean-11	Spe-c6ef_456_whales-7_5504	456	Spe-c6ef_455_ocean-11_1354	455	1	sperm whale	Deep ocean	50.0
location	Bel-4321_338_whale-2	Bel-4321_337_estuaries-20	Bel-4321_338_whale-2_1664	338	Bel-4321_337_estuaries-20_4517	337	1	Beluga whale	estuaries	50.0
