	kldiv	group	g_N
kldiv_adaptation_comment	1.5706535579745298	Charadriiformes__order	1720
kldiv_adaptation_topic	1.0715907885877098	Charadriiformes__order	1720
kldiv_free_topic	0.36152194519807235	Charadriiformes__order	1720
kldiv_location_comment	1.962550895955886	Charadriiformes__order	1720
kldiv_location_topic	1.079416732886332	Charadriiformes__order	1720
kldiv_taxongroup_comment	0.3335729993237011	Charadriiformes__order	1720
kldiv_taxongroup_topic	0.38225995982030353	Charadriiformes__order	1720
