token	relrole	arcpath	lemma	upos	widx	token
Atl-79fc_234_predator-22	adaptation_comment	conj<advmod>	where	ADV	1	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<nsubj>	it	PRON	2	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<	nest	VERB	3	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<obl>case>	on	ADP	4	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<obl>det>	the	DET	5	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<obl>	tundra	NOUN	6	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<obl>case>	in	ADP	7	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<obl>	the	DET	8	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<obl>advmod>	north	ADV	10	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	nsubj>det>	the	DET	12	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	nsubj>amod>	Arctic	ADJ	13	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	nsubj>	skua	NOUN	14	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	nsubj>appos>cc>	Stercorarius	CCONJ	16	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	nsubj>appos>	parasiticus	NOUN	17	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	cop>	be	AUX	19	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	det>	a	DET	20	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	amod>	terrestrial	ADJ	21	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<conj>cc>	but	CCONJ	24	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<conj>obl>	latitudes	NOUN	27	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<conj>nsubj>	it	PRON	29	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<conj>cop>	be	AUX	30	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<conj>det>	a	DET	31	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<conj>amod>	specialised	VERB	32	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<conj>	kleptoparasite	NOUN	33	Atl-79fc_234_predator-22
Atl-79fc_234_predator-22	adaptation_comment	conj<conj>acl>	concentrate	VERB	35	Atl-79fc_234_predator-22
Atl-79fc_21_predators-9	adaptation_comment	obl<nsubj>	Colony	NOUN	1	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<cop>	be	AUX	2	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<advmod>	mostly	ADV	3	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<case>	on	ADP	4	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<	island	NOUN	5	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	case>	with	ADP	6	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	det>	no	DET	7	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	amod>	terrestrial	ADJ	8	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<conj>cc>	but	CCONJ	11	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<conj>nsubj>	bird	NOUN	13	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<conj>cop>	be	AUX	18	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<conj>case>	at	ADP	19	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<conj>	risk	NOUN	20	Atl-79fc_21_predators-9
Atl-79fc_21_predators-9	adaptation_comment	obl<conj>nmod>	attack	NOUN	22	Atl-79fc_21_predators-9
Atl-79fc_231_predator-12	adaptation_comment	nsubj<advcl>mark>	when	ADV	1	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<advcl>nsubj>	puffin	NOUN	3	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<advcl>aux>	be	AUX	4	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<advcl>	wheel	VERB	5	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<advcl>advmod>	around	ADV	6	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<advcl>obl>	cliff	NOUN	9	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	det>	a	DET	11	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	acl>	concentrate	VERB	13	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	acl>obl>case>	on	ADP	14	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	acl>obl>det>	a	DET	15	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	acl>obl>amod>	single	ADJ	16	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	acl>obl>	bird	NOUN	17	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<	become	VERB	18	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<ccomp>nsubj>	difficult	ADJ	20	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<ccomp>	be	VERB	29	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<ccomp>nsubj>	species	NOUN	37	Atl-79fc_231_predator-12
Atl-79fc_231_predator-12	adaptation_comment	nsubj<ccomp>ccomp>	able	ADJ	56	Atl-79fc_231_predator-12
Atl-79fc_229_predators-24	adaptation_comment	compound>advcl>mark>	when	ADV	1	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>advcl>nsubj>	they	PRON	2	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>advcl>	come	VERB	3	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>advcl>advmod>	ashore	ADV	4	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>nsubj>det>	the	DET	6	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>nsubj>	bird	NOUN	7	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>cop>	be	AUX	8	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>advmod>	still	ADV	9	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>case>	at	ADP	10	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>	risk	NOUN	11	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>conj>cc>	and	CCONJ	12	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>conj>nsubj>	threat	NOUN	15	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>conj>	come	VERB	16	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	compound>conj>obl>	sky	NOUN	19	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	nummod>	103	NUM	22	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	amod>	aerial	ADJ	23	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	nmod>case>	of	ADP	25	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	nmod>det>	the	DET	26	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	nmod>compound>	Atlantic	PROPN	27	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	nmod>	puffin	NOUN	28	Atl-79fc_229_predators-24
Atl-79fc_229_predators-24	adaptation_comment	nsubj<	include	VERB	29	Atl-79fc_229_predators-24
