feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> tern,0.754,0.031,0.733,0.039,3,Charadriiformes__order,free_topic
nmod<case> as,0.754,0.031,0.577,0.134,2,Charadriiformes__order,free_topic
case> such,0.754,0.031,0.436,0.28,9,Charadriiformes__order,free_topic
nmod<obj< ...,0.754,0.031,0.655,0.078,10,Charadriiformes__order,free_topic
nsubj<mark> while,0.754,0.031,0.756,0.03,2,Charadriiformes__order,free_topic
parataxis> ...,0.75,0.032,0.481,0.227,6,Charadriiformes__order,free_topic
conj<conj>compound> sea,0.747,0.033,0.764,0.027,4,Charadriiformes__order,free_topic
nmod< bird,0.747,0.033,0.327,0.429,5,Charadriiformes__order,free_topic
nsubj<obl>det> the,0.747,0.033,0.733,0.039,10,Charadriiformes__order,free_topic
obl<mark> to,0.743,0.035,0.733,0.039,6,Charadriiformes__order,free_topic
conj<obj> ...,0.741,0.035,0.756,0.03,4,Charadriiformes__order,free_topic
nsubj<advmod> why,0.739,0.036,0.577,0.134,2,Charadriiformes__order,free_topic
nsubj<advcl> ...,0.736,0.037,0.549,0.159,15,Charadriiformes__order,free_topic
conj<conj> bowline,0.735,0.038,0.577,0.134,4,Charadriiformes__order,free_topic
conj<conj>compound> ...,0.734,0.038,0.733,0.039,17,Charadriiformes__order,free_topic
conj>nmod>case> ...,0.731,0.04,0.63,0.094,2,Charadriiformes__order,free_topic
nmod<case> in,0.727,0.041,0.577,0.134,5,Charadriiformes__order,free_topic
nmod<nmod>case> from,0.721,0.043,0.655,0.078,3,Charadriiformes__order,free_topic
appos<advmod> ...,0.714,0.047,0.732,0.039,3,Charadriiformes__order,free_topic
appos>compound> Larus,0.71,0.048,0.577,0.134,2,Charadriiformes__order,free_topic
conj< ...,0.709,0.049,0.638,0.089,63,Charadriiformes__order,free_topic
conj> seabird,0.709,0.049,0.577,0.134,3,Charadriiformes__order,free_topic
conj<conj> hitch,0.708,0.049,0.577,0.134,6,Charadriiformes__order,free_topic
appos<appos> ...,0.707,0.05,0.426,0.293,12,Charadriiformes__order,free_topic
obl<aux> will,0.707,0.05,0.756,0.03,2,Charadriiformes__order,free_topic
obl<nsubj:pass>det> ...,0.706,0.05,0.577,0.134,1,Charadriiformes__order,free_topic
conj< stork,0.705,0.051,0.63,0.094,2,Charadriiformes__order,free_topic
appos>det> a,-0.704,0.051,-0.845,0.008,3,Charadriiformes__order,free_topic
nsubj<advcl>obl> ...,0.704,0.051,0.677,0.065,11,Charadriiformes__order,free_topic
nmod<nsubj<aux> have,0.703,0.052,0.577,0.134,2,Charadriiformes__order,free_topic
nsubj<obj>det> the,-0.703,0.052,-0.756,0.03,2,Charadriiformes__order,free_topic
nsubj:pass<xcomp>obl> ...,-0.702,0.052,-0.756,0.03,4,Charadriiformes__order,free_topic
nmod>nmod>appos> oz,0.701,0.053,0.577,0.134,3,Charadriiformes__order,free_topic
obl<advmod> most,0.7,0.053,0.63,0.094,2,Charadriiformes__order,free_topic
conj< raptor,0.699,0.053,0.577,0.134,2,Charadriiformes__order,free_topic
appos<nsubj> ...,0.699,0.054,0.577,0.134,4,Charadriiformes__order,free_topic
compound< chick,0.699,0.054,0.577,0.134,2,Charadriiformes__order,free_topic
conj< heron,0.697,0.055,0.63,0.094,2,Charadriiformes__order,free_topic
nmod<obj< species,0.696,0.055,0.577,0.134,2,Charadriiformes__order,free_topic
case> 's,0.696,0.055,0.109,0.797,6,Charadriiformes__order,free_topic
case> from,0.696,0.055,0.327,0.429,7,Charadriiformes__order,free_topic
case> of,0.695,0.056,0.327,0.429,49,Charadriiformes__order,free_topic
conj<case> by,0.694,0.056,0.764,0.027,5,Charadriiformes__order,free_topic
nmod<case> of,0.692,0.057,0.109,0.797,5,Charadriiformes__order,free_topic
case> in,0.691,0.058,0.436,0.28,8,Charadriiformes__order,free_topic
case> ...,0.69,0.058,0.281,0.5,24,Charadriiformes__order,free_topic
compound> herr,-0.686,0.06,-0.639,0.088,6,Charadriiformes__order,free_topic
amod>conj>cc> and,0.681,0.063,0.591,0.122,6,Charadriiformes__order,free_topic
nmod>nmod>appos> lb,0.68,0.063,0.577,0.134,2,Charadriiformes__order,free_topic
conj< bird,0.678,0.065,0.577,0.134,4,Charadriiformes__order,free_topic
conj<case> include,0.677,0.065,0.655,0.078,6,Charadriiformes__order,free_topic
nsubj<obj> ...,0.676,0.066,0.717,0.046,17,Charadriiformes__order,free_topic
conj<conj>compound> kalmyk,0.675,0.066,0.577,0.134,2,Charadriiformes__order,free_topic
obl<nsubj>nmod> we,0.675,0.066,0.756,0.03,2,Charadriiformes__order,free_topic
compound<conj>cc> and,0.675,0.066,0.764,0.027,4,Charadriiformes__order,free_topic
nsubj<mark> ...,0.674,0.067,0.733,0.039,3,Charadriiformes__order,free_topic
nmod>nmod> g,0.671,0.068,0.577,0.134,5,Charadriiformes__order,free_topic
nsubj>amod> ...,0.668,0.07,0.577,0.134,3,Charadriiformes__order,free_topic
nsubj<obl>case> at,0.668,0.07,0.733,0.039,3,Charadriiformes__order,free_topic
nsubj<nmod>case> in,0.666,0.071,0.577,0.134,3,Charadriiformes__order,free_topic
conj< fox,0.659,0.075,0.577,0.134,2,Charadriiformes__order,free_topic
conj<obj<conj> hitch,0.659,0.075,0.577,0.134,4,Charadriiformes__order,free_topic
obl<nsubj> name,0.658,0.076,0.63,0.094,2,Charadriiformes__order,free_topic
conj< skua,0.658,0.076,0.577,0.134,2,Charadriiformes__order,free_topic
