rel_role	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	1.0	0.021	0.005	0.041	0.005	0.003	0.0	Charadriiformes__order	77
adaptation_topic	0.021	1.0	0.023	0.007	0.293	0.0	0.036	Charadriiformes__order	109
free_topic	0.005	0.023	1.0	0.007	0.003	0.0	0.0	Charadriiformes__order	486
location_comment	0.041	0.007	0.007	1.0	0.001	0.0	0.0	Charadriiformes__order	66
location_topic	0.005	0.293	0.003	0.001	1.0	0.001	0.125	Charadriiformes__order	119
taxongroup_comment	0.003	0.0	0.0	0.0	0.001	1.0	0.001	Charadriiformes__order	449
taxongroup_topic	0.0	0.036	0.0	0.0	0.125	0.001	1.0	Charadriiformes__order	414
