feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
amod> terrestrial,0.483,0.226,0.504,0.203,2,Charadriiformes__order,adaptation_comment
det> ...,0.478,0.231,0.63,0.094,4,Charadriiformes__order,adaptation_comment
conj> ...,0.47,0.24,0.592,0.122,3,Charadriiformes__order,adaptation_comment
compound<conj<conj> occur,0.468,0.242,0.412,0.31,2,Charadriiformes__order,adaptation_comment
amod> annual,0.468,0.242,0.394,0.334,3,Charadriiformes__order,adaptation_comment
amod<case> ...,-0.465,0.245,-0.546,0.162,3,Charadriiformes__order,adaptation_comment
obj<advcl< ...,-0.456,0.256,-0.436,0.28,3,Charadriiformes__order,adaptation_comment
nmod>conj>cc> ...,0.452,0.261,0.412,0.31,1,Charadriiformes__order,adaptation_comment
obl<nsubj>det> ...,0.448,0.265,0.412,0.31,1,Charadriiformes__order,adaptation_comment
case> ...,0.44,0.275,0.592,0.122,5,Charadriiformes__order,adaptation_comment
obj<obl>case> ...,0.437,0.279,0.385,0.346,5,Charadriiformes__order,adaptation_comment
amod>advmod> ...,0.429,0.289,0.507,0.2,3,Charadriiformes__order,adaptation_comment
advmod> largely,0.427,0.291,0.378,0.356,2,Charadriiformes__order,adaptation_comment
obl<obj> ...,0.425,0.294,0.44,0.275,5,Charadriiformes__order,adaptation_comment
nmod<nmod<nmod> ...,0.419,0.302,0.412,0.31,4,Charadriiformes__order,adaptation_comment
nsubj<cop> be,0.411,0.312,0.289,0.488,5,Charadriiformes__order,adaptation_comment
obj<obl>det> the,0.407,0.317,0.378,0.356,2,Charadriiformes__order,adaptation_comment
case> for,0.354,0.39,0.252,0.547,2,Charadriiformes__order,adaptation_comment
compound> land,-0.351,0.395,-0.126,0.766,2,Charadriiformes__order,adaptation_comment
amod<nmod<amod> ...,-0.342,0.407,-0.412,0.31,3,Charadriiformes__order,adaptation_comment
det> the,0.338,0.413,0.295,0.479,12,Charadriiformes__order,adaptation_comment
obj<obl>det> ...,0.332,0.422,0.412,0.31,1,Charadriiformes__order,adaptation_comment
obj< ...,-0.328,0.427,-0.365,0.374,5,Charadriiformes__order,adaptation_comment
conj< distribution,0.327,0.43,0.247,0.555,3,Charadriiformes__order,adaptation_comment
obj<obl> ...,0.32,0.439,0.191,0.651,6,Charadriiformes__order,adaptation_comment
