feat	count	weight	rel_role	group_name
appos>det> the	2.0	0.446	adaptation_comment	Chordate__phylum
advcl>obl>amod> ...	2.0	0.516	adaptation_comment	Chordate__phylum
conj> shark	2.0	0.948	adaptation_comment	Chordate__phylum
advcl>obl>nmod> ...	2.0	0.399	adaptation_comment	Chordate__phylum
nmod> shark	2.0	0.291	adaptation_comment	Chordate__phylum
obl<nsubj>amod> ...	2.0	0.174	adaptation_comment	Chordate__phylum
obl<nsubj> ...	2.0	0.559	adaptation_comment	Chordate__phylum
obl<conj>cc> ...	2.0	0.281	adaptation_comment	Chordate__phylum
obl<advcl< ...	2.0	0.227	adaptation_comment	Chordate__phylum
nsubj>amod> great	2.0	0.262	adaptation_comment	Chordate__phylum
obl<advcl<nsubj> ...	2.0	0.195	adaptation_comment	Chordate__phylum
nsubj<aux> ...	2.0	0.5	adaptation_comment	Chordate__phylum
parataxis>advmod> ...	2.0	0.283	adaptation_comment	Chordate__phylum
nmod<conj> ...	2.0	0.483	adaptation_comment	Chordate__phylum
nsubj<det> the	2.0	0.687	adaptation_comment	Chordate__phylum
nmod:poss>case> 's	2.0	0.476	adaptation_comment	Chordate__phylum
nmod<nmod< ...	2.0	0.416	adaptation_comment	Chordate__phylum
advcl>obl>det> a	2.0	0.317	adaptation_comment	Chordate__phylum
acl:relcl< ...	2.0	0.452	adaptation_comment	Chordate__phylum
nmod:poss>case> ...	2.0	0.476	adaptation_comment	Chordate__phylum
nmod:poss>det> ...	2.0	0.442	adaptation_comment	Chordate__phylum
obl<mark> to	2.0	0.593	adaptation_comment	Chordate__phylum
obj<parataxis<nmod> ...	2.0	0.254	adaptation_comment	Chordate__phylum
nsubj<obj>conj> ...	2.0	0.38	adaptation_comment	Chordate__phylum
obl<conj>obl> ...	2.0	0.153	adaptation_comment	Chordate__phylum
obj<parataxis< ...	2.0	0.327	adaptation_comment	Chordate__phylum
nmod<nsubj< ...	2.0	0.377	adaptation_comment	Chordate__phylum
obj<parataxis<amod> ...	2.0	0.401	adaptation_comment	Chordate__phylum
det> the	2.0	0.908	adaptation_comment	Chordate__phylum
nmod<appos>amod> ...	2.0	0.273	adaptation_comment	Chordate__phylum
nsubj>compound> tiger	2.0	0.338	adaptation_comment	Chordate__phylum
obj> ...	2.0	0.25	adaptation_comment	Chordate__phylum
obl> ...	2.0	0.402	adaptation_comment	Chordate__phylum
nmod>nmod> ...	2.0	0.43	adaptation_comment	Chordate__phylum
nsubj<parataxis>obl> ...	2.0	0.476	adaptation_comment	Chordate__phylum
nsubj>nmod>case> ...	2.0	0.5	adaptation_comment	Chordate__phylum
nsubj<amod> ...	2.0	0.184	adaptation_comment	Chordate__phylum
nmod>nmod>case> ...	2.0	0.305	adaptation_comment	Chordate__phylum
nsubj<det> ...	2.0	0.654	adaptation_comment	Chordate__phylum
nsubj<cop> ...	2.0	0.54	adaptation_comment	Chordate__phylum
nmod<nmod<det> the	2.0	0.292	adaptation_comment	Chordate__phylum
obl>case> ...	2.0	0.281	adaptation_comment	Chordate__phylum
nsubj<obj>nmod> ...	2.0	0.411	adaptation_comment	Chordate__phylum
parataxis>conj>cc> and	1.0	0.21	adaptation_comment	Chordate__phylum
nsubj>nmod>det> the	1.0	0.11	adaptation_comment	Chordate__phylum
advcl>nsubj> ...	1.0	0.452	adaptation_comment	Chordate__phylum
appos<conj> ...	1.0	0.343	adaptation_comment	Chordate__phylum
appos<conj>cc> ...	1.0	0.447	adaptation_comment	Chordate__phylum
obj<nsubj>conj> ...	1.0	0.622	adaptation_comment	Chordate__phylum
nmod<obl< ...	1.0	0.34	adaptation_comment	Chordate__phylum
nmod<obl<acl< ...	1.0	0.347	adaptation_comment	Chordate__phylum
nmod<conj>advmod> ...	1.0	0.426	adaptation_comment	Chordate__phylum
nmod>nmod>det> ...	1.0	0.243	adaptation_comment	Chordate__phylum
nmod<conj>cop> ...	1.0	0.538	adaptation_comment	Chordate__phylum
nmod<conj>nsubj> ...	1.0	0.4	adaptation_comment	Chordate__phylum
acl:relcl<obl<nsubj> ...	1.0	0.283	adaptation_comment	Chordate__phylum
acl:relcl<obl< ...	1.0	0.353	adaptation_comment	Chordate__phylum
acl:relcl<case> ...	1.0	0.3	adaptation_comment	Chordate__phylum
acl:relcl<amod> ...	1.0	0.147	adaptation_comment	Chordate__phylum
