source	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	61.41	1.04	5.98	0.33	2.33	20.87	8.04	Primate__order	519
adaptation_topic	12.38	46.62	18.79	0.15	3.27	13.08	5.72	Primate__order	481
free_topic	6.84	2.09	51.85	0.43	5.3	22.25	11.25	Primate__order	988
location_comment	4.73	0.43	5.38	39.19	1.4	29.95	18.92	Primate__order	232
location_topic	5.39	0.8	11.08	0.55	55.05	17.68	9.44	Primate__order	258
taxongroup_comment	1.78	0.27	1.95	0.24	0.34	70.79	24.62	Primate__order	619
taxongroup_topic	1.72	0.36	2.27	0.36	0.62	43.51	51.16	Primate__order	587
