feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj< drive,0.791,0.019,0.577,0.134,2,Primate__order,free_topic
appos>compound> ...,0.791,0.02,0.294,0.48,10,Primate__order,free_topic
obl<obj>amod> ...,0.79,0.02,0.577,0.134,12,Primate__order,free_topic
conj< ...,0.789,0.02,0.339,0.411,34,Primate__order,free_topic
nmod<det> a,0.787,0.02,0.764,0.027,21,Primate__order,free_topic
compound<compound<case> ...,0.785,0.021,0.764,0.027,3,Primate__order,free_topic
nsubj:pass<advcl>mark> ...,0.785,0.021,0.577,0.134,2,Primate__order,free_topic
conj<case> of,0.785,0.021,0.577,0.134,4,Primate__order,free_topic
amod<case> from,0.785,0.021,0.655,0.078,6,Primate__order,free_topic
conj<case> in,0.783,0.022,0.577,0.134,2,Primate__order,free_topic
nmod<obl< comparable,0.783,0.022,0.577,0.134,2,Primate__order,free_topic
case> such,0.783,0.022,0.577,0.134,8,Primate__order,free_topic
amod<obl<nsubj> species,0.782,0.022,0.577,0.134,2,Primate__order,free_topic
nmod< conflict,0.781,0.022,0.764,0.027,5,Primate__order,free_topic
nmod<nsubj<conj> ...,0.781,0.022,0.327,0.429,4,Primate__order,free_topic
obj<obl>case> with,0.781,0.022,0.756,0.03,2,Primate__order,free_topic
obl<nsubj>amod> wild,0.781,0.022,0.577,0.134,2,Primate__order,free_topic
nsubj< ...,0.78,0.023,0.837,0.01,83,Primate__order,free_topic
obl<ccomp<nsubj> ...,0.779,0.023,0.577,0.134,4,Primate__order,free_topic
amod<conj<obl< ...,-0.777,0.023,-0.546,0.162,3,Primate__order,free_topic
amod<conj> ...,0.774,0.024,0.109,0.797,31,Primate__order,free_topic
obl<obj> disease,0.773,0.024,0.577,0.134,2,Primate__order,free_topic
obl<obj>amod> fatal,0.771,0.025,0.577,0.134,2,Primate__order,free_topic
nmod<nmod> ...,0.771,0.025,0.481,0.227,18,Primate__order,free_topic
obl<conj>cc> but,0.769,0.026,0.577,0.134,4,Primate__order,free_topic
conj<case> by,0.769,0.026,0.577,0.134,2,Primate__order,free_topic
nmod< group,0.769,0.026,0.577,0.134,6,Primate__order,free_topic
case> of,0.766,0.027,0.761,0.028,59,Primate__order,free_topic
obl<nsubj>compound> ...,0.765,0.027,0.577,0.134,4,Primate__order,free_topic
conj<case> like,0.764,0.027,0.63,0.094,2,Primate__order,free_topic
nsubj<obl>case> as,0.764,0.027,0.577,0.134,2,Primate__order,free_topic
nsubj<obl>case> in,0.763,0.028,0.577,0.134,17,Primate__order,free_topic
nsubj< make,0.762,0.028,0.655,0.078,3,Primate__order,free_topic
nmod<obl< ...,0.761,0.028,0.764,0.027,40,Primate__order,free_topic
nmod<det> ...,0.761,0.028,0.577,0.134,2,Primate__order,free_topic
amod<case> with,0.76,0.029,0.577,0.134,4,Primate__order,free_topic
obj<obl>det> a,0.759,0.029,0.756,0.03,2,Primate__order,free_topic
conj<case> ...,0.759,0.029,0.109,0.797,7,Primate__order,free_topic
appos<case> such,0.759,0.029,0.756,0.03,2,Primate__order,free_topic
nsubj< use,0.757,0.03,0.577,0.134,4,Primate__order,free_topic
nsubj< able,0.755,0.03,0.577,0.134,3,Primate__order,free_topic
nmod< ...,0.753,0.031,0.527,0.18,127,Primate__order,free_topic
nsubj<det> a,0.753,0.031,0.756,0.03,4,Primate__order,free_topic
amod<obl< susceptible,0.752,0.031,0.577,0.134,2,Primate__order,free_topic
nmod< species,0.751,0.032,0.577,0.134,4,Primate__order,free_topic
obl<advcl<aux:pass> be,0.75,0.032,0.577,0.134,5,Primate__order,free_topic
obj<xcomp<nsubj:pass> ...,0.75,0.032,0.546,0.162,3,Primate__order,free_topic
nsubj<obl>case> during,0.75,0.032,0.577,0.134,2,Primate__order,free_topic
amod<cop> be,0.75,0.032,0.764,0.027,6,Primate__order,free_topic
nsubj<obl>case> about,0.748,0.033,0.577,0.134,2,Primate__order,free_topic
amod<nsubj<det> ...,0.748,0.033,0.577,0.134,1,Primate__order,free_topic
nmod<nmod> food,0.747,0.033,0.577,0.134,2,Primate__order,free_topic
nsubj<advcl>advmod> actually,0.746,0.033,0.577,0.134,2,Primate__order,free_topic
obl<obl>case> to,0.745,0.034,0.655,0.078,4,Primate__order,free_topic
obl<obl> proximity,0.743,0.035,0.577,0.134,3,Primate__order,free_topic
amod<nmod>case> of,0.742,0.035,0.733,0.039,5,Primate__order,free_topic
amod<obl<xcomp< become,0.742,0.035,0.577,0.134,2,Primate__order,free_topic
obj<acl<compound> ...,0.741,0.035,0.546,0.162,3,Primate__order,free_topic
amod< culture,0.738,0.036,0.577,0.134,7,Primate__order,free_topic
nsubj< have,0.737,0.037,0.577,0.134,5,Primate__order,free_topic
acl:relcl>obl> ...,0.736,0.037,0.825,0.012,4,Primate__order,free_topic
acl> ...,0.735,0.038,0.847,0.008,14,Primate__order,free_topic
amod<case> due,0.734,0.038,0.218,0.604,7,Primate__order,free_topic
conj<nummod> ...,0.734,0.038,0.577,0.134,4,Primate__order,free_topic
obl<obl>case> in,0.734,0.038,0.577,0.134,19,Primate__order,free_topic
obj<obl>case> ...,0.733,0.038,0.518,0.188,6,Primate__order,free_topic
obj<nsubj> which,0.732,0.039,0.77,0.025,4,Primate__order,free_topic
nmod<det> no,0.732,0.039,0.577,0.134,2,Primate__order,free_topic
flat<compound<flat> ...,0.731,0.039,0.577,0.134,3,Primate__order,free_topic
nsubj<advmod> also,0.73,0.04,0.577,0.134,3,Primate__order,free_topic
obj<advmod> ...,0.729,0.04,0.709,0.049,7,Primate__order,free_topic
nsubj<advmod> often,0.729,0.04,0.577,0.134,2,Primate__order,free_topic
nmod>case> for,0.729,0.04,0.845,0.008,3,Primate__order,free_topic
amod< population,0.726,0.041,0.546,0.162,13,Primate__order,free_topic
conj<det> ...,0.725,0.042,0.577,0.134,1,Primate__order,free_topic
amod<obl< threaten,0.725,0.042,0.577,0.134,2,Primate__order,free_topic
compound<nmod<det> a,0.724,0.042,0.756,0.03,2,Primate__order,free_topic
nsubj<obl>case> from,0.722,0.043,0.577,0.134,3,Primate__order,free_topic
amod<conj>compound> ...,0.72,0.044,0.577,0.134,5,Primate__order,free_topic
amod<conj>cc> and,0.72,0.044,0.655,0.078,18,Primate__order,free_topic
obl<acl<obj< ...,0.719,0.044,0.655,0.078,6,Primate__order,free_topic
conj<nmod< ...,0.719,0.045,0.577,0.134,7,Primate__order,free_topic
appos<conj> monkey,0.719,0.045,0.577,0.134,2,Primate__order,free_topic
obl<acl<nmod> ...,0.717,0.046,0.436,0.28,7,Primate__order,free_topic
compound<nmod> ...,0.714,0.047,0.779,0.023,9,Primate__order,free_topic
amod<obl< vulnerable,0.713,0.047,0.577,0.134,2,Primate__order,free_topic
amod<obl< ...,0.713,0.047,0.577,0.134,52,Primate__order,free_topic
obl<obl> time,0.711,0.048,0.577,0.134,3,Primate__order,free_topic
obl<obl> way,0.71,0.048,0.577,0.134,2,Primate__order,free_topic
conj<appos>compound> ...,0.71,0.049,0.577,0.134,4,Primate__order,free_topic
nmod>case> of,0.71,0.049,0.704,0.051,20,Primate__order,free_topic
obl<mark> although,0.707,0.05,0.577,0.134,2,Primate__order,free_topic
nsubj<advmod> down,0.705,0.051,0.577,0.134,2,Primate__order,free_topic
conj>det> the,0.705,0.051,0.764,0.027,3,Primate__order,free_topic
appos<obl> ...,-0.699,0.054,-0.577,0.134,3,Primate__order,free_topic
nsubj<aux> will,0.699,0.054,0.655,0.078,3,Primate__order,free_topic
amod<nmod>case> ...,0.698,0.054,0.733,0.039,6,Primate__order,free_topic
conj<nsubj< ...,0.697,0.055,0.546,0.162,5,Primate__order,free_topic
obl<mark> as,0.696,0.055,0.577,0.134,2,Primate__order,free_topic
obl< threaten,0.696,0.055,0.63,0.094,2,Primate__order,free_topic
case> for,0.696,0.055,0.587,0.126,20,Primate__order,free_topic
nsubj<ccomp>mark> ...,0.696,0.055,0.63,0.094,2,Primate__order,free_topic
obl<obl>nmod> ...,0.694,0.056,0.436,0.28,13,Primate__order,free_topic
compound<appos<nmod> ...,0.694,0.056,0.733,0.039,3,Primate__order,free_topic
nsubj<advmod> ...,0.693,0.057,0.577,0.134,22,Primate__order,free_topic
nsubj<obl>det> a,0.693,0.057,0.577,0.134,5,Primate__order,free_topic
amod<obl<xcomp< ...,0.693,0.057,0.577,0.134,5,Primate__order,free_topic
nmod<case> due,0.692,0.057,0.577,0.134,3,Primate__order,free_topic
nmod<obj< have,0.692,0.057,0.577,0.134,3,Primate__order,free_topic
cc> and,0.687,0.06,0.166,0.694,31,Primate__order,free_topic
conj<appos>flat> l,0.685,0.061,0.577,0.134,3,Primate__order,free_topic
nsubj<advmod> nevertheless,0.684,0.061,0.577,0.134,2,Primate__order,free_topic
amod< consumption,0.681,0.063,0.655,0.078,8,Primate__order,free_topic
nsubj<obl>nmod:poss> they,0.68,0.063,0.756,0.03,4,Primate__order,free_topic
amod<obl< adapt,0.677,0.065,0.577,0.134,2,Primate__order,free_topic
nmod< attack,0.677,0.065,0.577,0.134,5,Primate__order,free_topic
obl<obl>case> from,0.676,0.066,0.577,0.134,2,Primate__order,free_topic
nmod<conj<amod> ...,0.676,0.066,0.733,0.039,4,Primate__order,free_topic
nsubj<advcl<obj> ...,0.675,0.066,0.577,0.134,3,Primate__order,free_topic
amod< activity,0.674,0.067,0.672,0.068,27,Primate__order,free_topic
nmod<obj< consider,0.673,0.067,0.577,0.134,2,Primate__order,free_topic
conj<det> the,0.673,0.067,0.577,0.134,7,Primate__order,free_topic
obl<mark> though,0.672,0.068,0.577,0.134,2,Primate__order,free_topic
obj<acl:relcl<det> ...,0.671,0.068,0.577,0.134,1,Primate__order,free_topic
obl<mark> ...,0.67,0.069,0.577,0.134,6,Primate__order,free_topic
acl>obl>case> ...,0.666,0.071,0.764,0.027,6,Primate__order,free_topic
obj<mark> that,-0.665,0.072,-0.732,0.039,3,Primate__order,free_topic
nsubj<obl>det> ...,0.664,0.072,0.577,0.134,1,Primate__order,free_topic
amod<obl< live,0.664,0.073,0.577,0.134,3,Primate__order,free_topic
obj< recognise,-0.663,0.073,-0.756,0.03,2,Primate__order,free_topic
nsubj<advmod> rarely,0.662,0.074,0.577,0.134,2,Primate__order,free_topic
nmod<acl> ...,0.662,0.074,0.577,0.134,10,Primate__order,free_topic
