source	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	95.04	0.12	3.15	0.0	0.0	1.4	0.29	Reptile__class	122
adaptation_topic	0.0	74.14	17.44	0.0	0.05	4.22	4.14	Reptile__class	163
free_topic	0.0	1.74	86.5	0.0	0.05	6.44	5.27	Reptile__class	923
location_comment	0.1	2.31	16.08	67.05	0.01	8.68	5.76	Reptile__class	60
location_topic	0.0	0.81	10.64	0.0	82.14	2.17	4.24	Reptile__class	97
taxongroup_comment	0.15	1.03	12.19	0.0	0.01	65.26	21.36	Reptile__class	348
taxongroup_topic	0.01	0.53	9.37	0.0	0.02	26.12	63.94	Reptile__class	346
