rel_role	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Even-toed_ungulate__order	95
adaptation_topic	0.0	1.0	0.004	0.001	0.007	0.01	0.231	Even-toed_ungulate__order	185
free_topic	0.0	0.004	1.0	0.001	0.0	0.0	0.0	Even-toed_ungulate__order	664
location_comment	0.0	0.001	0.001	1.0	0.005	0.0	0.0	Even-toed_ungulate__order	105
location_topic	0.0	0.007	0.0	0.005	1.0	0.004	0.035	Even-toed_ungulate__order	140
taxongroup_comment	0.0	0.01	0.0	0.0	0.004	1.0	0.007	Even-toed_ungulate__order	382
taxongroup_topic	0.0	0.231	0.0	0.0	0.035	0.007	1.0	Even-toed_ungulate__order	348
