arcpath,weight,Df,Nf
nsubj<conj>,1.4198,0.0149,233
amod>,1.1384,0.0421,1336
cop>,0.7928,0.0422,471
nmod>conj>,0.7916,0.0128,230
nsubj>,0.7664,0.053,431
nsubj<obj>conj>,0.7602,0.0455,370
nmod>case>,0.7159,0.0359,613
nmod>,0.7028,0.036,609
amod<,0.6002,0.0846,792
amod<case>,0.3477,0.0323,334
nsubj>amod>,0.3279,0.0185,150
nmod>amod>,0.3203,0.0168,220
advmod>,0.3186,0.0321,261
amod<amod>,0.265,0.0303,249
nmod>det>,0.2195,0.0113,187
amod<det>,0.2131,0.0243,236
obj<,0.1962,0.0129,314
amod<nmod<,0.1889,0.0188,175
obl>,0.1778,0.0116,95
obl>case>,0.1778,0.0119,98
