arcpath,weight,Df,Nf
conj<conj>amod>,1.2276,0.0189,2026
nsubj<obl>case>,0.8142,0.0153,1644
det>,0.8054,0.0305,5667
nsubj:pass<obl>case>,0.7918,0.0084,906
appos>,0.7894,0.0148,2527
nsubj<obl>,0.7856,0.0085,1595
nsubj:pass<obl>,0.7712,0.0083,894
conj<conj>,0.6652,0.0104,6031
nsubj<,0.6538,0.0343,3688
nsubj<cop>,0.6025,0.0159,1708
nsubj<nmod>case>,0.5602,0.0084,899
nsubj:pass<aux:pass>,0.5511,0.0082,879
nsubj:pass<,0.5511,0.0082,882
nsubj<nmod>,0.5505,0.0082,884
nsubj<det>,0.4643,0.008,864
nsubj<amod>,0.4316,0.0078,841
nsubj<obl>amod>,0.3562,0.0061,655
appos>compound>,0.3393,0.0045,754
nsubj<conj>,0.2848,0.0038,1148
nsubj<nmod>amod>,0.2713,0.0038,414
