arcpath,weight,Df,Nf
conj>,1.2198,0.0064,408
nmod>case>,1.1418,0.0077,250
nmod>,1.0478,0.0072,242
compound<conj<conj>,0.9469,0.0186,212
compound<,0.8257,0.0413,680
case>,0.7591,0.0305,851
obl<,0.6266,0.0178,405
amod<,0.5898,0.0287,322
compound<case>,0.5552,0.0164,266
obl<obl>case>,0.4411,0.0191,151
obl<obl>,0.4294,0.0187,148
compound<amod>,0.3869,0.0128,211
compound<det>,0.3844,0.0151,224
compound<nmod<,0.3635,0.0086,150
obl<nsubj>,0.3167,0.0081,168
compound<conj<appos>,0.2623,0.0089,56
nmod<case>,0.199,0.0082,191
obl<obl>det>,0.1975,0.01,63
amod<det>,0.1962,0.0093,101
compound<conj<,0.1847,0.0077,109
