relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Pan-3679_195_humans-45	Pan-3679_195_Mountains-25	Pan-3679_195_humans-45_5103	195	Pan-3679_195_Mountains-25_1366	195	0	human	Mountains	100.0
location	Mou-9e66_41_Human-4	Mou-9e66_41_Mountain-1	Mou-9e66_41_Human-4_2552	41	Mou-9e66_41_Mountain-1_4527	41	0	Human	mountains	100.0
location	Lep-b9c7_80_human-18	Lep-b9c7_80_mountain-2	Lep-b9c7_80_human-18_2552	80	Lep-b9c7_80_mountain-2_4527	80	0	Human	mountains	100.0
location	Fro-2392_606_human-23	Fro-2392_606_mountain-2	Fro-2392_606_human-23_2552	606	Fro-2392_606_mountain-2_4527	606	0	Human	mountains	100.0
location	Fro-2392_562_human-35	Fro-2392_562_mountain-22	Fro-2392_562_human-35_2552	562	Fro-2392_562_mountain-22_4527	562	0	Human	mountains	100.0
location	Bon-fbc3_136_human-23	Bon-fbc3_136_mountain-15	Bon-fbc3_136_human-23_2552	136	Bon-fbc3_136_mountain-15_4527	136	0	Human	mountains	100.0
location	Wes-0eef_91_human-45	Wes-0eef_91_mountain-9	Wes-0eef_91_human-45_2552	91	Wes-0eef_91_mountain-9_4527	91	0	Human	mountains	100.0
location	Red-4352_215_human-33	Red-4352_215_mountain-9	Red-4352_215_human-33_2552	215	Red-4352_215_mountain-9_4527	215	0	Human	mountains	100.0
location	Par5cb2_21_human-16	Par5cb2_21_parklands-23	Par5cb2_21_human-16_2552	21	Par5cb2_21_parklands-23_4529	21	0	Human	parkland	100.0
location	Des-000c_450_Human-3	Des-000c_450_Desert-1	Des-000c_450_Human-3_2552	450	Des-000c_450_Desert-1_3805	450	0	Human	desert	100.0
location	Mou-ec99_149_humans-5	Mou-ec99_149_Mountain-1	Mou-ec99_149_humans-5_5103	149	Mou-ec99_149_Mountain-1_4527	149	0	human	mountains	100.0
location	Wes-0eef_91_human-45	Wes-0eef_91_taiga-19	Wes-0eef_91_human-45_2552	91	Wes-0eef_91_taiga-19_4534	91	0	Human	taiga	100.0
location	Cam-1690_107_humans-15	Cam-1690_107_Mountains-35	Cam-1690_107_humans-15_5103	107	Cam-1690_107_Mountains-35_1366	107	0	human	Mountains	100.0
location	Mou-ec99_149_humans-5	Mou-ec99_149_Mountains-3	Mou-ec99_149_humans-5_5103	149	Mou-ec99_149_Mountains-3_4527	149	0	human	mountains	100.0
location	Mou-ec99_122_humans-5	Mou-ec99_122_Mountain-1	Mou-ec99_122_humans-5_5103	122	Mou-ec99_122_Mountain-1_4527	122	0	human	mountains	100.0
location	Pik-2f87_40_human-4	Pik-2f87_40_tundra-8	Pik-2f87_40_human-4_2552	40	Pik-2f87_40_tundra-8_4539	40	0	Human	tundra	100.0
location	Mou-ec99_144_humans-5	Mou-ec99_144_Mountain-1	Mou-ec99_144_humans-5_5103	144	Mou-ec99_144_Mountain-1_4527	144	0	human	mountains	100.0
location	Nea-dd93_670_humans-37	Nea-dd93_670_Mountains-13	Nea-dd93_670_humans-37_5103	670	Nea-dd93_670_Mountains-13_1366	670	0	human	Mountains	100.0
location	Oakb84d_6_humans-8	Oakb84d_6_wood-2	Oakb84d_6_humans-8_5103	6	Oakb84d_6_wood-2_4508	6	0	human	oak wood	100.0
location	Pie-f170_2_tamarin-3	Pie-f170_2_Rainforest-36	Pie-f170_2_tamarin-3_5348	2	Pie-f170_2_Rainforest-36_42	2	0	pied tamarin	Rainforest	100.0
location	Pie-f170_2_tamarin-18	Pie-f170_2_Rainforest-36	Pie-f170_2_tamarin-18_5348	2	Pie-f170_2_Rainforest-36_42	2	0	pied tamarin	Rainforest	100.0
location	Mou-ec99_128_humans-5	Mou-ec99_128_Mountain-1	Mou-ec99_128_humans-5_5103	128	Mou-ec99_128_Mountain-1_4527	128	0	human	mountains	100.0
location	Com-a681_63_human-7	Com-a681_63_moorlands-28	Com-a681_63_human-7_2552	63	Com-a681_63_moorlands-28_4526	63	0	Human	moorland	100.0
location	Hea-9af6_25_human-18	Hea-9af6_25_heathland-26	Hea-9af6_25_human-18_2552	25	Hea-9af6_25_heathland-26_4518	25	0	Human	heathland	100.0
location	Hea-9af6_26_human-6	Hea-9af6_26_heathlands-27	Hea-9af6_26_human-6_2552	26	Hea-9af6_26_heathlands-27_4518	26	0	Human	heathland	100.0
location	Eas-e016_145_human-3	Eas-e016_145_farmlands-24	Eas-e016_145_human-3_2552	145	Eas-e016_145_farmlands-24_4509	145	0	Human	farmland	100.0
location	Car-e78c_34_human-17	Car-e78c_34_farmland-31	Car-e78c_34_human-17_2552	34	Car-e78c_34_farmland-31_4509	34	0	Human	farmland	100.0
location	Sta-89ab_42_human-13	Sta-89ab_42_farmland-19	Sta-89ab_42_human-13_2552	42	Sta-89ab_42_farmland-19_4509	42	0	Human	farmland	100.0
location	Leo-56b9_157_human-60	Leo-56b9_157_farmlands-8	Leo-56b9_157_human-60_2552	157	Leo-56b9_157_farmlands-8_4509	157	0	Human	farmland	100.0
location	Des-000c_435_Human-3	Des-000c_435_Desert-1	Des-000c_435_Human-3_2552	435	Des-000c_435_Desert-1_3805	435	0	Human	desert	100.0
location	Des-000c_415_Human-3	Des-000c_415_Desert-1	Des-000c_415_Human-3_2552	415	Des-000c_415_Desert-1_3805	415	0	Human	desert	100.0
location	Meg-fd01_320_human-5	Meg-fd01_320_desert-46	Meg-fd01_320_human-5_2552	320	Meg-fd01_320_desert-46_3805	320	0	Human	desert	100.0
location	Des-000c_89_human-22	Des-000c_89_deserts-6	Des-000c_89_human-22_2552	89	Des-000c_89_deserts-6_3805	89	0	Human	desert	100.0
location	Tun-c63e_42_human-17	Tun-c63e_42_tundra-8	Tun-c63e_42_human-17_2552	42	Tun-c63e_42_tundra-8_4539	42	0	Human	tundra	100.0
location	Whi-b4c3_7_humans-19	Whi-b4c3_7_wetlands-9	Whi-b4c3_7_humans-19_5103	7	Whi-b4c3_7_wetlands-9_4542	7	0	human	wetlands	100.0
location	Nil-600c_392_humans-11	Nil-600c_392_wetlands-3	Nil-600c_392_humans-11_5103	392	Nil-600c_392_wetlands-3_4542	392	0	human	wetlands	100.0
location	Wet-a585_414_human-29	Wet-a585_414_wetlands-12	Wet-a585_414_human-29_2552	414	Wet-a585_414_wetlands-12_4542	414	0	Human	wetlands	100.0
location	Cro-5646_275_colobus-63	Cro-5646_275_Rainforest-17	Cro-5646_275_colobus-63_3642	275	Cro-5646_275_Rainforest-17_42	275	0	Western red colobus	Rainforest	100.0
location	Cro-5646_275_colobus-51	Cro-5646_275_Rainforest-17	Cro-5646_275_colobus-51_3642	275	Cro-5646_275_Rainforest-17_42	275	0	Western red colobus	Rainforest	100.0
location	Bonb9e8_10_bonobos-4	Bonb9e8_10_rainforest-7	Bonb9e8_10_bonobos-4_4715	10	Bonb9e8_10_rainforest-7_3811	10	0	bonobo	rainforest	100.0
location	Bon-c081_286_bonobos-5	Bon-c081_286_rainforest-42	Bon-c081_286_bonobos-5_4715	286	Bon-c081_286_rainforest-42_3811	286	0	bonobo	rainforest	100.0
location	Bon-c081_286_bonobo-31	Bon-c081_286_rainforest-42	Bon-c081_286_bonobo-31_4715	286	Bon-c081_286_rainforest-42_3811	286	0	bonobo	rainforest	100.0
