relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Bur-98f9_77_pythons-2	Bur-98f9_77_rainforest-6	Bur-98f9_77_pythons-2_4445	77	Bur-98f9_77_rainforest-6_3811	77	0	python	rainforest	100.0
location	Gra-2e39_80_snake-13	Gra-2e39_80_marshes-16	Gra-2e39_80_snake-13_148	80	Gra-2e39_80_marshes-16_3807	80	0	Grass snake	marsh	100.0
location	Gra-2e39_80_snake-8	Gra-2e39_80_marshes-16	Gra-2e39_80_snake-8_3859	80	Gra-2e39_80_marshes-16_3807	80	0	grass snake	marsh	100.0
location	Boi-e3d6_12_snake-44	Boi-e3d6_12_mangrove-43	Boi-e3d6_12_snake-44_4713	12	Boi-e3d6_12_mangrove-43_4524	12	0	mangrove snake	mangroves	83.0
location	Boi-9f0e_2_snake-8	Boi-9f0e_2_mangrove-7	Boi-9f0e_2_snake-8_4713	2	Boi-9f0e_2_mangrove-7_4524	2	0	mangrove snake	mangroves	83.0
location	Boi-e3d6_12_snake-13	Boi-e3d6_12_mangrove-43	Boi-e3d6_12_snake-13_4713	12	Boi-e3d6_12_mangrove-43_4524	12	0	mangrove snake	mangroves	83.0
location	Boi-e3d6_12_snake-27	Boi-e3d6_12_mangrove-43	Boi-e3d6_12_snake-27_4713	12	Boi-e3d6_12_mangrove-43_4524	12	0	mangrove snake	mangroves	83.0
location	Boi-e3d6_12_snake-41	Boi-e3d6_12_mangrove-43	Boi-e3d6_12_snake-41_4713	12	Boi-e3d6_12_mangrove-43_4524	12	0	mangrove snake	mangroves	83.0
location	Sna-dfa9_251_snake-11	Sna-dfa9_251_mangrove-10	Sna-dfa9_251_snake-11_4713	251	Sna-dfa9_251_mangrove-10_4524	251	0	mangrove snake	mangroves	83.0
location	Sna-dfa9_251_snakes-2	Sna-dfa9_251_mangrove-10	Sna-dfa9_251_snakes-2_4713	251	Sna-dfa9_251_mangrove-10_4524	251	0	mangrove snake	mangroves	83.0
location	Boi-9f0e_2_snake-25	Boi-9f0e_2_mangrove-7	Boi-9f0e_2_snake-25_4713	2	Boi-9f0e_2_mangrove-7_4524	2	0	mangrove snake	mangroves	83.0
location	Boi-9f0e_38_snake-9	Boi-9f0e_38_rainforests-19	Boi-9f0e_38_snake-9_4713	38	Boi-9f0e_38_rainforests-19_3811	38	0	mangrove snake	rainforest	83.0
location	Boi-9f0e_2_snake-15	Boi-9f0e_2_mangrove-7	Boi-9f0e_2_snake-15_4713	2	Boi-9f0e_2_mangrove-7_4524	2	0	mangrove snake	mangroves	83.0
location	Boi-9f0e_38_snake-9	Boi-9f0e_38_swamps-24	Boi-9f0e_38_snake-9_4713	38	Boi-9f0e_38_swamps-24_3808	38	0	mangrove snake	swamp	83.0
location	Boi-9f0e_38_snake-9	Boi-9f0e_38_mangrove-8	Boi-9f0e_38_snake-9_4713	38	Boi-9f0e_38_mangrove-8_4524	38	0	mangrove snake	mangroves	83.0
location	Bla-d6a7_13_krait-8	Bla-d6a7_13_reef-29	Bla-d6a7_13_krait-8_4677	13	Bla-d6a7_13_reef-29_4532	13	0	black-banded sea krait	reefs	80.0
location	Bla-d6a7_13_krait-25	Bla-d6a7_13_reef-29	Bla-d6a7_13_krait-25_4677	13	Bla-d6a7_13_reef-29_4532	13	0	black-banded sea krait	reefs	80.0
location	The6675_2_snakes-3	The6675_2_mountains-18	The6675_2_snakes-3_3504	2	The6675_2_mountains-18_4527	2	0	Tibetan spring snake	mountains	66.0
location	Boia907_4_snake-5	Boia907_4_mangroves-23	Boia907_4_snake-5_4711	4	Boia907_4_mangroves-23_4524	4	0	mangrove cat snake	mangroves	66.0
location	Cen-cfeb_128_python-7	Cen-cfeb_129_rainforest-6	Cen-cfeb_128_python-7_1240	128	Cen-cfeb_129_rainforest-6_3811	129	1	Python	rainforest	50.0
location	Cen-cfeb_130_python-5	Cen-cfeb_129_rainforest-6	Cen-cfeb_130_python-5_1240	130	Cen-cfeb_129_rainforest-6_3811	129	1	Python	rainforest	50.0
location	Cro-5646_352_Python-47	Cro-5646_351_rainforest-3	Cro-5646_352_Python-47_1240	352	Cro-5646_351_rainforest-3_3811	351	1	Python	rainforest	50.0
location	Gra-2e39_81_snake-2	Gra-2e39_80_marshes-16	Gra-2e39_81_snake-2_3859	81	Gra-2e39_80_marshes-16_3807	80	1	grass snake	marsh	50.0
location	Yel-2b33_17_anaconda-6	Yel-2b33_18_swamps-8	Yel-2b33_17_anaconda-6_121	17	Yel-2b33_18_swamps-8_3808	18	1	Yellow anaconda	swamp	50.0
location	Cen-cfeb_60_python-5	Cen-cfeb_61_swamps-18	Cen-cfeb_60_python-5_4445	60	Cen-cfeb_61_swamps-18_3808	61	1	python	swamp	50.0
location	Yel-2b33_17_anaconda-6	Yel-2b33_18_rivers-21	Yel-2b33_17_anaconda-6_121	17	Yel-2b33_18_rivers-21_4533	18	1	Yellow anaconda	rivers and streams	50.0
location	Ind-afd0_22_python-3	Ind-afd0_23_swamps-13	Ind-afd0_22_python-3_4445	22	Ind-afd0_23_swamps-13_3808	23	1	python	swamp	50.0
location	Bur-98f9_76_python-2	Bur-98f9_77_rainforest-6	Bur-98f9_76_python-2_4445	76	Bur-98f9_77_rainforest-6_3811	77	1	python	rainforest	50.0
location	Cro-5646_352_python-45	Cro-5646_351_rainforest-3	Cro-5646_352_python-45_4445	352	Cro-5646_351_rainforest-3_3811	351	1	python	rainforest	50.0
location	Yel-2b33_17_anaconda-6	Yel-2b33_18_marshes-10	Yel-2b33_17_anaconda-6_121	17	Yel-2b33_18_marshes-10_3807	18	1	Yellow anaconda	marsh	50.0
location	Boa-7d46_57_constrictors-2	Boa-7d46_56_rivers-8	Boa-7d46_57_constrictors-2_1737	57	Boa-7d46_56_rivers-8_4533	56	1	Boa constrictor	rivers and streams	50.0
location	Boi-9f0e_37_dendrophila-2	Boi-9f0e_38_rainforests-19	Boi-9f0e_37_dendrophila-2_1742	37	Boi-9f0e_38_rainforests-19_3811	38	1	Boiga dendrophila	rainforest	43.5
location	Boi-9f0e_37_dendrophila-2	Boi-9f0e_38_swamps-24	Boi-9f0e_37_dendrophila-2_1742	37	Boi-9f0e_38_swamps-24_3808	38	1	Boiga dendrophila	swamp	43.5
location	Boi-9f0e_37_dendrophila-2	Boi-9f0e_38_mangrove-8	Boi-9f0e_37_dendrophila-2_1742	37	Boi-9f0e_38_mangrove-8_4524	38	1	Boiga dendrophila	mangroves	43.5
location	Boi-9f0e_39_dendrophila-2	Boi-9f0e_38_mangrove-8	Boi-9f0e_39_dendrophila-2_1742	39	Boi-9f0e_38_mangrove-8_4524	38	1	Boiga dendrophila	mangroves	43.5
location	Boi-9f0e_39_dendrophila-2	Boi-9f0e_38_swamps-24	Boi-9f0e_39_dendrophila-2_1742	39	Boi-9f0e_38_swamps-24_3808	38	1	Boiga dendrophila	swamp	43.5
location	Boi-9f0e_39_dendrophila-2	Boi-9f0e_38_rainforests-19	Boi-9f0e_39_dendrophila-2_1742	39	Boi-9f0e_38_rainforests-19_3811	38	1	Boiga dendrophila	rainforest	43.5
location	Bla-d6a7_4_erabu-15	Bla-d6a7_5_reef-6	Bla-d6a7_4_erabu-15_4678	4	Bla-d6a7_5_reef-6_4532	5	1	erabu	reefs	41.5
location	Moo-69c5_27_viper-7	Moo-69c5_28_moorlands-9	Moo-69c5_27_viper-7_278	27	Moo-69c5_28_moorlands-9_4526	28	1	Common viper	moorland	41.5
location	Bla-d6a7_13_krait-25	Bla-d6a7_12_reef-12	Bla-d6a7_13_krait-25_4677	13	Bla-d6a7_12_reef-12_4532	12	1	black-banded sea krait	reefs	40.0
location	Bla-d6a7_13_krait-8	Bla-d6a7_12_reef-12	Bla-d6a7_13_krait-8_4677	13	Bla-d6a7_12_reef-12_4532	12	1	black-banded sea krait	reefs	40.0
