feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
appos<obl> ...,0.502,0.205,0.577,0.134,3,Arthropod__phylum,location_topic
obj< include,0.494,0.213,0.394,0.334,3,Arthropod__phylum,location_topic
conj<appos< ...,0.48,0.229,0.577,0.134,2,Arthropod__phylum,location_topic
conj<appos<obl> ...,-0.462,0.249,-0.577,0.134,1,Arthropod__phylum,location_topic
nsubj< ...,0.462,0.25,0.3,0.47,8,Arthropod__phylum,location_topic
nmod<nsubj< ...,0.458,0.254,0.344,0.405,6,Arthropod__phylum,location_topic
conj<compound> camel,0.455,0.257,0.412,0.31,2,Arthropod__phylum,location_topic
conj<obl<nsubj:pass> they,-0.454,0.259,-0.247,0.555,3,Arthropod__phylum,location_topic
obl<advmod> also,0.448,0.266,0.507,0.2,3,Arthropod__phylum,location_topic
compound< species,0.447,0.267,0.412,0.31,2,Arthropod__phylum,location_topic
conj<appos< keep,-0.439,0.276,-0.412,0.31,2,Arthropod__phylum,location_topic
conj<obj>conj> ...,0.426,0.292,0.577,0.134,3,Arthropod__phylum,location_topic
advmod> ...,0.414,0.308,0.218,0.604,3,Arthropod__phylum,location_topic
case> with,0.411,0.312,0.504,0.203,2,Arthropod__phylum,location_topic
obj< contain,0.41,0.312,0.504,0.203,2,Arthropod__phylum,location_topic
amod> broad,-0.402,0.323,-0.399,0.328,4,Arthropod__phylum,location_topic
case> to,0.397,0.33,0.452,0.261,3,Arthropod__phylum,location_topic
conj< spider,0.393,0.336,0.412,0.31,5,Arthropod__phylum,location_topic
obj<obl>det> ...,0.39,0.339,0.412,0.31,1,Arthropod__phylum,location_topic
appos< ...,-0.389,0.341,-0.289,0.488,5,Arthropod__phylum,location_topic
conj<obj< include,-0.387,0.343,-0.592,0.122,3,Arthropod__phylum,location_topic
conj<obl< know,0.384,0.347,0.412,0.31,3,Arthropod__phylum,location_topic
cop> be,0.384,0.348,0.394,0.334,3,Arthropod__phylum,location_topic
conj<appos<obl> pet,-0.383,0.349,-0.412,0.31,2,Arthropod__phylum,location_topic
conj<case> as,0.362,0.378,0.412,0.31,3,Arthropod__phylum,location_topic
nsubj<nmod>case> ...,0.36,0.381,0.247,0.555,3,Arthropod__phylum,location_topic
amod> Himalayan,0.352,0.393,0.252,0.547,2,Arthropod__phylum,location_topic
nsubj<advmod> ...,0.351,0.394,0.514,0.192,4,Arthropod__phylum,location_topic
obj<obl>det> the,0.349,0.396,0.252,0.547,2,Arthropod__phylum,location_topic
obl<advmod> ...,0.348,0.399,0.436,0.28,3,Arthropod__phylum,location_topic
appos<appos> ...,-0.341,0.409,-0.327,0.429,4,Arthropod__phylum,location_topic
appos> fimbriatus,0.335,0.417,0.327,0.429,3,Arthropod__phylum,location_topic
cc> ...,0.322,0.436,0.247,0.555,1,Arthropod__phylum,location_topic
appos> reference,0.314,0.448,0.082,0.846,2,Arthropod__phylum,location_topic
conj>cc> ...,0.308,0.458,0.247,0.555,1,Arthropod__phylum,location_topic
compound> sun,0.305,0.462,0.343,0.406,3,Arthropod__phylum,location_topic
obl<aux:pass> be,0.303,0.466,0.344,0.405,4,Arthropod__phylum,location_topic
nsubj:pass<aux:pass> be,0.3,0.47,0.495,0.212,6,Arthropod__phylum,location_topic
compound> Hermit,-0.296,0.477,-0.302,0.467,7,Arthropod__phylum,location_topic
parataxis>advmod> ...,0.286,0.492,0.247,0.555,4,Arthropod__phylum,location_topic
amod> spot,0.286,0.493,0.252,0.547,2,Arthropod__phylum,location_topic
conj<obl<advmod> also,0.285,0.493,0.412,0.31,3,Arthropod__phylum,location_topic
nsubj<obj>det> a,0.279,0.503,0.252,0.547,2,Arthropod__phylum,location_topic
acl:relcl> ...,0.254,0.543,0.483,0.225,3,Arthropod__phylum,location_topic
appos<obl>nmod> ...,-0.243,0.562,-0.247,0.555,3,Arthropod__phylum,location_topic
compound> fishing,0.238,0.571,0.206,0.624,5,Arthropod__phylum,location_topic
conj<amod> ...,0.226,0.591,0.082,0.846,3,Arthropod__phylum,location_topic
conj<obj<nsubj> name,0.225,0.592,0.247,0.555,2,Arthropod__phylum,location_topic
conj<conj> carrier,0.222,0.596,0.247,0.555,2,Arthropod__phylum,location_topic
appos<obl>case> ...,0.214,0.61,0.412,0.31,3,Arthropod__phylum,location_topic
conj<obl<aux:pass> be,0.208,0.62,0.082,0.846,3,Arthropod__phylum,location_topic
amod> great,0.206,0.625,0.126,0.766,2,Arthropod__phylum,location_topic
nsubj< have,0.205,0.627,0.252,0.547,2,Arthropod__phylum,location_topic
compound> raft,0.204,0.628,0.128,0.763,9,Arthropod__phylum,location_topic
