feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<nmod>case> in,0.79,0.02,0.756,0.03,2,Arthropod__phylum,taxongroup_topic
nmod<nmod<conj> pair,0.79,0.02,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
conj<case> ...,0.788,0.02,0.577,0.134,3,Arthropod__phylum,taxongroup_topic
conj<appos>det> the,0.788,0.02,0.764,0.027,3,Arthropod__phylum,taxongroup_topic
nmod> ...,0.787,0.02,0.368,0.37,23,Arthropod__phylum,taxongroup_topic
case> like,0.787,0.02,0.655,0.078,4,Arthropod__phylum,taxongroup_topic
nmod>case> include,0.787,0.021,0.756,0.03,2,Arthropod__phylum,taxongroup_topic
conj<obl<obl> ...,0.785,0.021,0.577,0.134,4,Arthropod__phylum,taxongroup_topic
conj>amod> terrestrial,0.784,0.021,0.764,0.027,3,Arthropod__phylum,taxongroup_topic
parataxis< ...,0.783,0.021,0.732,0.039,3,Arthropod__phylum,taxongroup_topic
nsubj<obj>nmod> ...,0.783,0.022,0.577,0.134,7,Arthropod__phylum,taxongroup_topic
conj<nmod<nsubj> Tarantulas,-0.782,0.022,-0.577,0.134,2,Arthropod__phylum,taxongroup_topic
conj<conj>amod> jump,-0.782,0.022,-0.577,0.134,2,Arthropod__phylum,taxongroup_topic
nsubj> ...,0.781,0.022,0.733,0.039,3,Arthropod__phylum,taxongroup_topic
nmod<amod> main,0.778,0.023,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
case> 's,0.778,0.023,0.385,0.346,5,Arthropod__phylum,taxongroup_topic
conj<nmod<nmod< ...,-0.778,0.023,-0.577,0.134,3,Arthropod__phylum,taxongroup_topic
det> all,0.778,0.023,0.674,0.067,4,Arthropod__phylum,taxongroup_topic
conj<obl> ...,0.775,0.024,0.756,0.03,4,Arthropod__phylum,taxongroup_topic
nsubj:pass<advmod> ...,0.775,0.024,0.764,0.027,8,Arthropod__phylum,taxongroup_topic
conj<nmod>case> in,0.773,0.024,0.733,0.039,3,Arthropod__phylum,taxongroup_topic
nmod>case> ...,0.77,0.026,0.577,0.134,4,Arthropod__phylum,taxongroup_topic
nmod<det> ...,0.768,0.026,0.655,0.078,3,Arthropod__phylum,taxongroup_topic
nsubj<det> a,0.767,0.026,0.77,0.025,6,Arthropod__phylum,taxongroup_topic
nsubj<conj<nsubj> ...,0.767,0.026,0.577,0.134,3,Arthropod__phylum,taxongroup_topic
appos>compound> D.,0.766,0.027,0.733,0.039,4,Arthropod__phylum,taxongroup_topic
appos<conj>det> a,0.766,0.027,0.756,0.03,2,Arthropod__phylum,taxongroup_topic
nmod<det> the,0.766,0.027,0.6,0.116,17,Arthropod__phylum,taxongroup_topic
obl<advmod> commonly,0.765,0.027,0.756,0.03,2,Arthropod__phylum,taxongroup_topic
conj<nmod< form,0.764,0.027,0.756,0.03,2,Arthropod__phylum,taxongroup_topic
nsubj< have,0.762,0.028,0.289,0.488,10,Arthropod__phylum,taxongroup_topic
nsubj<obl>compound> ...,0.76,0.029,0.655,0.078,7,Arthropod__phylum,taxongroup_topic
cc> ...,0.758,0.029,0.756,0.03,2,Arthropod__phylum,taxongroup_topic
nmod>case> in,0.756,0.03,0.436,0.28,5,Arthropod__phylum,taxongroup_topic
nmod<case> in,0.755,0.03,0.218,0.604,3,Arthropod__phylum,taxongroup_topic
conj>compound> ...,0.754,0.031,0.626,0.097,20,Arthropod__phylum,taxongroup_topic
nmod<amod> ...,0.754,0.031,0.218,0.604,22,Arthropod__phylum,taxongroup_topic
obl<nsubj:pass>amod> ...,0.753,0.031,0.655,0.078,6,Arthropod__phylum,taxongroup_topic
nmod>case> of,0.75,0.032,0.109,0.797,9,Arthropod__phylum,taxongroup_topic
nmod<obl<advmod> ...,0.747,0.033,0.577,0.134,2,Arthropod__phylum,taxongroup_topic
