	kldiv	group	g_N
kldiv_adaptation_comment	1.9057073125733373	Arthropod__phylum	1935
kldiv_adaptation_topic	1.2011425141507457	Arthropod__phylum	1935
kldiv_free_topic	0.2007302320657943	Arthropod__phylum	1935
kldiv_location_comment	2.1575366342812936	Arthropod__phylum	1935
kldiv_location_topic	1.2207445355777569	Arthropod__phylum	1935
kldiv_taxongroup_comment	0.39414168007056893	Arthropod__phylum	1935
kldiv_taxongroup_topic	0.37552587879159993	Arthropod__phylum	1935
