	kldiv	group	g_N
kldiv_adaptation_comment	1.845671554342521	Bat__order	1459
kldiv_adaptation_topic	1.0017650298653145	Bat__order	1459
kldiv_free_topic	0.4455794521488321	Bat__order	1459
kldiv_location_comment	3.6855889690097197	Bat__order	1459
kldiv_location_topic	3.127704686466666	Bat__order	1459
kldiv_taxongroup_comment	0.26235010740919473	Bat__order	1459
kldiv_taxongroup_topic	0.25888923062208724	Bat__order	1459
