relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Sca-88f4_90_scallop-20	Sca-88f4_90_bed-53	Sca-88f4_90_scallop-20_5321	90	Sca-88f4_90_bed-53_4510	90	0	scallops	sea bed	100.0
location	Sca-88f4_90_scallop-3	Sca-88f4_90_bed-53	Sca-88f4_90_scallop-3_5321	90	Sca-88f4_90_bed-53_4510	90	0	scallops	sea bed	100.0
location	Con61cd_13_snails-2	Con61cd_14_Reef-23	Con61cd_13_snails-2_1966	13	Con61cd_14_Reef-23_4532	14	1	Cone snails	reefs	50.0
location	Sca-88f4_89_Scallops-1	Sca-88f4_90_bed-53	Sca-88f4_89_Scallops-1_5321	89	Sca-88f4_90_bed-53_4510	90	1	scallops	sea bed	50.0
location	Sca-88f4_91_scallops-14	Sca-88f4_90_bed-53	Sca-88f4_91_scallops-14_5321	91	Sca-88f4_90_bed-53_4510	90	1	scallops	sea bed	50.0
location	Con61cd_13_Cone-1	Con61cd_14_Reef-23	Con61cd_13_Cone-1_1968	13	Con61cd_14_Reef-23_4532	14	1	Cones	reefs	41.5
location	Sca-88f4_92_scallop-4	Sca-88f4_90_bed-53	Sca-88f4_92_scallop-4_5321	92	Sca-88f4_90_bed-53_4510	90	2	scallops	sea bed	33.333
location	Con61cd_6_snails-8	Con61cd_14_Reef-23	Con61cd_6_snails-8_1966	6	Con61cd_14_Reef-23_4532	14	8	Cone snails	reefs	11.111
location	Con61cd_7_cone-9	Con61cd_14_Reef-23	Con61cd_7_cone-9_4825	7	Con61cd_14_Reef-23_4532	14	7	cones	reefs	10.375
location	Con61cd_5_snail-4	Con61cd_14_Reef-23	Con61cd_5_snail-4_4823	5	Con61cd_14_Reef-23_4532	14	9	cone snails	reefs	10.0
location	Con61cd_6_Cone-7	Con61cd_14_Reef-23	Con61cd_6_Cone-7_1968	6	Con61cd_14_Reef-23_4532	14	8	Cones	reefs	9.222
location	Con61cd_4_snail-4	Con61cd_14_Reef-23	Con61cd_4_snail-4_4823	4	Con61cd_14_Reef-23_4532	14	10	cone snails	reefs	9.091
location	Con61cd_5_cone-3	Con61cd_14_Reef-23	Con61cd_5_cone-3_4825	5	Con61cd_14_Reef-23_4532	14	9	cones	reefs	8.3
