,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
2,Fro-2392_280_bullfrog-6,bullfrog,Smoky_Jungle_Frog#species,case>,of,ADP,3,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
2,Fro-2392_292_bullfrog-7,bullfrog,Smoky_Jungle_Frog#species,case>,such,ADJ,3,case> such,0.43649056448939205,-0.523027187998616,Amphibian__class,location_topic,5,34
4,Nor-4c81_86_frog-33,frog,Common_frog#species,nmod<case>,of,ADP,26,nmod<case> of,0.5649848431826537,0.23465939508065745,Amphibian__class,location_topic,5,34
7,Nor-4c81_86_frog-33,frog,Common_frog#species,case>,such,ADJ,29,case> such,0.43649056448939205,-0.523027187998616,Amphibian__class,location_topic,5,34
4,Tri-5b33_95_frog-23,frog,Common_frog#species,nmod<case>,of,ADP,16,nmod<case> of,0.5649848431826537,0.23465939508065745,Amphibian__class,location_topic,5,34
7,Tri-5b33_95_frog-23,frog,Common_frog#species,case>,such,ADJ,19,case> such,0.43649056448939205,-0.523027187998616,Amphibian__class,location_topic,5,34
2,Com-43a2_133_frog-12,frog,Common_frog#species,nmod<case>,to,ADP,7,nmod<case> ...,0.4934338016532555,0.22549353854892393,Amphibian__class,location_topic,5,34
4,Com-43a2_133_frog-12,frog,Common_frog#species,case>,of,ADP,9,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
6,Com-f597_25_toad-13,toad,Common_Toad#species,case>,compare,VERB,9,case> ...,0.2127278041262181,-0.4784914494536927,Amphibian__class,location_topic,5,34
7,Com-f597_25_toad-13,toad,Common_Toad#species,case>,to,ADP,10,case> to,0.4197567233443592,-0.5265260075700441,Amphibian__class,location_topic,5,34
5,Com-43a2_169_toads-14,toads,Common_Toad#species,case>,in,ADP,12,case> in,0.40648965567927026,-0.6249732779331645,Amphibian__class,location_topic,5,34
4,Com-43a2_176_toad-10,toad,Common_Toad#species,case>,of,ADP,8,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
6,Poi-d65f_95_Dendrobatidae-8,Dendrobatidae,Poison_dart_frog#family,case>,'s,PART,9,case> ...,0.31125164520275134,-0.6482252379189932,Amphibian__class,location_topic,5,34
2,Poi-d65f_92_Dendrobatidae-4,Dendrobatidae,Poison_dart_frog#family,case>,of,ADP,3,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
6,Poi-d65f_154_Dendrobatidae-12,Dendrobatidae,Poison_dart_frog#family,nmod<case>,in,ADP,8,nmod<case> in,0.5296652519002426,0.3337522345595714,Amphibian__class,location_topic,5,34
9,Poi-d65f_154_Dendrobatidae-12,Dendrobatidae,Poison_dart_frog#family,case>,of,ADP,11,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
6,Mar-495f_19_frog-10,frog,Marsh_Frog#species,case>,of,ADP,7,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
5,Fro-2392_282_frog-20,frog,Marsh_Frog#species,case>,of,ADP,17,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
8,Tri-5b33_209_newt-36,newt,Great_Crested_Newt#species,case>,with,ADP,32,case> with,0.3770763702576026,-0.6161851325119191,Amphibian__class,location_topic,5,34
2,Tri-5b33_209_newt-45,newt,Great_Crested_Newt#species,nmod<case>,in,ADP,38,nmod<case> in,0.5296652519002426,0.3337522345595714,Amphibian__class,location_topic,5,34
5,Tri-5b33_209_newt-45,newt,Great_Crested_Newt#species,case>,of,ADP,41,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
5,Tri-5b33_209_newts-10,newts,Great_Crested_Newt#species,case>,in,ADP,7,case> in,0.40648965567927026,-0.6249732779331645,Amphibian__class,location_topic,5,34
2,Pan-2813_27_frog-7,frog,Panamanian_golden_frog#species,case>,of,ADP,3,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
6,Pan-2813_101_frogs-11,frogs,Panamanian_golden_frog#species,case>,of,ADP,10,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
4,Pan-2813_101_frogs-36,frogs,Panamanian_golden_frog#species,case>,of,ADP,33,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
2,Paneebe_2_frog-6,frog,Panamanian_golden_frog#species,case>,for,ADP,3,case> for,0.4688005823693816,-0.4436459580751363,Amphibian__class,location_topic,5,34
4,Fro-2392_34_frog-25,frog,Panamanian_golden_frog#species,case>,whereas,SCONJ,21,case> ...,0.29635374654846813,-0.5551381418511393,Amphibian__class,location_topic,5,34
3,Poi-d65f_59_frogs-6,frogs,Poison_dart_frog#family,case>,of,ADP,4,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
2,Poi32a6_7_frogs-6,frogs,Poison_dart_frog#family,case>,of,ADP,3,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
2,Poi-d65f_120_frogs-6,frogs,Poison_dart_frog#family,case>,of,ADP,3,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
0,Poi32a6_14_frog-7,frog,Poison_dart_frog#family,nmod<case>,in,ADP,1,nmod<case> in,0.5296652519002426,0.3337522345595714,Amphibian__class,location_topic,5,34
2,Poi32a6_14_frog-7,frog,Poison_dart_frog#family,case>,of,ADP,3,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
8,Com-f597_2_Ranidae-49,Ranidae,True_frog#family,case>,of,ADP,46,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
3,Sal-7dcf_23_newt-12,newt,Siberian_salamander#species,case>,of,ADP,9,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
3,Sal-7dcf_9_salamanders-6,salamanders,Salamander#order,case>,of,ADP,4,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
3,Sal-7dcf_39_salamander-7,salamander,Salamander#order,case>,of,ADP,5,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
8,Smo-99ce_2_frog-13,frog,Smoky_Jungle_Frog#species,case>,of,ADP,12,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
6,Cha-dc7d_2_frog-19,frog,True_frog#family,case>,of,ADP,16,case> of,0.42428090370679816,-0.602350934395172,Amphibian__class,location_topic,5,34
4,Cha-dc7d_2_frog-11,frog,True_frog#family,case>,as,ADP,6,case> as,0.4621131465027936,-0.5910774694368754,Amphibian__class,location_topic,5,34
8,Amp-436a_353_salamanders-16,salamanders,Salamander#order,case>,in,ADP,15,case> in,0.40648965567927026,-0.6249732779331645,Amphibian__class,location_topic,5,34
8,Par5cb2_24_newts-19,newts,Great_Crested_Newt#species,case>,to,ADP,16,case> to,0.4197567233443592,-0.5265260075700441,Amphibian__class,location_topic,5,34
5,Com-f597_32_frogs-7,frogs,Common_frog#species,nsubj<,live,VERB,8,nsubj< ...,-0.3605339764229353,0.005721342161921272,Amphibian__class,location_topic,2,8
6,Com-43a2_164_toad-11,toad,Common_Toad#species,det>,the,DET,9,det> the,-0.846783973436982,-0.0062105427032457805,Amphibian__class,location_topic,2,8
7,Poi-d65f_106_Dendrobatidae-9,Dendrobatidae,Poison_dart_frog#family,case>,by,ADP,8,case> ...,-0.7278890913384928,-0.205778260792128,Amphibian__class,location_topic,2,8
1,Poi-d65f_156_Dendrobatidae-1,Dendrobatidae,Poison_dart_frog#family,nsubj<,exhibit,VERB,3,nsubj< ...,-0.3657497746682078,-0.015115082457514875,Amphibian__class,location_topic,2,8
0,Poi-d65f_24_frog-3,frog,Poison_dart_frog#family,case>,poison,ADP,1,case> poison,-0.5624031665422022,-0.08033712483034339,Amphibian__class,location_topic,2,8
0,Poi-d65f_119_frog-3,frog,Poison_dart_frog#family,case>,poison,ADP,1,case> poison,-0.5624031665422022,-0.08033712483034339,Amphibian__class,location_topic,2,8
0,Poi-d65f_31_frog-3,frog,Poison_dart_frog#family,case>,poison,ADP,1,case> poison,-0.5624031665422022,-0.08033712483034339,Amphibian__class,location_topic,2,8
0,Poi32a6_9_frog-4,frog,Poison_dart_frog#family,det>,the,DET,1,det> the,-0.846783973436982,-0.0062105427032457805,Amphibian__class,location_topic,2,8
6,Fro-2392_486_bullfrog-21,bullfrog,Smoky_Jungle_Frog#species,conj<,know,VERB,10,conj< know,0.48645286677690897,0.09696463954513652,Amphibian__class,location_topic,4,27
11,Fro-2392_486_bullfrog-21,bullfrog,Smoky_Jungle_Frog#species,det>,the,DET,19,det> the,-0.4161125751951277,-0.23215060119549102,Amphibian__class,location_topic,4,27
13,Fro-2392_486_bullfrog-21,bullfrog,Smoky_Jungle_Frog#species,appos>,Rana,PROPN,23,appos> Rana,-0.3250019736697117,-0.05465749581199736,Amphibian__class,location_topic,4,27
6,Fro-2392_269_frog-11,frog,Common_frog#species,det>,the,DET,8,det> the,-0.4161125751951277,-0.23215060119549102,Amphibian__class,location_topic,4,27
10,Fro-2392_269_frog-11,frog,Common_frog#species,appos>,leucomystax,NOUN,14,appos> ...,-0.46458274363633867,0.1525389146615755,Amphibian__class,location_topic,4,27
2,Com-43a2_69_frog-12,frog,Common_frog#species,conj<amod>,common,ADJ,3,conj<amod> common,0.5283507447399185,-0.376142658507135,Amphibian__class,location_topic,4,27
3,Com-43a2_69_frog-12,frog,Common_frog#species,conj<,frog,NOUN,4,conj< frog,0.24473445652134918,0.11410148147069443,Amphibian__class,location_topic,4,27
6,Com-43a2_69_frog-12,frog,Common_frog#species,det>,the,DET,10,det> the,-0.4161125751951277,-0.23215060119549102,Amphibian__class,location_topic,4,27
9,Com-43a2_69_frog-12,frog,Common_frog#species,appos>,esculentus,NOUN,15,appos> ...,-0.43670875327178904,0.008120670255971851,Amphibian__class,location_topic,4,27
0,Fro-2392_551_toad-4,toad,Common_Toad#species,det>,the,DET,1,det> the,-0.4161125751951277,-0.23215060119549102,Amphibian__class,location_topic,4,27
3,Fro-2392_551_toad-4,toad,Common_Toad#species,appos>,Bufo,PROPN,6,appos> Bufo,-0.4600489877165556,0.1429050151110361,Amphibian__class,location_topic,4,27
0,Fro-2392_508_toad-5,toad,Common_Toad#species,det>,the,DET,1,det> the,-0.4161125751951277,-0.23215060119549102,Amphibian__class,location_topic,4,27
6,Com-f597_9_toad-9,toad,Common_Toad#species,det>,the,DET,7,det> the,-0.4161125751951277,-0.23215060119549102,Amphibian__class,location_topic,4,27
