token	relrole	arcpath	lemma	upos	widx	token
Wes-8d71_350_predators-4	adaptation_comment	conj<	reptile	NOUN	1	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	cc>	and	CCONJ	2	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	amod>	amphibian	ADJ	3	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	nmod>case>	of	ADP	5	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	nmod>amod>	western	ADJ	6	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	nmod>compound>	honey	NOUN	7	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	nmod>	be	NOUN	8	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	conj<nsubj<	include	VERB	9	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	conj<nsubj<obj>	lizard	NOUN	13	Wes-8d71_350_predators-4
Wes-8d71_350_predators-4	adaptation_comment	conj<nsubj<appos>	bullfrog	NOUN	32	Wes-8d71_350_predators-4
Wes-8d71_351_predators-3	adaptation_comment	compound>compound>	specialist	NOUN	1	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	compound>	bird	NOUN	2	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nmod>case>	of	ADP	4	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nmod>amod>	western	ADJ	5	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nmod>compound>	honey	NOUN	6	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nmod>	be	NOUN	7	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nsubj<	include	VERB	8	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nsubj<obj>det>	the	DET	9	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nsubj<obj>compound>	bee	NOUN	10	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nsubj<obj>	eater	NOUN	12	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nsubj<parataxis>nsubj>	bird	NOUN	15	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nsubj<parataxis>	include	VERB	22	Wes-8d71_351_predators-3
Wes-8d71_351_predators-3	adaptation_comment	nsubj<parataxis>obj>	grackle	NOUN	23	Wes-8d71_351_predators-3
Wes-8d71_348_predators-2	adaptation_comment	amod>	Arachnid	ADJ	1	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nmod>case>	of	ADP	3	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nmod>amod>	western	ADJ	4	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nmod>compound>	honey	NOUN	5	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nmod>	be	NOUN	6	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nsubj<	include	VERB	7	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nsubj<obj>compound>	fishing	NOUN	8	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nsubj<obj>	spider	NOUN	9	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nsubj<obj>conj>	spider	NOUN	12	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nsubj<obj>conj>	spider	NOUN	15	Wes-8d71_348_predators-2
Wes-8d71_348_predators-2	adaptation_comment	nsubj<obj>conj>	St.	PROPN	17	Wes-8d71_348_predators-2
Fro-2392_278_predator-13	adaptation_comment	obl<advcl<nsubj:pass>	it	PRON	1	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<advcl<aux:pass>	be	AUX	2	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<advcl<advmod>	typically	ADV	3	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<advcl<	use	VERB	4	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<mark>	when	ADV	5	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<nsubj:pass>det>	the	DET	6	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<nsubj:pass>	frog	NOUN	7	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<aux>	have	AUX	8	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<aux:pass>	be	AUX	9	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<	grab	VERB	10	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	case>	by	ADP	11	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	det>	a	DET	12	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<conj>cc>	and	CCONJ	14	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<conj>aux>	may	AUX	15	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<conj>	serve	VERB	16	Fro-2392_278_predator-13
Fro-2392_278_predator-13	adaptation_comment	obl<conj>xcomp>	distract	VERB	18	Fro-2392_278_predator-13
Wes-8d71_347_predators-2	adaptation_comment	amod>	Insect	ADJ	1	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nmod>case>	of	ADP	3	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nmod>amod>	western	ADJ	4	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nmod>compound>	honey	NOUN	5	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nmod>	be	NOUN	6	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<	include	VERB	7	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>det>	the	DET	8	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>amod>	asian	ADJ	9	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>compound>	giant	NOUN	10	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>	hornet	NOUN	11	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>conj>	wasp	NOUN	14	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>conj>	fly	NOUN	17	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>conj>	dragonfly	NOUN	19	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>conj>	mantise	NOUN	27	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>conj>	strider	NOUN	30	Wes-8d71_347_predators-2
Wes-8d71_347_predators-2	adaptation_comment	nsubj<obj>conj>	beewolf	NOUN	34	Wes-8d71_347_predators-2
Chi-0753_26_predators-15	adaptation_comment	obj<acl:relcl<appos<	produce	VERB	6	Chi-0753_26_predators-15
Chi-0753_26_predators-15	adaptation_comment	obj<acl:relcl<compound>	skin	NOUN	11	Chi-0753_26_predators-15
Chi-0753_26_predators-15	adaptation_comment	obj<acl:relcl<	secretion	NOUN	12	Chi-0753_26_predators-15
Chi-0753_26_predators-15	adaptation_comment	obj<nsubj>	that	PRON	13	Chi-0753_26_predators-15
Chi-0753_26_predators-15	adaptation_comment	obj<	repel	VERB	14	Chi-0753_26_predators-15
Sal-5617_111_predators-4	adaptation_comment	nsubj>	Salamander	NOUN	1	Sal-5617_111_predators-4
Sal-5617_111_predators-4	adaptation_comment	cop>	be	AUX	2	Sal-5617_111_predators-4
Sal-5617_111_predators-4	adaptation_comment	amod>	opportunistic	ADJ	3	Sal-5617_111_predators-4
Sal-5617_89_predators-21	adaptation_comment	nmod<xcomp<conj<	study	VERB	7	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	nmod<xcomp<cc>	and	CCONJ	8	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	nmod<xcomp<nsubj:pass>	purpose	NOUN	10	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	nmod<xcomp<aux:pass>	be	AUX	14	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	nmod<xcomp<	presume	VERB	15	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	nmod<mark>	to	PART	16	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	nmod<cop>	be	AUX	17	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	nmod<det>	the	DET	18	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	nmod<	startling	NOUN	19	Sal-5617_89_predators-21
Sal-5617_89_predators-21	adaptation_comment	case>	of	ADP	20	Sal-5617_89_predators-21
Sal-5617_81_predator-11	adaptation_comment	nmod<obj<xcomp<	serve	VERB	3	Sal-5617_81_predator-11
Sal-5617_81_predator-11	adaptation_comment	nmod<obj<mark>	to	PART	4	Sal-5617_81_predator-11
Sal-5617_81_predator-11	adaptation_comment	nmod<obj<	warn	VERB	5	Sal-5617_81_predator-11
Sal-5617_81_predator-11	adaptation_comment	nmod<det>	the	DET	6	Sal-5617_81_predator-11
Sal-5617_81_predator-11	adaptation_comment	nmod<	animal	NOUN	7	Sal-5617_81_predator-11
Sal-5617_81_predator-11	adaptation_comment	case>	of	ADP	8	Sal-5617_81_predator-11
Sal-5617_81_predator-11	adaptation_comment	det>	a	DET	9	Sal-5617_81_predator-11
Sal-5617_81_predator-11	adaptation_comment	compound>	approach	NOUN	10	Sal-5617_81_predator-11
Sal-5617_265_predator-14	adaptation_comment	obl<ccomp<nsubj>	factor	NOUN	3	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	obl<ccomp<	be	VERB	4	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	obl<mark>	that	SCONJ	5	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	obl<nsubj>	the	PRON	6	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	obl<aux>	axolotl	AUX	7	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	obl<	lose	VERB	8	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	obl<obj>nmod:poss>	they	PRON	9	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	obl<obj>	role	NOUN	10	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	case>	as	ADP	11	Sal-5617_265_predator-14
Sal-5617_265_predator-14	adaptation_comment	det>	a	DET	12	Sal-5617_265_predator-14
