	kldiv	group	g_N
kldiv_adaptation_comment	1.234929291412791	Mammal__class	2769
kldiv_adaptation_topic	0.5328599819247395	Mammal__class	2769
kldiv_free_topic	0.1699108201347089	Mammal__class	2769
kldiv_location_comment	1.3704232731017274	Mammal__class	2769
kldiv_location_topic	0.8261704829046963	Mammal__class	2769
kldiv_taxongroup_comment	0.3884905426584473	Mammal__class	2769
kldiv_taxongroup_topic	0.40178396998874866	Mammal__class	2769
