rel_role	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammal__class	185
adaptation_topic	0.0	1.0	0.0	0.0	0.062	0.0	0.0	Mammal__class	341
free_topic	0.0	0.0	1.0	0.0	0.0	0.002	0.0	Mammal__class	984
location_comment	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Mammal__class	129
location_topic	0.0	0.062	0.0	0.0	1.0	0.003	0.001	Mammal__class	214
taxongroup_comment	0.0	0.0	0.002	0.0	0.003	1.0	0.0	Mammal__class	461
taxongroup_topic	0.0	0.0	0.0	0.0	0.001	0.0	1.0	Mammal__class	455
