,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Mou-9e66_35_mountain-15,mountain,Mountain#habitat,compound<obl<mark>,to,PART,11,compound<obl<mark> ...,0.284884532480613,0.11230959792357322,Mammal__class,location_comment,5,4
6,Mou-9e66_30_mountain-2,mountain,Mountain#habitat,compound<nmod>,environment,NOUN,8,compound<nmod> ...,0.40648241327551593,-0.021654438169232057,Mammal__class,location_comment,5,4
4,Tai-3286_124_taiga-6,taiga,Taiga#habitat,det>,the,DET,5,det> the,0.4203382215882818,-0.029381260863198436,Mammal__class,location_comment,5,4
3,Lon-7721_15_desert-9,desert,Deserts_and_xeric_shrublands#habitat,nmod<case>,for,ADP,4,nmod<case> ...,-0.39530653584205594,0.11060512698902547,Mammal__class,location_comment,5,4
7,Lon-7721_15_desert-9,desert,Deserts_and_xeric_shrublands#habitat,det>,the,DET,8,det> the,0.4203382215882818,-0.029381260863198436,Mammal__class,location_comment,5,4
8,Afr-655f_78_rainforests-19,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,tropical,ADJ,18,amod> tropical,-0.7224027202120981,-0.122345067368115,Mammal__class,location_comment,0,6
2,Eur-bc75_295_mountain-9,mountain,Mountain#habitat,compound<obj<,take,VERB,8,compound<obj< ...,-0.5408272055433999,-0.35005728983890333,Mammal__class,location_comment,0,6
1,Whi-b4c3_442_mountain-6,mountain,Mountain#habitat,compound<obj<,indicate,VERB,5,compound<obj< ...,-0.3115266777826355,-0.2332370351334616,Mammal__class,location_comment,0,6
3,Ant-f910_62_rainforests-8,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj<amod>,dry,ADJ,4,conj<amod> dry,-0.4820353299243312,0.0013233950170518116,Mammal__class,location_comment,0,6
4,Ant-f910_62_rainforests-8,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj<amod>,tropical,ADJ,5,conj<amod> ...,-0.5081691283381217,-0.07653226980331646,Mammal__class,location_comment,0,6
0,Amp-436a_85_swamps-2,swamps,Swamp#habitat,amod>,extensive,ADJ,1,amod> ...,-0.8542106623005601,-0.015250361122023992,Mammal__class,location_comment,0,6
7,Lon-7721_49_desert-16,desert,Deserts_and_xeric_shrublands#habitat,amod>,hot,ADJ,15,amod> hot,-0.6537916814453573,0.0398527345526927,Mammal__class,location_comment,0,6
3,Afr-0045_7_rainforests-58,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj<case>,of,ADP,48,conj<case> ...,-0.4258796237801303,0.2465056709487773,Mammal__class,location_comment,4,12
6,Afr-0045_7_rainforests-58,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj<,Forests,PROPN,51,conj< ...,-0.23620041781900242,0.0670012669039745,Mammal__class,location_comment,4,12
6,Ona-2309_66_desert-13,desert,Deserts_and_xeric_shrublands#habitat,compound<,steppe,NOUN,14,compound< steppe,0.38213855376167155,-0.23385885097045733,Mammal__class,location_comment,4,12
7,Bla-2fe0_100_desert-20,desert,Deserts_and_xeric_shrublands#habitat,compound>,Sahara,PROPN,19,compound> ...,-0.4571900734692924,0.02596394422086486,Mammal__class,location_comment,4,12
15,Ona-2309_13_deserts-28,deserts,Deserts_and_xeric_shrublands#habitat,compound>,asian,PROPN,24,compound> ...,-0.43417086840445046,0.026433160911930723,Mammal__class,location_comment,4,12
7,Lon-7721_68_desert-19,desert,Deserts_and_xeric_shrublands#habitat,conj<,land,NOUN,17,conj< ...,-0.4115331404565998,0.19838059289200163,Mammal__class,location_comment,4,12
7,Sno-0a8f_453_mountain-70,mountain,Mountain#habitat,compound>,juvenile,NOUN,69,compound> ...,-0.25599082815148894,0.20579322922898796,Mammal__class,location_comment,4,12
8,Sno-0a8f_453_mountain-70,mountain,Mountain#habitat,compound<,hare,NOUN,71,compound< hare,0.30980638351992584,-0.13931939888345024,Mammal__class,location_comment,4,12
3,Lep1032_1_farmland-23,farmland,Arable_land#habitat,conj<case>,as,ADP,18,conj<case> ...,-0.4626139839339002,0.23319442249216857,Mammal__class,location_comment,4,12
4,Lep1032_1_farmland-23,farmland,Arable_land#habitat,conj<,tundra,NOUN,19,conj< ...,-0.3744813341255932,0.15932348440990002,Mammal__class,location_comment,4,12
4,Gia-b75c_8_rainforest-13,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj<case>,include,VERB,10,conj<case> include,-0.41101507446818175,0.2261906727568345,Mammal__class,location_comment,4,12
5,Gia-b75c_8_rainforest-13,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj<,grassland,NOUN,11,conj< ...,-0.37851279154119255,0.16973985367657343,Mammal__class,location_comment,4,12
4,Ele-0413_30_deserts-12,deserts,Deserts_and_xeric_shrublands#habitat,conj<,steppe,NOUN,9,conj< ...,-0.3990952291156908,0.1840646305659993,Mammal__class,location_comment,4,12
6,Ele-0413_30_deserts-12,deserts,Deserts_and_xeric_shrublands#habitat,compound>,stone,NOUN,11,compound> ...,-0.18011573648961926,0.006293473929956012,Mammal__class,location_comment,4,12
4,Ele-f6cf_10_marshes-29,marshes,Marsh#habitat,conj<case>,include,VERB,21,conj<case> include,-0.41101507446818175,0.2261906727568345,Mammal__class,location_comment,4,12
5,Ele-f6cf_10_marshes-29,marshes,Marsh#habitat,conj<,savanna,NOUN,22,conj< ...,-0.3705450922587215,0.1635327578180094,Mammal__class,location_comment,4,12
7,Lon-7721_51_deserts-18,deserts,Deserts_and_xeric_shrublands#habitat,conj<,type,NOUN,10,conj< ...,-0.3824605001396312,0.1141586177184367,Mammal__class,location_comment,4,12
9,Mam-3742_596_rainforest-36,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,compound>,Amazon,PROPN,35,compound> Amazon,-0.35429645328364356,-0.06084563090510968,Mammal__class,location_comment,4,12
5,Bla-2fe0_58_desert-9,desert,Deserts_and_xeric_shrublands#habitat,conj>cc>,and,CCONJ,10,conj>cc> and,-0.4689017612942682,-0.2184346535712328,Mammal__class,location_comment,7,10
10,Bro-cff6_25_Rainforest-11,Rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj>cc>,or,CCONJ,12,conj>cc> ...,-0.42844679521370477,-0.2128853093484246,Mammal__class,location_comment,7,10
12,Bro-cff6_25_Rainforest-11,Rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,nmod>case>,of,ADP,14,nmod>case> of,0.5885105515749044,0.013731482497642607,Mammal__class,location_comment,7,10
4,Ona-2309_13_deserts-6,deserts,Deserts_and_xeric_shrublands#habitat,conj>cc>,and,CCONJ,7,conj>cc> and,-0.4689017612942682,-0.2184346535712328,Mammal__class,location_comment,7,10
1,Hed-8dc6_202_hedgerows-2,hedgerows,hedge#habitat,conj>cc>,and,CCONJ,3,conj>cc> and,-0.4689017612942682,-0.2184346535712328,Mammal__class,location_comment,7,10
4,Hed-8dc6_202_hedgerows-2,hedgerows,hedge#habitat,nmod>case>,in,ADP,6,nmod>case> ...,0.6088178057499692,0.03332829875936204,Mammal__class,location_comment,7,10
4,Tre-008a_31_rainforests-7,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,tropical,ADJ,6,amod> tropical,0.13102094220353308,0.4941684731331544,Mammal__class,location_comment,7,10
5,Tre-008a_31_rainforests-7,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,nmod>case>,of,ADP,8,nmod>case> of,0.5885105515749044,0.013731482497642607,Mammal__class,location_comment,7,10
9,Pyg-4c07_46_mangroves-22,mangroves,Mangrove#habitat,conj>cc>,and,CCONJ,23,conj>cc> and,-0.4689017612942682,-0.2184346535712328,Mammal__class,location_comment,7,10
3,Pyg-4c07_68_mangrove-5,mangrove,Mangrove#habitat,amod>,red,ADJ,4,amod> red,0.33950627208894657,0.4007669751628279,Mammal__class,location_comment,7,10
6,Gia-b75c_96_rainforests-8,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,tropical,ADJ,7,amod> tropical,0.13102094220353308,0.4941684731331544,Mammal__class,location_comment,7,10
7,Gia-b75c_96_rainforests-8,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj>cc>,and,CCONJ,9,conj>cc> and,-0.4689017612942682,-0.2184346535712328,Mammal__class,location_comment,7,10
12,Eng-0a3a_38_tundra-24,tundra,Tundra#habitat,amod>,treeless,ADJ,23,amod> ...,0.16482266894714964,0.54709788959062,Mammal__class,location_comment,7,10
14,Woo-aaf8_517_tundra-27,tundra,Tundra#habitat,amod>,vast,ADJ,23,amod> ...,0.009362776949060209,0.48547479644195446,Mammal__class,location_comment,7,10
18,Woo-aaf8_517_tundra-27,tundra,Tundra#habitat,nmod>case>,of,ADP,28,nmod>case> of,0.5885105515749044,0.013731482497642607,Mammal__class,location_comment,7,10
9,Bla-2fe0_106_desert-14,desert,Deserts_and_xeric_shrublands#habitat,nmod>case>,of,ADP,15,nmod>case> of,-0.4958783427941661,-0.2766469177254094,Mammal__class,location_comment,3,10
8,Thrc77b_3_rainforests-13,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,nmod>case>,of,ADP,14,nmod>case> of,-0.4958783427941661,-0.2766469177254094,Mammal__class,location_comment,3,10
10,Equ-d3c3_96_deserts-20,deserts,Deserts_and_xeric_shrublands#habitat,amod>,rocky,ADJ,19,amod> ...,-0.4612502909424644,0.3656704799015517,Mammal__class,location_comment,3,10
11,Equ-d3c3_96_deserts-20,deserts,Deserts_and_xeric_shrublands#habitat,nmod>case>,of,ADP,21,nmod>case> of,-0.4958783427941661,-0.2766469177254094,Mammal__class,location_comment,3,10
6,Eur-d3a5_49_farmlands-34,farmlands,Arable_land#habitat,amod>,cultivate,ADJ,33,amod> ...,-0.4251428958080179,0.2775200138319843,Mammal__class,location_comment,3,10
7,Eur-d3a5_49_farmlands-34,farmlands,Arable_land#habitat,nmod>case>,with,ADP,35,nmod>case> ...,-0.5011235353537551,-0.27215157064184586,Mammal__class,location_comment,3,10
11,Tai-3286_122_taiga-15,taiga,Taiga#habitat,nmod>case>,of,ADP,16,nmod>case> of,-0.4958783427941661,-0.2766469177254094,Mammal__class,location_comment,3,10
3,Pyg-4c07_45_mangroves-18,mangroves,Mangrove#habitat,obl<mark>,in,SCONJ,9,obl<mark> ...,0.3958060413087397,-0.05666507151464982,Mammal__class,location_comment,3,10
4,Pyg-4c07_45_mangroves-18,mangroves,Mangrove#habitat,obl<mark>,that,SCONJ,10,obl<mark> that,0.48817533598876683,-0.08333574903051032,Mammal__class,location_comment,3,10
11,Pyg-4c07_45_mangroves-18,mangroves,Mangrove#habitat,amod>,red,ADJ,17,amod> red,-0.48825150065015527,0.40078406561310564,Mammal__class,location_comment,3,10
12,Pyg-4c07_45_mangroves-18,mangroves,Mangrove#habitat,nmod>case>,of,ADP,19,nmod>case> of,-0.4958783427941661,-0.2766469177254094,Mammal__class,location_comment,3,10
3,Bon-c081_273_rainforest-5,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,tropical,ADJ,4,amod> tropical,-0.19663227744964065,0.5604054860358416,Mammal__class,location_comment,3,10
14,Pre-0725_157_swamps-22,swamps,Swamp#habitat,amod>,ree,VERB,21,amod> ...,-0.49568128593552074,0.2518535427830286,Mammal__class,location_comment,3,10
9,Pyg-4c07_12_mangroves-13,mangroves,Mangrove#habitat,amod>,red,ADJ,12,amod> red,-0.48825150065015527,0.40078406561310564,Mammal__class,location_comment,3,10
10,Pyg-4c07_12_mangroves-13,mangroves,Mangrove#habitat,nmod>case>,of,ADP,14,nmod>case> of,-0.4958783427941661,-0.2766469177254094,Mammal__class,location_comment,3,10
5,Pyg-4c07_48_mangroves-6,mangroves,Mangrove#habitat,nmod>case>,on,ADP,7,nmod>case> ...,-0.41360379389605967,-0.24643462470314237,Mammal__class,location_comment,3,10
1,Sno-0a8f_462_mountain-34,mountain,Mountain#habitat,compound<conj<amod>,large,ADJ,2,compound<conj<amod> ...,0.38171067978762213,-0.24724461350377452,Mammal__class,location_comment,6,4
2,Sno-0a8f_462_mountain-34,mountain,Mountain#habitat,compound<conj<amod>,mammalian,ADJ,3,compound<conj<amod> ...,0.2998587099006706,-0.12897936795103482,Mammal__class,location_comment,6,4
4,Sno-0a8f_462_mountain-34,mountain,Mountain#habitat,compound<conj<,species,NOUN,5,compound<conj< ...,0.2704337412356838,-0.11131753196222333,Mammal__class,location_comment,6,4
5,Sno-0a8f_462_mountain-34,mountain,Mountain#habitat,compound<conj<conj>,prey,NOUN,9,compound<conj<conj> ...,0.24310265942105772,0.2718764632172661,Mammal__class,location_comment,6,4
6,Sno-0a8f_462_mountain-34,mountain,Mountain#habitat,compound<conj<conj>,hare,NOUN,28,compound<conj<conj> hare,0.31850107253611837,0.22822954812244153,Mammal__class,location_comment,6,4
9,Sno-0a8f_462_mountain-34,mountain,Mountain#habitat,compound<conj<conj>,jackrabbit,NOUN,40,compound<conj<conj> ...,0.26406739804343526,0.1086036764670857,Mammal__class,location_comment,6,4
3,Sno-0a8f_453_mountain-30,mountain,Mountain#habitat,compound<conj<,lead,VERB,8,compound<conj< lead,0.3795131609479999,0.049971560226721834,Mammal__class,location_comment,6,4
6,Sno-0a8f_453_mountain-30,mountain,Mountain#habitat,compound<conj<conj>,grouse,NOUN,18,compound<conj<conj> grouse,0.23208921776435473,0.05637019302358588,Mammal__class,location_comment,6,4
9,Sno-0a8f_453_mountain-30,mountain,Mountain#habitat,compound<conj<conj>,adult,NOUN,29,compound<conj<conj> adult,0.12145652383720874,0.1312426976569715,Mammal__class,location_comment,6,4
15,Sno-0a8f_453_mountain-30,mountain,Mountain#habitat,compound<conj<conj>,lead,VERB,53,compound<conj<conj> lead,0.06449479393734424,0.531641134407793,Mammal__class,location_comment,6,4
18,Sno-0a8f_453_mountain-30,mountain,Mountain#habitat,compound<conj<conj>,lead,VERB,87,compound<conj<conj> lead,0.06449479393734424,0.531641134407793,Mammal__class,location_comment,6,4
20,Sno-0a8f_453_mountain-30,mountain,Mountain#habitat,compound<conj<conj>,hare,NOUN,97,compound<conj<conj> hare,0.31850107253611837,0.22822954812244153,Mammal__class,location_comment,6,4
22,Sno-0a8f_453_mountain-30,mountain,Mountain#habitat,compound<conj<conj>,european,ADJ,103,compound<conj<conj> european,0.30645673123635114,0.36036912087238915,Mammal__class,location_comment,6,4
23,Sno-0a8f_453_mountain-30,mountain,Mountain#habitat,compound<conj<conj>,rabbit,NOUN,104,compound<conj<conj> rabbit,0.3162200502842739,0.3764265127172474,Mammal__class,location_comment,6,4
3,Sno-0a8f_453_mountain-96,mountain,Mountain#habitat,compound<conj<,lead,VERB,8,compound<conj< lead,0.3795131609479999,0.049971560226721834,Mammal__class,location_comment,6,4
6,Sno-0a8f_453_mountain-96,mountain,Mountain#habitat,compound<conj<conj>,grouse,NOUN,18,compound<conj<conj> grouse,0.23208921776435473,0.05637019302358588,Mammal__class,location_comment,6,4
9,Sno-0a8f_453_mountain-96,mountain,Mountain#habitat,compound<conj<conj>,adult,NOUN,29,compound<conj<conj> adult,0.12145652383720874,0.1312426976569715,Mammal__class,location_comment,6,4
