feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj>amod> common,0.558,0.15,0.577,0.134,2,Lizard__suborder,adaptation_topic
conj<conj>det> the,0.558,0.151,0.577,0.134,2,Lizard__suborder,adaptation_topic
conj<conj>det> ...,0.555,0.154,0.577,0.134,1,Lizard__suborder,adaptation_topic
nsubj<obj>compound> colour,0.55,0.158,0.504,0.203,2,Lizard__suborder,adaptation_topic
conj<conj>cc> and,0.547,0.161,0.483,0.225,6,Lizard__suborder,adaptation_topic
nsubj<advcl> ...,0.546,0.161,0.481,0.227,4,Lizard__suborder,adaptation_topic
nmod< ...,0.545,0.162,0.481,0.227,11,Lizard__suborder,adaptation_topic
nmod>det> a,0.535,0.172,0.577,0.134,2,Lizard__suborder,adaptation_topic
conj>compound> ...,0.534,0.173,0.577,0.134,2,Lizard__suborder,adaptation_topic
conj> ...,0.528,0.179,0.412,0.31,6,Lizard__suborder,adaptation_topic
cc> and,0.521,0.186,0.504,0.203,2,Lizard__suborder,adaptation_topic
conj<conj>amod> bande,0.519,0.187,0.577,0.134,2,Lizard__suborder,adaptation_topic
conj<conj>amod> -mark,0.517,0.19,0.577,0.134,3,Lizard__suborder,adaptation_topic
conj<case> ...,0.513,0.193,0.412,0.31,2,Lizard__suborder,adaptation_topic
nsubj< grow,0.512,0.195,0.577,0.134,2,Lizard__suborder,adaptation_topic
conj<conj> monitor,0.509,0.198,0.412,0.31,6,Lizard__suborder,adaptation_topic
conj>compound> water,0.502,0.205,0.577,0.134,2,Lizard__suborder,adaptation_topic
compound> Galapagos,0.502,0.205,0.412,0.31,3,Lizard__suborder,adaptation_topic
nsubj<obl>amod> ...,0.488,0.22,0.412,0.31,3,Lizard__suborder,adaptation_topic
nsubj<advcl> spend,-0.486,0.222,-0.412,0.31,2,Lizard__suborder,adaptation_topic
nmod< species,0.485,0.223,0.378,0.356,2,Lizard__suborder,adaptation_topic
nsubj:pass< ...,0.477,0.232,0.577,0.134,7,Lizard__suborder,adaptation_topic
conj<conj>amod> plain,0.468,0.243,0.412,0.31,3,Lizard__suborder,adaptation_topic
nsubj<det> a,0.467,0.244,0.452,0.261,3,Lizard__suborder,adaptation_topic
