feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<case> as,0.816,0.013,0.577,0.134,3,Lizard__suborder,free_topic
nmod<appos>nmod> world,-0.816,0.014,-0.577,0.134,2,Lizard__suborder,free_topic
conj<det> ...,0.815,0.014,0.577,0.134,3,Lizard__suborder,free_topic
nsubj< have,0.812,0.014,0.546,0.162,6,Lizard__suborder,free_topic
conj<nmod< pest,0.812,0.014,0.756,0.03,2,Lizard__suborder,free_topic
nsubj< ...,0.811,0.014,0.464,0.247,65,Lizard__suborder,free_topic
conj> frog,0.81,0.015,0.655,0.078,7,Lizard__suborder,free_topic
nmod<det> ...,0.81,0.015,0.577,0.134,2,Lizard__suborder,free_topic
conj<nsubj> ...,0.809,0.015,0.803,0.016,10,Lizard__suborder,free_topic
conj< bird,0.807,0.015,0.409,0.314,13,Lizard__suborder,free_topic
conj> snakes,0.805,0.016,0.577,0.134,2,Lizard__suborder,free_topic
acl>xcomp> walk,-0.804,0.016,-0.577,0.134,3,Lizard__suborder,free_topic
appos<conj> ...,0.8,0.017,0.577,0.134,8,Lizard__suborder,free_topic
nmod<obl<obl> ...,0.8,0.017,0.627,0.096,7,Lizard__suborder,free_topic
conj<case> in,0.799,0.017,0.682,0.062,9,Lizard__suborder,free_topic
conj< mouse,0.798,0.018,0.546,0.162,3,Lizard__suborder,free_topic
nsubj<obl>case> as,0.793,0.019,0.577,0.134,2,Lizard__suborder,free_topic
conj>amod> green,0.792,0.019,0.577,0.134,2,Lizard__suborder,free_topic
conj< fish,0.792,0.019,0.756,0.03,4,Lizard__suborder,free_topic
nmod>case> such,0.791,0.019,0.577,0.134,2,Lizard__suborder,free_topic
conj<nmod<amod> ...,0.789,0.02,0.655,0.078,10,Lizard__suborder,free_topic
conj>nmod>amod> ...,0.789,0.02,0.577,0.134,4,Lizard__suborder,free_topic
nsubj<obl>case> during,0.788,0.02,0.577,0.134,2,Lizard__suborder,free_topic
appos>conj>cc> or,0.787,0.02,0.756,0.03,2,Lizard__suborder,free_topic
obj<advmod> also,0.787,0.021,0.655,0.078,5,Lizard__suborder,free_topic
nmod<appos>nmod> ...,-0.783,0.022,-0.577,0.134,1,Lizard__suborder,free_topic
nsubj< show,0.782,0.022,0.577,0.134,2,Lizard__suborder,free_topic
conj<case> between,0.781,0.022,0.577,0.134,2,Lizard__suborder,free_topic
nmod< that,0.774,0.024,0.577,0.134,2,Lizard__suborder,free_topic
conj<det> some,0.773,0.024,0.577,0.134,2,Lizard__suborder,free_topic
nsubj<obj> bite,0.772,0.025,0.577,0.134,2,Lizard__suborder,free_topic
