feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj>advmod> even,-0.736,0.038,-0.577,0.134,3,Accipitridae__family,adaptation_topic
nsubj:pass<obl>case> on,0.733,0.039,0.577,0.134,2,Accipitridae__family,adaptation_topic
appos> ...,0.732,0.039,0.741,0.035,15,Accipitridae__family,adaptation_topic
appos<appos>amod> eastern,0.729,0.04,0.577,0.134,2,Accipitridae__family,adaptation_topic
compound<conj<obj< include,-0.729,0.04,-0.546,0.162,3,Accipitridae__family,adaptation_topic
conj>amod> tail,0.728,0.04,0.577,0.134,4,Accipitridae__family,adaptation_topic
nsubj<nmod>case> of,0.722,0.043,0.546,0.162,10,Accipitridae__family,adaptation_topic
nsubj<nmod>det> ...,0.715,0.046,0.577,0.134,2,Accipitridae__family,adaptation_topic
conj<appos> ...,0.713,0.047,0.702,0.052,8,Accipitridae__family,adaptation_topic
nsubj<advcl>obl> ...,-0.711,0.048,-0.577,0.134,5,Accipitridae__family,adaptation_topic
appos<appos>amod> spot,0.708,0.05,0.577,0.134,2,Accipitridae__family,adaptation_topic
nmod< species,0.706,0.051,0.577,0.134,2,Accipitridae__family,adaptation_topic
conj<appos> chrysaeto,0.7,0.053,0.577,0.134,4,Accipitridae__family,adaptation_topic
det> a,-0.691,0.058,-0.733,0.039,8,Accipitridae__family,adaptation_topic
compound<conj< ...,0.688,0.06,0.327,0.429,5,Accipitridae__family,adaptation_topic
nmod<amod> more,0.684,0.061,0.577,0.134,2,Accipitridae__family,adaptation_topic
parataxis<conj> ...,-0.684,0.062,-0.577,0.134,4,Accipitridae__family,adaptation_topic
nsubj:pass<conj>appos> ...,0.683,0.062,0.577,0.134,3,Accipitridae__family,adaptation_topic
conj<appos> bellicosus,0.683,0.062,0.577,0.134,3,Accipitridae__family,adaptation_topic
case> by,0.681,0.063,0.577,0.134,5,Accipitridae__family,adaptation_topic
conj<conj>cc> and,0.68,0.064,0.385,0.346,34,Accipitridae__family,adaptation_topic
compound> juvenile,-0.679,0.064,-0.577,0.134,2,Accipitridae__family,adaptation_topic
compound<conj<det> the,0.678,0.064,0.733,0.039,3,Accipitridae__family,adaptation_topic
compound> steppe,-0.676,0.066,-0.577,0.134,2,Accipitridae__family,adaptation_topic
nmod<amod> large,0.675,0.066,0.577,0.134,2,Accipitridae__family,adaptation_topic
conj<obl<advmod> also,-0.674,0.067,-0.577,0.134,2,Accipitridae__family,adaptation_topic
compound<cc> and,0.67,0.069,0.546,0.162,4,Accipitridae__family,adaptation_topic
case> for,0.668,0.07,0.577,0.134,3,Accipitridae__family,adaptation_topic
conj<conj>appos> peregrinus,0.663,0.073,0.577,0.134,3,Accipitridae__family,adaptation_topic
nsubj<acl:relcl> take,0.662,0.074,0.577,0.134,2,Accipitridae__family,adaptation_topic
appos<conj<conj> falcon,0.66,0.075,0.577,0.134,2,Accipitridae__family,adaptation_topic
nsubj<nmod>det> the,0.659,0.075,0.546,0.162,5,Accipitridae__family,adaptation_topic
nsubj<conj>obl> ...,0.659,0.076,0.481,0.227,4,Accipitridae__family,adaptation_topic
nsubj<advmod> ...,0.657,0.077,0.522,0.185,11,Accipitridae__family,adaptation_topic
appos<xcomp>mark> to,0.656,0.077,0.546,0.162,4,Accipitridae__family,adaptation_topic
conj<conj>cc> or,0.655,0.078,0.577,0.134,2,Accipitridae__family,adaptation_topic
nmod<nmod> ...,0.654,0.078,0.764,0.027,8,Accipitridae__family,adaptation_topic
conj<appos>flat> audax,0.652,0.08,0.577,0.134,3,Accipitridae__family,adaptation_topic
nmod<conj> ...,0.649,0.082,0.577,0.134,2,Accipitridae__family,adaptation_topic
compound<appos<conj> owl,0.648,0.082,0.577,0.134,3,Accipitridae__family,adaptation_topic
