	kldiv	group	g_N
kldiv_adaptation_comment	1.166065627572268	Accipitridae__family	1874
kldiv_adaptation_topic	0.8147812216271018	Accipitridae__family	1874
kldiv_free_topic	0.5417792710622911	Accipitridae__family	1874
kldiv_location_comment	1.2913584349810616	Accipitridae__family	1874
kldiv_location_topic	0.874858115939157	Accipitridae__family	1874
kldiv_taxongroup_comment	0.36665208414793293	Accipitridae__family	1874
kldiv_taxongroup_topic	0.37353832598700304	Accipitridae__family	1874
