relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Arm-33e3_134_ants-5	Arm-33e3_135_rainforests-7	Arm-33e3_134_ants-5_4891	134	Arm-33e3_135_rainforests-7_3811	135	1	army ant	rainforest	50.0
location	Bom-c423_308_bumblebees-8	Bom-c423_307_farmland-14	Bom-c423_308_bumblebees-8_4265	308	Bom-c423_307_farmland-14_4509	307	1	bumblebees	farmland	50.0
location	Las-be5f_3_ant-11	Las-be5f_4_heathland-9	Las-be5f_3_ant-11_1698	3	Las-be5f_4_heathland-9_4518	4	1	Black garden ant	heathland	50.0
location	Pic-7ce8_53_ant-17	Pic-7ce8_52_rainforest-6	Pic-7ce8_53_ant-17_4891	53	Pic-7ce8_52_rainforest-6_3811	52	1	army ant	rainforest	50.0
location	Ant-938d_252_Atta-4	Ant-938d_251_rainforest-43	Ant-938d_252_Atta-4_1595	252	Ant-938d_251_rainforest-43_3811	251	1	Atta	rainforest	43.5
location	Des-000c_363_ant-4	Des-000c_361_desert-13	Des-000c_363_ant-4_3258	363	Des-000c_361_desert-13_3805	361	2	Saharan silver ant	desert	33.333
location	Arm-33e3_137_ant-13	Arm-33e3_135_rainforests-7	Arm-33e3_137_ant-13_4891	137	Arm-33e3_135_rainforests-7_3811	135	2	army ant	rainforest	33.333
location	Pac-29db_8_ants-6	Pac-29db_10_rainforests-18	Pac-29db_8_ants-6_4891	8	Pac-29db_10_rainforests-18_3811	10	2	army ant	rainforest	33.333
location	Bom-c423_308_bumblebees-8	Bom-c423_306_farmland-5	Bom-c423_308_bumblebees-8_4265	308	Bom-c423_306_farmland-5_4509	306	2	bumblebees	farmland	33.333
location	Des-000c_363_ant-4	Des-000c_366_desert-2	Des-000c_363_ant-4_3258	363	Des-000c_366_desert-2_34	366	3	Saharan silver ant	Desert	25.0
location	Wes-8d71_18_bee-3	Wes-8d71_20_desert-33	Wes-8d71_18_bee-3_2207	18	Wes-8d71_20_desert-33_34	20	2	European honey bee	Desert	22.0
location	Arm-33e3_131_ants-15	Arm-33e3_135_rainforests-7	Arm-33e3_131_ants-15_4891	131	Arm-33e3_135_rainforests-7_3811	135	4	army ant	rainforest	20.0
location	Pac-29db_8_ants-6	Pac-29db_12_rainforest-23	Pac-29db_8_ants-6_4891	8	Pac-29db_12_rainforest-23_3811	12	4	army ant	rainforest	20.0
location	Bom-c423_302_bumblebee-32	Bom-c423_306_farmland-5	Bom-c423_302_bumblebee-32_4265	302	Bom-c423_306_farmland-5_4509	306	4	bumblebees	farmland	20.0
location	Bom-c423_302_Bombus-9	Bom-c423_306_farmland-5	Bom-c423_302_Bombus-9_943	302	Bom-c423_306_farmland-5_4509	306	4	Bombus	farmland	20.0
location	Des-000c_363_ant-4	Des-000c_368_Desert-1	Des-000c_363_ant-4_3258	363	Des-000c_368_Desert-1_3805	368	5	Saharan silver ant	desert	16.667
location	Bom-c423_301_bumblebee-37	Bom-c423_306_farmland-5	Bom-c423_301_bumblebee-37_4265	301	Bom-c423_306_farmland-5_4509	306	5	bumblebees	farmland	16.667
location	Bom-c423_302_Bombus-9	Bom-c423_307_farmland-14	Bom-c423_302_Bombus-9_943	302	Bom-c423_307_farmland-14_4509	307	5	Bombus	farmland	16.667
location	Bom-c423_302_bumblebee-32	Bom-c423_307_farmland-14	Bom-c423_302_bumblebee-32_4265	302	Bom-c423_307_farmland-14_4509	307	5	bumblebees	farmland	16.667
location	Bom-c423_301_bumblebee-37	Bom-c423_307_farmland-14	Bom-c423_301_bumblebee-37_4265	301	Bom-c423_307_farmland-14_4509	307	6	bumblebees	farmland	14.286
location	Des-000c_363_ant-4	Des-000c_369_deserts-7	Des-000c_363_ant-4_3258	363	Des-000c_369_deserts-7_34	369	6	Saharan silver ant	Desert	14.286
location	Wes-8d71_15_bee-4	Wes-8d71_20_desert-33	Wes-8d71_15_bee-4_2209	15	Wes-8d71_20_desert-33_3805	20	5	Western honey bee	desert	13.833
location	Des-000c_363_ant-4	Des-000c_356_desert-3	Des-000c_363_ant-4_3258	363	Des-000c_356_desert-3_3805	356	7	Saharan silver ant	desert	12.5
location	Wes-8d71_14_bee-3	Wes-8d71_20_desert-33	Wes-8d71_14_bee-3_2209	14	Wes-8d71_20_desert-33_34	20	6	Western honey bee	Desert	11.857
location	Bom-c423_315_bumblebee-10	Bom-c423_307_farmland-14	Bom-c423_315_bumblebee-10_4265	315	Bom-c423_307_farmland-14_4509	307	8	bumblebees	farmland	11.111
location	Ant-938d_243_ants-3	Ant-938d_251_rainforest-43	Ant-938d_243_ants-3_4891	243	Ant-938d_251_rainforest-43_3811	251	8	army ant	rainforest	11.111
location	Ant-938d_243_ants-18	Ant-938d_251_rainforest-43	Ant-938d_243_ants-18_4891	243	Ant-938d_251_rainforest-43_3811	251	8	army ant	rainforest	11.111
location	Wes-8d71_25_bee-3	Wes-8d71_20_desert-33	Wes-8d71_25_bee-3_2207	25	Wes-8d71_20_desert-33_34	20	5	European honey bee	Desert	11.0
location	Bom-c423_315_bumblebee-10	Bom-c423_306_farmland-5	Bom-c423_315_bumblebee-10_4265	315	Bom-c423_306_farmland-5_4509	306	9	bumblebees	farmland	10.0
location	Bom-c423_316_bumblebee-4	Bom-c423_307_farmland-14	Bom-c423_316_bumblebee-4_4265	316	Bom-c423_307_farmland-14_4509	307	9	bumblebees	farmland	10.0
location	Bom-c423_316_bumblebee-4	Bom-c423_306_farmland-5	Bom-c423_316_bumblebee-4_4265	316	Bom-c423_306_farmland-5_4509	306	10	bumblebees	farmland	9.091
