,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Cen-cfeb_81_predators-19,predators,Predation#adaptation,obl<obj>,they,PRON,17,obl<obj> they,0.38361345422743864,0.1038028577117095,Snake__suborder,adaptation_comment,1,5
0,Blaa211_12_predator-2,predator,Predation#adaptation,amod>,iconic,ADJ,1,amod> ...,0.36938805747841025,-0.2672664087755261,Snake__suborder,adaptation_comment,1,5
1,Boa-7d46_25_dimorphism-3,dimorphism,Sexual_dimorphism#adaptation,amod>,sexual,ADJ,2,amod> sexual,0.2024211637749906,-0.055499509690369764,Snake__suborder,adaptation_comment,1,5
0,Boi-9f0e_14_nocturnal-2,nocturnal,Nocturnality#adaptation,advmod>,mostly,ADV,1,advmod> mostly,-0.3857691627217425,0.03277020759036768,Snake__suborder,adaptation_comment,1,5
6,Rat-4b67_5_predators-26,predators,Predation#adaptation,advmod>,that,SCONJ,24,advmod> ...,-0.31711313721912715,-0.12330979292278858,Snake__suborder,adaptation_comment,1,5
5,Add-f0f0_101_hibernation-14,hibernation,Hibernation#adaptation,obl<nsubj>,%,SYM,9,obl<nsubj> ...,0.216081728238516,-0.09033902502100119,Snake__suborder,adaptation_comment,5,8
3,Tho-fdaf_52_predators-28,predators,Predation#adaptation,obl<nsubj>,which,PRON,23,obl<nsubj> ...,0.5487085456513991,-0.5353930576544071,Snake__suborder,adaptation_comment,5,8
0,Bur-98f9_82_hibernation-6,hibernation,Hibernation#adaptation,obl<nsubj>,brumation,NOUN,1,obl<nsubj> ...,0.4854066230421468,-0.36037459526254656,Snake__suborder,adaptation_comment,5,8
5,Tre-008a_41_predator-18,predator,Predation#adaptation,obl<nsubj>,they,PRON,10,obl<nsubj> they,0.5253080126080105,-0.5229654648944166,Snake__suborder,adaptation_comment,5,8
4,Rat-4b67_209_predators-15,predators,Predation#adaptation,obl<nsubj>,they,PRON,10,obl<nsubj> they,0.5253080126080105,-0.5229654648944166,Snake__suborder,adaptation_comment,5,8
4,Rat-4b67_161_predators-16,predators,Predation#adaptation,obl<nsubj>,that,PRON,11,obl<nsubj> ...,0.5879647420681373,-0.547280820230067,Snake__suborder,adaptation_comment,5,8
6,Rat-4b67_130_predators-8,predators,Predation#adaptation,nmod>case>,of,ADP,9,nmod>case> of,-0.528716700752629,-0.26532555001981917,Snake__suborder,adaptation_comment,5,8
1,Mou9a89_5_Moulting-1,Moulting,Moulting#adaptation,nsubj<,all,ADV,3,nsubj< ...,-0.5729260357305626,0.1877980913178045,Snake__suborder,adaptation_comment,5,8
4,Com-43a2_99_predators-13,predators,Predation#adaptation,obj<mark>,to,PART,10,obj<mark> to,0.27898034579185393,-0.17102843484973856,Snake__suborder,adaptation_comment,6,3
5,Bur-98f9_88_care-20,care,Maternal_effect#adaptation,det>,no,DET,17,det> no,0.5323156246428449,0.16335580040232234,Snake__suborder,adaptation_comment,6,3
5,Bon-fbc3_115_predators-9,predators,Predation#adaptation,det>,the,DET,6,det> the,0.5668432984875871,0.11782385858379607,Snake__suborder,adaptation_comment,6,3
10,Toq-9767_66_predators-16,predators,Predation#adaptation,amod>,main,ADJ,15,amod> ...,0.5546247142389215,0.11892855256051903,Snake__suborder,adaptation_comment,2,6
12,Spr-39f8_124_predators-20,predators,Predation#adaptation,amod>,major,ADJ,19,amod> ...,0.61440004071513,0.13023710095955154,Snake__suborder,adaptation_comment,2,6
4,Ela-ca51_13_predators-10,predators,Predation#adaptation,conj<cop>,be,AUX,6,conj<cop> be,0.3571406087175703,-0.15739623098347766,Snake__suborder,adaptation_comment,2,6
6,Ela-ca51_13_predators-10,predators,Predation#adaptation,amod>,ambush,ADJ,9,amod> ambush,0.4488074301033097,0.062065271944355765,Snake__suborder,adaptation_comment,2,6
7,Ani-57f1_244_predators-43,predators,Predation#adaptation,amod>,potential,ADJ,42,amod> ...,0.4329695903380513,0.13514945521072388,Snake__suborder,adaptation_comment,2,6
2,Bla-1ce3_188_predators-4,predators,Predation#adaptation,amod>,common,ADJ,3,amod> ...,0.5324019053400317,0.07737388249282912,Snake__suborder,adaptation_comment,2,6
0,Pre-0725_163_predators-3,predators,Predation#adaptation,amod>,many,ADJ,1,amod> many,0.616062776162029,0.09958098305743332,Snake__suborder,adaptation_comment,2,6
1,Pre-0725_163_predators-3,predators,Predation#adaptation,amod>,smaller,ADJ,2,amod> ...,0.44560692279989145,0.0745775570576125,Snake__suborder,adaptation_comment,2,6
4,Nil-600c_359_predator-3,predator,Predation#adaptation,nsubj<,deadly,ADJ,6,nsubj< ...,0.35606352376541683,0.316721417358288,Snake__suborder,adaptation_comment,7,7
4,Yel-3ea8_52_predators-5,predators,Predation#adaptation,nmod>case>,such,ADJ,7,nmod>case> such,0.3908294424088708,0.3921447805743377,Snake__suborder,adaptation_comment,7,7
13,Man-7999_70_predators-20,predators,Predation#adaptation,nmod>case>,of,ADP,21,nmod>case> of,0.3843612689658562,0.5330125011076988,Snake__suborder,adaptation_comment,7,7
2,Coc-29aa_195_predators-2,predators,Predation#adaptation,nsubj<,include,VERB,4,nsubj< include,0.2647086202286704,0.33789792231646065,Snake__suborder,adaptation_comment,7,7
0,Kud-baf3_43_Predators-1,Predators,Predation#adaptation,nmod>case>,such,ADJ,3,nmod>case> such,0.3908294424088708,0.3921447805743377,Snake__suborder,adaptation_comment,7,7
7,Tig-454c_254_predators-20,predators,Predation#adaptation,nmod>case>,like,ADP,21,nmod>case> ...,0.40725236538743187,0.40476718923846255,Snake__suborder,adaptation_comment,7,7
0,Pole5d6_7_Polymorphism-1,Polymorphism,Polymorphism_biology#adaptation,nsubj<,mean,VERB,2,nsubj< ...,0.3555992882048074,0.3239577930283584,Snake__suborder,adaptation_comment,7,7
3,Boa-7d46_42_camouflage-8,camouflage,Camouflage#adaptation,case>,as,ADP,4,case> ...,-0.5296575051087079,-0.1078679659165255,Snake__suborder,adaptation_comment,4,8
7,Boa-7d46_42_camouflage-8,camouflage,Camouflage#adaptation,nmod>case>,in,ADP,9,nmod>case> in,-0.6002032070893552,-0.25164450435651914,Snake__suborder,adaptation_comment,4,8
11,Boa-7d46_42_camouflage-8,camouflage,Camouflage#adaptation,conj>,forests,NOUN,13,conj> ...,0.31012219504738747,0.36620457520286886,Snake__suborder,adaptation_comment,4,8
5,Boa-7d46_60_nocturnal-3,nocturnal,Nocturnality#adaptation,conj>,bask,VERB,8,conj> ...,0.2343849664178519,0.21838375571879945,Snake__suborder,adaptation_comment,4,8
11,Bur-98f9_93_predator-9,predator,Predation#adaptation,conj>,strike,VERB,29,conj> ...,0.14536522627351914,0.09874525951096479,Snake__suborder,adaptation_comment,4,8
4,Rat-4b67_214_predators-8,predators,Predation#adaptation,cc>,and,CCONJ,6,cc> and,-0.2597601875257366,-0.2520493304528313,Snake__suborder,adaptation_comment,4,8
8,Rat-4b67_214_predators-8,predators,Predation#adaptation,conj>,herbivore,NOUN,11,conj> ...,0.4031840862131422,0.3785101893886534,Snake__suborder,adaptation_comment,4,8
6,Ech00fc_7_nocturnal-5,nocturnal,Nocturnality#adaptation,conj>,bury,VERB,8,conj> ...,0.3049330603689502,0.33689533212259914,Snake__suborder,adaptation_comment,4,8
5,Vip0c87_4_predators-5,predators,Predation#adaptation,conj>,have,VERB,7,conj> ...,0.35012290520870293,0.27392294740191064,Snake__suborder,adaptation_comment,4,8
6,Sna-dfa9_275_ovoviviparous-6,ovoviviparous,Ovoviviparity#adaptation,conj>,retain,VERB,8,conj> ...,0.4053747199140146,0.22066726525209657,Snake__suborder,adaptation_comment,4,8
7,Kin-dc2e_71_predator-7,predator,Predation#adaptation,conj>,dominant,ADJ,9,conj> ...,0.25802785537356676,0.2602209842978399,Snake__suborder,adaptation_comment,4,8
8,Kin-dc2e_71_predator-7,predator,Predation#adaptation,nmod>case>,over,ADP,10,nmod>case> ...,-0.6097544166454051,-0.27567652950420135,Snake__suborder,adaptation_comment,4,8
0,Cro-5646_352_predators-3,predators,Predation#adaptation,amod>,other,ADJ,1,amod> other,0.1878220331709743,-0.253732912022479,Snake__suborder,adaptation_comment,3,2
