feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<case> in,0.308,0.458,0.126,0.766,2,Snake__suborder,location_comment
compound< canopy,0.299,0.472,0.412,0.31,2,Snake__suborder,location_comment
conj>amod> ...,0.295,0.478,0.312,0.452,3,Snake__suborder,location_comment
conj<amod> ...,0.289,0.488,0.247,0.555,3,Snake__suborder,location_comment
nmod<nmod<case> ...,0.27,0.517,0.343,0.406,3,Snake__suborder,location_comment
nsubj< ...,0.268,0.521,0.289,0.488,5,Snake__suborder,location_comment
obl<xcomp<conj> ...,0.25,0.55,-0.031,0.942,3,Snake__suborder,location_comment
conj<nmod<obj< ...,-0.246,0.557,-0.247,0.555,3,Snake__suborder,location_comment
obl<amod> ...,0.241,0.565,0.412,0.31,3,Snake__suborder,location_comment
conj<conj>compound> ...,-0.235,0.576,-0.169,0.689,3,Snake__suborder,location_comment
obl<aux:pass> be,-0.228,0.588,-0.312,0.452,8,Snake__suborder,location_comment
conj<nmod<obl< find,0.227,0.589,0.0,1.0,2,Snake__suborder,location_comment
conj>cc> or,0.227,0.589,0.126,0.766,2,Snake__suborder,location_comment
obl<nsubj:pass> dendrophila,-0.204,0.629,-0.247,0.555,2,Snake__suborder,location_comment
conj<conj> foothill,0.203,0.63,0.452,0.261,3,Snake__suborder,location_comment
conj<nmod<case> ...,0.188,0.656,0.082,0.846,2,Snake__suborder,location_comment
det> ...,-0.181,0.668,-0.082,0.846,1,Snake__suborder,location_comment
obl<advmod> often,0.141,0.739,0.247,0.555,2,Snake__suborder,location_comment
obl<obl>det> ...,-0.122,0.773,-0.247,0.555,1,Snake__suborder,location_comment
nmod<nmod<det> ...,0.098,0.818,0.082,0.846,1,Snake__suborder,location_comment
obl<obl>amod> ...,-0.095,0.823,0.0,1.0,4,Snake__suborder,location_comment
nmod<nmod>case> ...,0.095,0.823,0.247,0.555,3,Snake__suborder,location_comment
compound<case> ...,0.09,0.832,0.082,0.846,2,Snake__suborder,location_comment
obl<obl>det> the,0.073,0.863,0.247,0.555,3,Snake__suborder,location_comment
obl<advmod> ...,-0.071,0.867,-0.082,0.846,3,Snake__suborder,location_comment
compound> ...,-0.07,0.87,-0.062,0.883,3,Snake__suborder,location_comment
conj<conj> city,-0.063,0.882,0.0,1.0,2,Snake__suborder,location_comment
obl<mark> ...,0.052,0.903,0.247,0.555,1,Snake__suborder,location_comment
obl<obl>nmod> ...,0.049,0.909,0.031,0.942,3,Snake__suborder,location_comment
conj<nmod<obl< live,-0.047,0.913,-0.247,0.555,2,Snake__suborder,location_comment
compound<case> such,-0.041,0.924,-0.082,0.846,2,Snake__suborder,location_comment
conj<conj>cc> and,-0.021,0.961,-0.128,0.763,7,Snake__suborder,location_comment
conj<conj>amod> ...,0.014,0.973,-0.371,0.365,7,Snake__suborder,location_comment
conj<nmod<conj> valley,0.001,0.999,-0.082,0.846,2,Snake__suborder,location_comment
