rel_role	0	1	2	3	4	5	6	7	N	group
adaptation_comment	0.017	0.396	0.019	0.0	0.233	0.62	0.106	0.898	30	Life__life
adaptation_topic	0.131	0.435	0.997	0.246	0.102	0.125	0.26	0.11	25	Life__life
free_topic	0.071	0.854	0.6	0.491	0.091	0.991	0.678	0.194	131	Life__life
location_comment	0.606	0.134	0.125	0.667	0.577	0.335	0.016	0.847	10	Life__life
location_topic	0.146	0.624	0.286	0.511	0.327	0.364	0.078	0.76	12	Life__life
taxongroup_comment	0.986	0.717	0.812	0.969	0.822	0.827	0.972	0.011	33	Life__life
taxongroup_topic	0.682	0.423	0.038	0.429	0.088	0.072	0.558	0.698	63	Life__life
