,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
7,Tas-3df1_163_social-13,social,Presociality#adaptation,amod<,network,NOUN,14,amod< ...,0.4014253372992678,-0.05623579326068855,Life__life,adaptation_comment,1,10
5,Tas-3df1_165_territorial-15,territorial,Territory_animal#adaptation,amod<,animal,NOUN,16,amod< animal,0.16414389762550838,-0.06194406228477503,Life__life,adaptation_comment,1,10
2,Eur-3123_127_hierarchical-2,hierarchical,Dominance_hierarchy#adaptation,amod<,system,NOUN,4,amod< system,0.2814635855121933,-0.0644579543484824,Life__life,adaptation_comment,1,10
4,Eur-3123_127_hierarchical-2,hierarchical,Dominance_hierarchy#adaptation,amod<nsubj:pass<,think,VERB,6,amod<nsubj:pass< think,0.32703932478457554,0.09793860413486977,Life__life,adaptation_comment,1,10
3,Eur-3123_134_nocturnal-5,nocturnal,Nocturnality#adaptation,cc>,and,CCONJ,4,cc> and,0.3300172299077211,0.019724583298279967,Life__life,adaptation_comment,1,10
2,Eur-3123_127_social-3,social,Presociality#adaptation,amod<,system,NOUN,4,amod< system,0.2814635855121933,-0.0644579543484824,Life__life,adaptation_comment,1,10
4,Eur-3123_127_social-3,social,Presociality#adaptation,amod<nsubj:pass<,think,VERB,6,amod<nsubj:pass< think,0.32703932478457554,0.09793860413486977,Life__life,adaptation_comment,1,10
5,Eur-3123_135_territorial-8,territorial,Territory_animal#adaptation,amod<,defence,NOUN,9,amod< ...,0.26782662895004344,-0.08634112960634052,Life__life,adaptation_comment,1,10
2,Eur-3123_121_territorial-7,territorial,Territory_animal#adaptation,cc>,and,CCONJ,6,cc> and,0.3300172299077211,0.019724583298279967,Life__life,adaptation_comment,1,10
6,Eur-3123_164_territorial-17,territorial,Territory_animal#adaptation,amod<,boundary,NOUN,18,amod< ...,0.0527585726833841,0.04552156291210793,Life__life,adaptation_comment,1,10
4,Dom-6f87_316_territorial-8,territorial,Territory_animal#adaptation,amod<,animal,NOUN,9,amod< animal,0.16414389762550838,-0.06194406228477503,Life__life,adaptation_comment,1,10
6,Mam-3742_318_viviparous-7,viviparous,Vivipary#adaptation,amod<,mammal,NOUN,8,amod< ...,-0.0891781684017964,0.04982595947329548,Life__life,adaptation_comment,1,10
4,Tas-3df1_189_nocturnal-27,nocturnal,Nocturnality#adaptation,amod<det>,a,DET,26,amod<det> a,-0.30173411079732887,0.41310899726566463,Life__life,adaptation_comment,7,5
5,Tas-3df1_189_nocturnal-27,nocturnal,Nocturnality#adaptation,amod<,lifestyle,NOUN,28,amod< ...,-0.1866526192656779,-0.06576960119228631,Life__life,adaptation_comment,7,5
2,Tas-3df1_158_social-8,social,Presociality#adaptation,amod<,interaction,NOUN,9,amod< ...,-0.37097950584017736,-0.0883775844280807,Life__life,adaptation_comment,7,5
4,Tas-3df1_97_social-13,social,Presociality#adaptation,amod<,behaviour,NOUN,14,amod< ...,-0.3200794917388323,-0.11239715828835321,Life__life,adaptation_comment,7,5
3,Dom-6f87_315_social-18,social,Presociality#adaptation,amod<,status,NOUN,19,amod< ...,-0.23210800432628012,-0.14071408986922274,Life__life,adaptation_comment,7,5
4,Eur-3123_126_territorial-9,territorial,Territory_animal#adaptation,amod<case>,in,ADP,8,amod<case> in,-0.2844173002052238,0.1355329734247866,Life__life,adaptation_comment,7,5
5,Eur-3123_126_territorial-9,territorial,Territory_animal#adaptation,amod<,aggression,NOUN,10,amod< ...,-0.44703581108161633,-0.17545544270279073,Life__life,adaptation_comment,7,5
2,Tas-3df1_148_nocturnal-4,nocturnal,Nocturnality#adaptation,amod<det>,a,DET,3,amod<det> a,0.4545047194319356,0.1645042057096205,Life__life,adaptation_comment,4,3
4,Tas-3df1_148_nocturnal-4,nocturnal,Nocturnality#adaptation,conj>,crepuscular,ADJ,6,conj> ...,-0.5542498336885944,-0.46049819242300405,Life__life,adaptation_comment,4,3
5,Tas-3df1_148_nocturnal-4,nocturnal,Nocturnality#adaptation,amod<,hunter,NOUN,7,amod< ...,0.2830171567749024,-0.06909674329656884,Life__life,adaptation_comment,4,3
7,Tas-3df1_164_territorial-13,territorial,Territory_animal#adaptation,cc>,but,CCONJ,10,cc> ...,0.5187318146675335,-0.16833925596972693,Life__life,adaptation_comment,4,3
8,Eur-3123_122_social-6,social,Presociality#adaptation,conj>,group,NOUN,11,conj> ...,-0.5269621299651477,-0.37053492515010433,Life__life,adaptation_comment,4,3
9,Bur-08d7_19_burrowers-14,burrowers,Fossorial#adaptation,cop>,be,AUX,13,cop> be,-0.1749568925458214,0.17886042822596712,Life__life,adaptation_comment,0,3
4,Bur-08d7_13_burrowers-14,burrowers,Fossorial#adaptation,cop>,be,AUX,10,cop> be,-0.1749568925458214,0.17886042822596712,Life__life,adaptation_comment,0,3
6,Bur-08d7_13_burrowers-14,burrowers,Fossorial#adaptation,amod>,know,VERB,13,amod> ...,-0.32831257488522003,-0.14989590579109005,Life__life,adaptation_comment,0,3
0,Syn-38d5_155_viviparous-4,viviparous,Vivipary#adaptation,nsubj>amod>,most,ADJ,1,nsubj>amod> most,-0.2542439307763234,-0.1365456266616453,Life__life,adaptation_comment,0,3
2,Syn-38d5_155_viviparous-4,viviparous,Vivipary#adaptation,cop>,be,AUX,3,cop> be,-0.1749568925458214,0.17886042822596712,Life__life,adaptation_comment,0,3
