source	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	97.87	0.27	0.41	0.0	0.81	0.63	0.01	Carnivora__order	351
adaptation_topic	0.0	97.17	0.32	0.0	2.48	0.0	0.03	Carnivora__order	393
free_topic	1.16	19.65	53.25	0.0	3.16	12.87	9.91	Carnivora__order	972
location_comment	26.51	12.18	7.87	26.51	13.7	6.77	6.46	Carnivora__order	366
location_topic	0.0	25.23	0.3	0.0	74.45	0.0	0.01	Carnivora__order	476
taxongroup_comment	6.43	5.91	4.3	0.0	1.3	76.75	5.32	Carnivora__order	414
taxongroup_topic	1.98	14.14	9.2	0.0	2.14	16.52	56.02	Carnivora__order	396
