relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Gol-1dbf_254_eagles-4	Gol-1dbf_254_deserts-13	Gol-1dbf_254_eagles-4_3857	254	Gol-1dbf_254_deserts-13_3805	254	0	golden eagle	desert	100.0
location	Wes-9ef7_47_harriers-5	Wes-9ef7_47_wetland-12	Wes-9ef7_47_harriers-5_4343	47	Wes-9ef7_47_wetland-12_4542	47	0	harriers	wetlands	100.0
location	Hen-610d_98_harrier-3	Hen-610d_98_moorland-13	Hen-610d_98_harrier-3_3868	98	Hen-610d_98_moorland-13_4526	98	0	hen harrier	moorland	100.0
location	Eur-bc75_400_harrier-83	Eur-bc75_400_marsh-52	Eur-bc75_400_harrier-83_3925	400	Eur-bc75_400_marsh-52_3807	400	0	marsh harrier	marsh	100.0
location	Eur-bc75_400_harrier-54	Eur-bc75_400_marsh-52	Eur-bc75_400_harrier-54_3925	400	Eur-bc75_400_marsh-52_3807	400	0	marsh harrier	marsh	100.0
location	Har-a313_9_harrier-11	Har-a313_9_marsh-10	Har-a313_9_harrier-11_3925	9	Har-a313_9_marsh-10_3807	9	0	marsh harrier	marsh	100.0
location	Eur-bc75_400_harrier-69	Eur-bc75_400_marsh-52	Eur-bc75_400_harrier-69_3925	400	Eur-bc75_400_marsh-52_3807	400	0	marsh harrier	marsh	100.0
location	Har-a313_23_harrier-3	Har-a313_23_marsh-2	Har-a313_23_harrier-3_3925	23	Har-a313_23_marsh-2_3807	23	0	marsh harrier	marsh	100.0
location	Har-a313_24_harrier-17	Har-a313_24_marsh-6	Har-a313_24_harrier-17_3925	24	Har-a313_24_marsh-6_3807	24	0	marsh harrier	marsh	100.0
location	Har-a313_24_harrier-7	Har-a313_24_marsh-6	Har-a313_24_harrier-7_3925	24	Har-a313_24_marsh-6_3807	24	0	marsh harrier	marsh	100.0
location	Mar-80c6_8_harrier-14	Mar-80c6_8_marsh-13	Mar-80c6_8_harrier-14_3925	8	Mar-80c6_8_marsh-13_3807	8	0	marsh harrier	marsh	100.0
