relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Art-6267_126_camels-24	Art-6267_126_deserts-29	Art-6267_126_camels-24_1623	126	Art-6267_126_deserts-29_34	126	0	Bactrian camel	Desert	100.0
location	Art-6267_126_guanacos-32	Art-6267_126_mountain-44	Art-6267_126_guanacos-32_5071	126	Art-6267_126_mountain-44_4527	126	0	guanaco	mountains	100.0
location	Mus-840b_32_deer-20	Mus-840b_32_tundra-11	Mus-840b_32_deer-20_5398	32	Mus-840b_32_tundra-11_4539	32	0	red deer	tundra	100.0
location	Rei-38eb_22_reindeer-8	Rei-38eb_22_taiga-17	Rei-38eb_22_reindeer-8_5413	22	Rei-38eb_22_taiga-17_4534	22	0	reindeer	taiga	100.0
location	Rei-38eb_378_reindeer-5	Rei-38eb_378_taiga-12	Rei-38eb_378_reindeer-5_5413	378	Rei-38eb_378_taiga-12_4534	378	0	reindeer	taiga	100.0
location	Tai-3286_120_reindeer-30	Tai-3286_120_taiga-2	Tai-3286_120_reindeer-30_5413	120	Tai-3286_120_taiga-2_4534	120	0	reindeer	taiga	100.0
location	Rei-38eb_144_reindeer-40	Rei-38eb_144_tundra-54	Rei-38eb_144_reindeer-40_5413	144	Rei-38eb_144_tundra-54_4539	144	0	reindeer	tundra	100.0
location	Nom-aef8_8_reindeer-11	Nom-aef8_8_tundra-9	Nom-aef8_8_reindeer-11_5413	8	Nom-aef8_8_tundra-9_4539	8	0	reindeer	tundra	100.0
location	Mus-840b_32_reindeer-13	Mus-840b_32_tundra-11	Mus-840b_32_reindeer-13_5413	32	Mus-840b_32_tundra-11_4539	32	0	reindeer	tundra	100.0
location	Rei-38eb_78_reindeer-8	Rei-38eb_78_tundra-15	Rei-38eb_78_reindeer-8_5413	78	Rei-38eb_78_tundra-15_4539	78	0	reindeer	tundra	100.0
location	Rei-38eb_480_Reindeer-1	Rei-38eb_480_tundra-19	Rei-38eb_480_Reindeer-1_3215	480	Rei-38eb_480_tundra-19_4539	480	0	Reindeer	tundra	100.0
location	Rei-38eb_289_Reindeer-1	Rei-38eb_289_tundra-14	Rei-38eb_289_Reindeer-1_3215	289	Rei-38eb_289_tundra-14_4539	289	0	Reindeer	tundra	100.0
location	Rei-38eb_144_reindeer-55	Rei-38eb_144_tundra-54	Rei-38eb_144_reindeer-55_5413	144	Rei-38eb_144_tundra-54_4539	144	0	reindeer	tundra	100.0
location	Rei-38eb_168_reindeer-28	Rei-38eb_168_tundra-27	Rei-38eb_168_reindeer-28_5413	168	Rei-38eb_168_tundra-27_4539	168	0	reindeer	tundra	100.0
location	Rei-38eb_145_reindeer-18	Rei-38eb_145_tundra-22	Rei-38eb_145_reindeer-18_5413	145	Rei-38eb_145_tundra-22_4539	145	0	reindeer	tundra	100.0
location	Rei-38eb_74_reindeer-16	Rei-38eb_74_tundra-15	Rei-38eb_74_reindeer-16_5413	74	Rei-38eb_74_tundra-15_4539	74	0	reindeer	tundra	100.0
