feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
amod> herbaceous,0.757,0.03,0.764,0.027,5,Plant__kingdom,free_topic
acl:relcl>obl>case> from,0.756,0.03,0.577,0.134,3,Plant__kingdom,free_topic
conj<conj>cc> ...,0.754,0.031,0.577,0.134,1,Plant__kingdom,free_topic
compound<obj< have,0.753,0.031,0.577,0.134,2,Plant__kingdom,free_topic
nsubj<obj> habitat,0.751,0.032,0.756,0.03,2,Plant__kingdom,free_topic
obl<acl<case> ...,0.751,0.032,0.577,0.134,5,Plant__kingdom,free_topic
nsubj<obl>case> for,0.75,0.032,0.733,0.039,3,Plant__kingdom,free_topic
nmod<obj< have,0.75,0.032,0.577,0.134,3,Plant__kingdom,free_topic
nmod< species,0.747,0.033,0.63,0.094,8,Plant__kingdom,free_topic
nsubj<obl>case> ...,0.747,0.033,0.733,0.039,8,Plant__kingdom,free_topic
compound<nmod>conj> fruit,0.747,0.033,0.655,0.078,3,Plant__kingdom,free_topic
nmod>case>fixed> as,0.746,0.033,0.791,0.019,23,Plant__kingdom,free_topic
cc> and,0.746,0.034,0.609,0.109,63,Plant__kingdom,free_topic
nsubj<acl:relcl<det> ...,-0.745,0.034,-0.63,0.094,2,Plant__kingdom,free_topic
nmod<acl> ...,0.745,0.034,0.577,0.134,3,Plant__kingdom,free_topic
conj> animal,0.742,0.035,0.327,0.429,19,Plant__kingdom,free_topic
acl:relcl>obl>case> in,0.739,0.036,0.546,0.162,8,Plant__kingdom,free_topic
conj<nsubj< ...,0.738,0.036,0.655,0.078,6,Plant__kingdom,free_topic
obl<obl>case> in,0.737,0.037,0.655,0.078,10,Plant__kingdom,free_topic
acl>obl>det> the,0.736,0.037,0.866,0.005,7,Plant__kingdom,free_topic
obl> ...,0.736,0.038,0.577,0.134,3,Plant__kingdom,free_topic
obj<conj<nsubj> plant,0.734,0.038,0.577,0.134,2,Plant__kingdom,free_topic
nsubj<conj>cc> and,0.731,0.04,0.791,0.019,15,Plant__kingdom,free_topic
conj> tree,0.728,0.041,0.436,0.28,8,Plant__kingdom,free_topic
obl<obl>case> from,0.725,0.042,0.63,0.094,2,Plant__kingdom,free_topic
nmod<nsubj<advcl> ...,-0.725,0.042,-0.764,0.027,4,Plant__kingdom,free_topic
compound<nmod>case> to,0.725,0.042,0.577,0.134,2,Plant__kingdom,free_topic
compound<det> these,0.723,0.043,0.733,0.039,3,Plant__kingdom,free_topic
nsubj> they,0.722,0.043,0.577,0.134,3,Plant__kingdom,free_topic
compound<conj<conj> weasel,0.722,0.043,0.577,0.134,3,Plant__kingdom,free_topic
obj<acl:relcl< ...,-0.722,0.043,-0.454,0.259,5,Plant__kingdom,free_topic
appos<compound> ...,0.721,0.044,0.764,0.027,3,Plant__kingdom,free_topic
appos<conj> ...,0.721,0.044,0.577,0.134,6,Plant__kingdom,free_topic
nmod<amod> greater,0.721,0.044,0.577,0.134,3,Plant__kingdom,free_topic
obl<ccomp> ...,-0.719,0.044,-0.732,0.039,3,Plant__kingdom,free_topic
conj>cc> but,0.719,0.044,0.577,0.134,3,Plant__kingdom,free_topic
compound<obl< make,-0.716,0.046,-0.577,0.134,3,Plant__kingdom,free_topic
obl<mark> when,0.715,0.046,0.733,0.039,3,Plant__kingdom,free_topic
nmod<amod> wide,0.715,0.046,0.577,0.134,2,Plant__kingdom,free_topic
obl<obl>case> ...,0.715,0.046,0.577,0.134,6,Plant__kingdom,free_topic
compound<conj<conj> snake,0.714,0.046,0.577,0.134,2,Plant__kingdom,free_topic
compound<nmod>case> include,0.713,0.047,0.546,0.162,4,Plant__kingdom,free_topic
conj<conj> spruce,0.711,0.048,0.577,0.134,2,Plant__kingdom,free_topic
nsubj<det> a,0.71,0.048,0.756,0.03,2,Plant__kingdom,free_topic
conj<conj>cc> or,0.71,0.049,0.577,0.134,2,Plant__kingdom,free_topic
appos>compound> ...,0.709,0.049,0.627,0.096,6,Plant__kingdom,free_topic
nmod<amod> great,0.709,0.049,0.577,0.134,2,Plant__kingdom,free_topic
compound<compound<amod> ...,-0.708,0.05,-0.655,0.078,4,Plant__kingdom,free_topic
compound<obj< take,0.707,0.05,0.577,0.134,2,Plant__kingdom,free_topic
obj<advmod> also,0.705,0.051,0.327,0.429,3,Plant__kingdom,free_topic
nmod> range,0.705,0.051,0.63,0.094,2,Plant__kingdom,free_topic
nmod<obl<obj> ...,0.705,0.051,0.655,0.078,3,Plant__kingdom,free_topic
conj>compound> waste,0.703,0.052,0.63,0.094,2,Plant__kingdom,free_topic
conj> species,0.702,0.052,0.655,0.078,7,Plant__kingdom,free_topic
compound<obj<obj> ...,-0.702,0.052,-0.655,0.078,4,Plant__kingdom,free_topic
compound< family,0.701,0.053,0.756,0.03,6,Plant__kingdom,free_topic
nmod<nmod>case> such,-0.7,0.053,-0.436,0.28,3,Plant__kingdom,free_topic
nmod<nmod<amod> ...,-0.699,0.054,-0.436,0.28,3,Plant__kingdom,free_topic
nmod<conj<conj> ginkgoe,0.698,0.054,0.577,0.134,4,Plant__kingdom,free_topic
obl<conj<cop> be,0.698,0.054,0.733,0.039,3,Plant__kingdom,free_topic
case> to,0.697,0.055,0.846,0.008,13,Plant__kingdom,free_topic
nsubj<advmod> not,0.697,0.055,0.504,0.203,2,Plant__kingdom,free_topic
compound<acl:relcl>obl> ...,-0.696,0.055,-0.577,0.134,3,Plant__kingdom,free_topic
nmod<amod> find,0.696,0.055,0.577,0.134,2,Plant__kingdom,free_topic
compound<nmod<obj< unearth,0.695,0.056,0.577,0.134,2,Plant__kingdom,free_topic
nmod<cop> be,0.694,0.056,0.655,0.078,16,Plant__kingdom,free_topic
cc> or,0.694,0.056,0.627,0.096,9,Plant__kingdom,free_topic
compound<nmod<amod> small,-0.694,0.056,-0.577,0.134,2,Plant__kingdom,free_topic
case> from,0.693,0.057,0.776,0.024,20,Plant__kingdom,free_topic
obl<obl>case> as,0.692,0.057,0.732,0.039,3,Plant__kingdom,free_topic
compound<conj<conj> beetle,0.692,0.057,0.577,0.134,2,Plant__kingdom,free_topic
obl<advcl<nsubj:pass> ...,0.692,0.057,0.733,0.039,3,Plant__kingdom,free_topic
compound<amod> other,0.692,0.057,0.846,0.008,12,Plant__kingdom,free_topic
obl<nsubj> it,0.691,0.057,0.577,0.134,3,Plant__kingdom,free_topic
nmod<obl<aux:pass> be,-0.691,0.058,-0.764,0.027,5,Plant__kingdom,free_topic
compound<det> ...,0.69,0.058,0.577,0.134,1,Plant__kingdom,free_topic
nsubj> these,0.689,0.059,0.63,0.094,2,Plant__kingdom,free_topic
acl>obl>case> ...,0.688,0.059,0.779,0.023,8,Plant__kingdom,free_topic
