relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Par5cb2_23_oak-4	Par5cb2_23_parklands-22	Par5cb2_23_oak-4_4407	23	Par5cb2_23_parklands-22_4529	23	0	oaks	parkland	100.0
location	Sag-0ea8_114_saguaros-6	Sag-0ea8_114_deserts-27	Sag-0ea8_114_saguaros-6_5438	114	Sag-0ea8_114_deserts-27_34	114	0	saguaros	Desert	100.0
location	Que-fbc5_28_oak-20	Que-fbc5_28_wood-18	Que-fbc5_28_oak-20_4407	28	Que-fbc5_28_wood-18_4508	28	0	oaks	oak wood	100.0
location	Que-fbc5_28_oak-17	Que-fbc5_28_wood-18	Que-fbc5_28_oak-17_4407	28	Que-fbc5_28_wood-18_4508	28	0	oaks	oak wood	100.0
location	Dir-7dc2_149_oak-8	Dir-7dc2_149_parklands-19	Dir-7dc2_149_oak-8_4407	149	Dir-7dc2_149_parklands-19_4529	149	0	oaks	parkland	100.0
location	Ulm-8a7b_59_hawthorn-31	Ulm-8a7b_59_hedgerows-32	Ulm-8a7b_59_hawthorn-31_4834	59	Ulm-8a7b_59_hedgerows-32_4519	59	0	hawthorn	hedgerows	100.0
location	Oakb84d_6_Oak-1	Oakb84d_6_wood-2	Oakb84d_6_Oak-1_4407	6	Oakb84d_6_wood-2_4508	6	0	oaks	oak wood	100.0
location	Ven-77c9_61_flytrap-3	Ven-77c9_61_bogs-17	Ven-77c9_61_flytrap-3_3603	61	Ven-77c9_61_bogs-17_4511	61	0	Venus flytrap	bog	100.0
location	Sag-0ea8_153_saguaros-5	Sag-0ea8_153_deserts-11	Sag-0ea8_153_saguaros-5_5438	153	Sag-0ea8_153_deserts-11_34	153	0	saguaros	Desert	100.0
location	Oak-f2b6_168_oak-19	Oak-f2b6_168_wood-20	Oak-f2b6_168_oak-19_4407	168	Oak-f2b6_168_wood-20_4508	168	0	oaks	oak wood	100.0
location	Bla0b20_4_blackberries-2	Bla0b20_4_hedgerows-9	Bla0b20_4_blackberries-2_4679	4	Bla0b20_4_hedgerows-9_4519	4	0	blackberry	hedgerows	100.0
location	Que-fbc5_28_oak-10	Que-fbc5_28_wood-18	Que-fbc5_28_oak-10_4407	28	Que-fbc5_28_wood-18_4508	28	0	oaks	oak wood	100.0
location	Bee-f189_10_beech-4	Bee-f189_10_wood-5	Bee-f189_10_beech-4_4930	10	Bee-f189_10_wood-5_4516	10	0	beech	beech wood	83.0
location	Engedc7_7_beech-9	Engedc7_7_wood-10	Engedc7_7_beech-9_4930	7	Engedc7_7_wood-10_4516	7	0	beech	beech wood	83.0
location	Tax-9735_43_beech-22	Tax-9735_43_woods-23	Tax-9735_43_beech-22_4930	43	Tax-9735_43_woods-23_4516	43	0	beech	beech wood	83.0
location	Ban-5f22_33_brambles-14	Ban-5f22_33_hedgerows-6	Ban-5f22_33_brambles-14_4680	33	Ban-5f22_33_hedgerows-6_4519	33	0	bramble	hedgerows	83.0
location	hed51b8_7_brambles-3	hed51b8_7_hedgerow-19	hed51b8_7_brambles-3_4680	7	hed51b8_7_hedgerow-19_4519	7	0	bramble	hedgerows	83.0
location	Par5cb2_23_beech-8	Par5cb2_23_parklands-22	Par5cb2_23_beech-8_4930	23	Par5cb2_23_parklands-22_4529	23	0	beech	parkland	83.0
location	Bee-f189_114_beech-17	Bee-f189_114_wood-18	Bee-f189_114_beech-17_4930	114	Bee-f189_114_wood-18_4516	114	0	beech	beech wood	83.0
location	Roe-b5ac_107_bramble-12	Roe-b5ac_107_hedgerow-26	Roe-b5ac_107_bramble-12_4680	107	Roe-b5ac_107_hedgerow-26_4519	107	0	bramble	hedgerows	83.0
location	Ace-0af3_134_Sycamore-1	Ace-0af3_135_coastal-14	Ace-0af3_134_Sycamore-1_1417	134	Ace-0af3_135_coastal-14_4514	135	1	Sycamore	coastal	50.0
location	Sag-0ea8_150_Saguaros-1	Sag-0ea8_151_desert-3	Sag-0ea8_150_Saguaros-1_3256	150	Sag-0ea8_151_desert-3_3805	151	1	Saguaros	desert	50.0
location	Elm-3ea7_100_elm-8	Elm-3ea7_101_hedgerows-5	Elm-3ea7_100_elm-8_3586	100	Elm-3ea7_101_hedgerows-5_4519	101	1	English elm	hedgerows	50.0
location	Que-fbc5_29_Quercus-17	Que-fbc5_28_wood-18	Que-fbc5_29_Quercus-17_1175	29	Que-fbc5_28_wood-18_4508	28	1	Quercus	oak wood	50.0
location	Que-fbc5_29_Quercus-19	Que-fbc5_28_wood-18	Que-fbc5_29_Quercus-19_1175	29	Que-fbc5_28_wood-18_4508	28	1	Quercus	oak wood	50.0
location	Ace-0af3_87_sycamore-7	Ace-0af3_88_farmland-12	Ace-0af3_87_sycamore-7_4562	87	Ace-0af3_88_farmland-12_4509	88	1	sycamore	farmland	50.0
location	Nea-9375_26_oak-27	Nea-9375_27_forest-10	Nea-9375_26_oak-27_4407	26	Nea-9375_27_forest-10_4535	27	1	oaks	broadleaf forest	50.0
location	Lon-83cf_36_oak-24	Lon-83cf_35_farmland-19	Lon-83cf_36_oak-24_4407	36	Lon-83cf_35_farmland-19_4509	35	1	oaks	farmland	50.0
location	Dir-7dc2_150_oak-21	Dir-7dc2_149_parklands-19	Dir-7dc2_150_oak-21_4407	150	Dir-7dc2_149_parklands-19_4529	149	1	oaks	parkland	50.0
location	Ace-0af3_87_sycamore-7	Ace-0af3_88_hedgerows-23	Ace-0af3_87_sycamore-7_4562	87	Ace-0af3_88_hedgerows-23_4519	88	1	sycamore	hedgerows	50.0
location	Dir-7dc2_152_sycamore-35	Dir-7dc2_153_coastal-13	Dir-7dc2_152_sycamore-35_4562	152	Dir-7dc2_153_coastal-13_1353	153	1	sycamore	Coastal	50.0
location	Nea-9375_26_oak-27	Nea-9375_27_forest-22	Nea-9375_26_oak-27_4407	26	Nea-9375_27_forest-22_4535	27	1	oaks	broadleaf forest	50.0
location	Ace-0af3_87_sycamore-7	Ace-0af3_88_land-15	Ace-0af3_87_sycamore-7_4562	87	Ace-0af3_88_land-15_4513	88	1	sycamore	brownfield land	50.0
location	Bla0b20_3_brambles-6	Bla0b20_4_hedgerows-9	Bla0b20_3_brambles-6_4680	3	Bla0b20_4_hedgerows-9_4519	4	1	bramble	hedgerows	41.5
location	hed51b8_7_brambles-3	hed51b8_8_hedgerow-17	hed51b8_7_brambles-3_4680	7	hed51b8_8_hedgerow-17_4519	8	1	bramble	hedgerows	41.5
location	Eur-07b4_54_brambles-9	Eur-07b4_53_hedgerows-26	Eur-07b4_54_brambles-9_4680	54	Eur-07b4_53_hedgerows-26_4519	53	1	bramble	hedgerows	41.5
location	Engedc7_6_Beech-1	Engedc7_7_wood-10	Engedc7_6_Beech-1_2183	6	Engedc7_7_wood-10_4516	7	1	Beech	beech wood	41.5
location	Par5cb2_23_oak-4	Par5cb2_21_parklands-23	Par5cb2_23_oak-4_4407	23	Par5cb2_21_parklands-23_4529	21	2	oaks	parkland	33.333
location	Ulm-8a7b_59_hawthorn-31	Ulm-8a7b_61_hedgerows-10	Ulm-8a7b_59_hawthorn-31_4834	59	Ulm-8a7b_61_hedgerows-10_4519	61	2	hawthorn	hedgerows	33.333
location	Hed-8dc6_31_hawthorn-10	Hed-8dc6_29_hedgerow-16	Hed-8dc6_31_hawthorn-10_4834	31	Hed-8dc6_29_hedgerow-16_4519	29	2	hawthorn	hedgerows	33.333
location	Hed-8dc6_31_hawthorn-10	Hed-8dc6_33_hedgerows-2	Hed-8dc6_31_hawthorn-10_4834	31	Hed-8dc6_33_hedgerows-2_4519	33	2	hawthorn	hedgerows	33.333
location	Bla0b20_6_Blackberry-7	Bla0b20_4_hedgerows-9	Bla0b20_6_Blackberry-7_1678	6	Bla0b20_4_hedgerows-9_4519	4	2	Blackberry	hedgerows	33.333
location	Cra60c2_6_hawthorns-11	Cra60c2_4_hedgerow-8	Cra60c2_6_hawthorns-11_4834	6	Cra60c2_4_hedgerow-8_4519	4	2	hawthorn	hedgerows	33.333
location	Hed-8dc6_31_hawthorn-10	Hed-8dc6_29_hedgerows-3	Hed-8dc6_31_hawthorn-10_4834	31	Hed-8dc6_29_hedgerows-3_4519	29	2	hawthorn	hedgerows	33.333
location	Ade-b6ba_4_star-8	Ade-b6ba_2_desert-9	Ade-b6ba_4_star-8_1436	4	Ade-b6ba_2_desert-9_3805	2	2	Sabi star	desert	27.667
