feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
obl<aux> ...,0.652,0.08,0.63,0.094,2,Fungus__kingdom,free_topic
conj<conj>cc> and,0.651,0.081,0.723,0.043,56,Fungus__kingdom,free_topic
conj<nmod<amod> taxonomic,0.65,0.081,0.577,0.134,2,Fungus__kingdom,free_topic
acl>obl>case> ...,0.647,0.083,0.577,0.134,1,Fungus__kingdom,free_topic
obl<advmod> ...,0.647,0.083,0.436,0.28,5,Fungus__kingdom,free_topic
advmod> ...,0.644,0.085,0.62,0.101,3,Fungus__kingdom,free_topic
conj<amod> ...,0.64,0.087,0.548,0.16,12,Fungus__kingdom,free_topic
nsubj:pass<aux:pass> be,0.638,0.089,0.733,0.039,3,Fungus__kingdom,free_topic
conj<acl>obl> ...,0.637,0.09,0.514,0.192,3,Fungus__kingdom,free_topic
obl<obl> ...,0.634,0.091,0.627,0.096,6,Fungus__kingdom,free_topic
nmod>case> of,0.632,0.092,0.504,0.203,2,Fungus__kingdom,free_topic
conj< ...,0.63,0.094,0.482,0.227,30,Fungus__kingdom,free_topic
case> ...,0.628,0.095,0.518,0.188,9,Fungus__kingdom,free_topic
conj<conj>cc> or,0.626,0.097,0.592,0.122,5,Fungus__kingdom,free_topic
conj<nsubj> ...,0.626,0.097,0.851,0.007,9,Fungus__kingdom,free_topic
nmod<obl< provide,0.62,0.101,0.577,0.134,2,Fungus__kingdom,free_topic
conj<nmod< growth,0.617,0.103,0.577,0.134,2,Fungus__kingdom,free_topic
obl<conj> ...,0.609,0.109,0.733,0.039,3,Fungus__kingdom,free_topic
amod>advmod> even,0.609,0.109,0.63,0.094,2,Fungus__kingdom,free_topic
conj< alga,0.606,0.111,0.436,0.28,11,Fungus__kingdom,free_topic
conj<nmod<amod> ...,0.6,0.116,0.825,0.012,9,Fungus__kingdom,free_topic
case> as,0.596,0.119,0.63,0.094,2,Fungus__kingdom,free_topic
acl>obj> ...,0.596,0.119,0.546,0.162,3,Fungus__kingdom,free_topic
conj<obj<nsubj> ...,0.596,0.119,0.552,0.156,15,Fungus__kingdom,free_topic
case> from,0.596,0.119,0.327,0.429,4,Fungus__kingdom,free_topic
conj<amod> many,0.595,0.12,0.756,0.03,2,Fungus__kingdom,free_topic
nmod<obl< ...,0.594,0.121,0.577,0.134,10,Fungus__kingdom,free_topic
conj< viruse,0.594,0.121,0.218,0.604,3,Fungus__kingdom,free_topic
