source	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	23.08	0.48	23.08	0.04	7.18	23.08	23.08	Bovid__family	115
adaptation_topic	0.0	49.32	24.0	0.02	2.86	7.87	15.93	Bovid__family	202
free_topic	0.0	0.0	97.79	0.0	0.0	0.06	2.15	Bovid__family	555
location_comment	0.0	0.08	23.81	57.45	1.11	7.7	9.85	Bovid__family	98
location_topic	0.0	0.34	17.22	0.0	63.12	6.6	12.73	Bovid__family	171
taxongroup_comment	0.0	0.01	3.77	0.0	0.16	91.03	5.03	Bovid__family	297
taxongroup_topic	0.0	0.0	5.87	0.0	0.0	0.93	93.2	Bovid__family	315
