feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<compound> ...,-0.264,0.528,-0.378,0.356,4,Bovid__family,location_comment
obl<obl>case> ...,0.256,0.541,0.247,0.555,1,Bovid__family,location_comment
obl<obl>case> in,0.246,0.557,0.082,0.846,2,Bovid__family,location_comment
compound<nmod>compound> United,0.246,0.557,0.247,0.555,2,Bovid__family,location_comment
compound<obl<nsubj> subspecy,0.244,0.56,0.247,0.555,2,Bovid__family,location_comment
amod> ...,0.239,0.569,0.089,0.833,7,Bovid__family,location_comment
compound<nsubj< ...,0.234,0.576,0.399,0.328,7,Bovid__family,location_comment
compound<nmod> States,0.228,0.587,0.082,0.846,2,Bovid__family,location_comment
compound<nmod<amod> ...,-0.223,0.596,-0.247,0.555,5,Bovid__family,location_comment
compound<compound<det> the,-0.189,0.655,-0.247,0.555,3,Bovid__family,location_comment
appos>nmod>case> ...,-0.175,0.678,-0.047,0.912,3,Bovid__family,location_comment
appos>nmod> change,-0.17,0.687,-0.082,0.846,2,Bovid__family,location_comment
compound<cc> and,0.169,0.689,0.156,0.712,5,Bovid__family,location_comment
compound<conj<det> the,-0.167,0.692,-0.094,0.826,5,Bovid__family,location_comment
det> ...,0.167,0.693,0.082,0.846,1,Bovid__family,location_comment
compound<compound<det> ...,-0.162,0.701,-0.082,0.846,2,Bovid__family,location_comment
obl< occur,0.154,0.717,0.126,0.766,2,Bovid__family,location_comment
compound<compound<case> of,0.135,0.749,-0.082,0.846,2,Bovid__family,location_comment
compound<conj<compound> river,-0.135,0.75,-0.247,0.555,2,Bovid__family,location_comment
appos>amod> ...,0.134,0.752,0.056,0.895,3,Bovid__family,location_comment
obl<obl> ...,0.129,0.761,0.412,0.31,3,Bovid__family,location_comment
compound<obl<nsubj> ...,0.127,0.765,0.094,0.826,3,Bovid__family,location_comment
compound<conj< ...,-0.126,0.767,-0.192,0.648,5,Bovid__family,location_comment
nmod<conj>cc> and,-0.111,0.794,0.082,0.846,3,Bovid__family,location_comment
compound<conj<conj> ...,0.109,0.797,-0.031,0.942,6,Bovid__family,location_comment
compound<nmod>compound> North,-0.109,0.798,-0.126,0.766,2,Bovid__family,location_comment
compound<conj< type,0.107,0.8,0.082,0.846,2,Bovid__family,location_comment
compound> Kalahari,0.106,0.802,-0.031,0.942,3,Bovid__family,location_comment
amod> Temperate,-0.106,0.803,0.027,0.948,7,Bovid__family,location_comment
appos>nmod> ...,0.099,0.816,0.047,0.912,3,Bovid__family,location_comment
compound<conj<case> ...,-0.091,0.829,-0.126,0.766,4,Bovid__family,location_comment
compound<amod> grassy,-0.086,0.839,0.0,1.0,2,Bovid__family,location_comment
amod> arctic,-0.086,0.84,-0.234,0.577,3,Bovid__family,location_comment
nmod:poss>conj> ...,-0.06,0.887,0.082,0.846,3,Bovid__family,location_comment
compound<nmod< ...,-0.059,0.89,-0.094,0.826,7,Bovid__family,location_comment
compound<conj<amod> ...,-0.057,0.894,-0.206,0.624,4,Bovid__family,location_comment
compound<obl<cc> and,0.053,0.902,0.082,0.846,3,Bovid__family,location_comment
compound<compound<case> ...,0.041,0.923,-0.082,0.846,1,Bovid__family,location_comment
nmod> Africa,0.03,0.943,0.126,0.766,2,Bovid__family,location_comment
nmod<nmod< ...,0.027,0.949,0.171,0.685,5,Bovid__family,location_comment
compound<appos>compound> ...,0.023,0.956,0.126,0.766,4,Bovid__family,location_comment
nmod>compound> ...,-0.01,0.981,0.0,1.0,5,Bovid__family,location_comment
obj< ...,0.007,0.986,0.179,0.672,5,Bovid__family,location_comment
compound<obl<conj< ...,-0.006,0.989,-0.247,0.555,3,Bovid__family,location_comment
compound<compound<compound> water,0.004,0.992,0.082,0.846,4,Bovid__family,location_comment
