feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
obl<acl<det> the,-0.697,0.055,-0.655,0.078,3,Bovid__family,taxongroup_topic
compound<nsubj:pass<aux:pass> be,0.696,0.055,0.577,0.134,3,Bovid__family,taxongroup_topic
nmod<conj>nmod> ...,0.694,0.056,0.436,0.28,3,Bovid__family,taxongroup_topic
nmod>case> of,0.693,0.057,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<nmod<compound> ...,-0.692,0.057,-0.577,0.134,3,Bovid__family,taxongroup_topic
acl:relcl>nsubj> ...,0.692,0.057,0.577,0.134,1,Bovid__family,taxongroup_topic
obl<parataxis< ...,0.688,0.059,0.546,0.162,3,Bovid__family,taxongroup_topic
compound> Capra,0.685,0.061,0.732,0.039,3,Bovid__family,taxongroup_topic
case> of,0.683,0.062,0.511,0.196,25,Bovid__family,taxongroup_topic
case> ...,0.682,0.063,0.546,0.162,8,Bovid__family,taxongroup_topic
nsubj< one,0.681,0.063,0.577,0.134,3,Bovid__family,taxongroup_topic
nsubj< animal,0.681,0.063,0.327,0.429,14,Bovid__family,taxongroup_topic
nsubj:pass< know,-0.677,0.065,-0.63,0.094,2,Bovid__family,taxongroup_topic
nmod<obl<nsubj> ...,0.677,0.065,0.577,0.134,6,Bovid__family,taxongroup_topic
cc> or,0.676,0.066,0.577,0.134,4,Bovid__family,taxongroup_topic
appos>nmod>case> ...,0.675,0.066,0.577,0.134,1,Bovid__family,taxongroup_topic
case> taurus,-0.671,0.068,-0.577,0.134,2,Bovid__family,taxongroup_topic
nmod>case> in,0.671,0.068,0.577,0.134,5,Bovid__family,taxongroup_topic
compound>conj> ...,-0.669,0.07,-0.436,0.28,3,Bovid__family,taxongroup_topic
conj< animal,0.669,0.07,0.577,0.134,2,Bovid__family,taxongroup_topic
compound> sea,0.667,0.071,0.566,0.144,6,Bovid__family,taxongroup_topic
case> such,0.663,0.073,0.289,0.488,10,Bovid__family,taxongroup_topic
nsubj< mammal,0.662,0.074,0.577,0.134,5,Bovid__family,taxongroup_topic
nmod<conj<conj> head,0.662,0.074,0.63,0.094,2,Bovid__family,taxongroup_topic
compound< antelope,-0.657,0.077,-0.504,0.203,2,Bovid__family,taxongroup_topic
nsubj< species,0.653,0.079,0.577,0.134,3,Bovid__family,taxongroup_topic
appos<acl>obl> ...,-0.649,0.081,-0.733,0.039,3,Bovid__family,taxongroup_topic
compound< ...,-0.649,0.082,-0.456,0.256,29,Bovid__family,taxongroup_topic
obl< similar,0.649,0.082,0.756,0.03,2,Bovid__family,taxongroup_topic
appos>nmod>case> in,-0.649,0.082,-0.577,0.134,2,Bovid__family,taxongroup_topic
conj<compound> ...,0.647,0.083,0.655,0.078,3,Bovid__family,taxongroup_topic
det> ...,0.647,0.083,0.655,0.078,3,Bovid__family,taxongroup_topic
nmod< animal,0.646,0.083,0.577,0.134,5,Bovid__family,taxongroup_topic
nmod<nsubj:pass< ...,0.645,0.084,0.546,0.162,3,Bovid__family,taxongroup_topic
case> include,0.644,0.085,0.577,0.134,7,Bovid__family,taxongroup_topic
obl< refer,0.642,0.086,0.756,0.03,2,Bovid__family,taxongroup_topic
appos>det> the,0.641,0.087,0.436,0.28,3,Bovid__family,taxongroup_topic
conj<appos> norvegicus,0.639,0.088,0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj< ...,0.639,0.088,-0.027,0.949,33,Bovid__family,taxongroup_topic
case> with,0.638,0.089,0.577,0.134,2,Bovid__family,taxongroup_topic
conj< sheep,0.632,0.093,0.536,0.171,5,Bovid__family,taxongroup_topic
appos<flat> ...,0.632,0.093,0.504,0.203,4,Bovid__family,taxongroup_topic
nsubj<obl>compound> ...,0.625,0.097,0.109,0.797,7,Bovid__family,taxongroup_topic
obl<nsubj> ...,0.625,0.097,0.412,0.31,6,Bovid__family,taxongroup_topic
conj> Bubalus,0.625,0.097,0.577,0.134,3,Bovid__family,taxongroup_topic
conj<case> such,0.624,0.098,0.546,0.162,7,Bovid__family,taxongroup_topic
nmod<appos>det> ...,-0.624,0.098,-0.577,0.134,1,Bovid__family,taxongroup_topic
conj>amod> wild,0.622,0.099,0.504,0.203,2,Bovid__family,taxongroup_topic
nsubj<case> among,0.621,0.101,0.63,0.094,2,Bovid__family,taxongroup_topic
appos<acl>advmod> also,0.617,0.103,0.546,0.162,3,Bovid__family,taxongroup_topic
nmod<conj<det> the,0.617,0.103,0.218,0.604,4,Bovid__family,taxongroup_topic
amod> Nubian,-0.616,0.104,-0.756,0.03,4,Bovid__family,taxongroup_topic
conj<conj>appos> jemlahicus,0.615,0.104,0.577,0.134,2,Bovid__family,taxongroup_topic
compound<conj<conj> ...,-0.613,0.106,-0.495,0.212,9,Bovid__family,taxongroup_topic
appos<list> ...,0.612,0.107,0.756,0.03,4,Bovid__family,taxongroup_topic
compound< species,-0.612,0.107,-0.577,0.134,2,Bovid__family,taxongroup_topic
nsubj<case> ...,0.612,0.107,0.577,0.134,1,Bovid__family,taxongroup_topic
conj<conj> Bubalus,0.61,0.108,0.577,0.134,3,Bovid__family,taxongroup_topic
conj<appos> antler,0.604,0.113,0.577,0.134,3,Bovid__family,taxongroup_topic
conj<appos> Ovibos,0.6,0.116,0.577,0.134,2,Bovid__family,taxongroup_topic
conj<obl<nsubj> it,-0.6,0.116,-0.514,0.192,3,Bovid__family,taxongroup_topic
nmod<obl< ...,0.598,0.118,0.577,0.134,11,Bovid__family,taxongroup_topic
nsubj<appos> ...,0.598,0.118,0.577,0.134,9,Bovid__family,taxongroup_topic
conj<case> ...,0.597,0.118,0.546,0.162,9,Bovid__family,taxongroup_topic
nmod<appos>nmod> ...,0.597,0.118,0.577,0.134,2,Bovid__family,taxongroup_topic
obl<mark> ...,0.594,0.121,0.577,0.134,3,Bovid__family,taxongroup_topic
acl>obl>amod> ...,0.593,0.121,0.546,0.162,3,Bovid__family,taxongroup_topic
conj< cattle,0.593,0.121,0.733,0.039,6,Bovid__family,taxongroup_topic
conj<appos>det> the,0.592,0.122,0.577,0.134,5,Bovid__family,taxongroup_topic
nmod<obl<aux:pass> be,-0.589,0.124,-0.412,0.31,3,Bovid__family,taxongroup_topic
nsubj<nmod>case> with,0.588,0.126,0.577,0.134,3,Bovid__family,taxongroup_topic
nsubj<obj>amod> ...,0.587,0.126,0.655,0.078,12,Bovid__family,taxongroup_topic
nmod<nsubj<conj> ...,0.586,0.127,0.577,0.134,3,Bovid__family,taxongroup_topic
conj>flat> ...,0.583,0.13,0.514,0.192,6,Bovid__family,taxongroup_topic
compound<conj< ...,-0.58,0.132,-0.289,0.488,6,Bovid__family,taxongroup_topic
nsubj< member,0.579,0.132,0.577,0.134,3,Bovid__family,taxongroup_topic
conj<case> with,0.578,0.134,0.655,0.078,5,Bovid__family,taxongroup_topic
conj<appos>conj> head,0.574,0.136,0.577,0.134,2,Bovid__family,taxongroup_topic
compound> family,0.572,0.139,0.218,0.604,3,Bovid__family,taxongroup_topic
obj<nsubj>compound> water,0.568,0.142,0.577,0.134,2,Bovid__family,taxongroup_topic
