relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Tai-3286_7_pines-30	Tai-3286_7_taiga-42	Tai-3286_7_pines-30_4432	7	Tai-3286_7_taiga-42_4534	7	0	pines	taiga	100.0
location	Tai-3286_89_pine-18	Tai-3286_89_taiga-5	Tai-3286_89_pine-18_4432	89	Tai-3286_89_taiga-5_4534	89	0	pines	taiga	100.0
location	Tai-3286_180_conifers-17	Tai-3286_180_taiga-5	Tai-3286_180_conifers-17_5354	180	Tai-3286_180_taiga-5_4534	180	0	conifers	taiga	100.0
location	Sal-7dcf_23_conifer-15	Sal-7dcf_23_taiga-22	Sal-7dcf_23_conifer-15_5354	23	Sal-7dcf_23_taiga-22_4534	23	0	conifers	taiga	100.0
location	Eur-ee4d_30_conifers-5	Eur-ee4d_30_parkland-12	Eur-ee4d_30_conifers-5_5354	30	Eur-ee4d_30_parkland-12_4529	30	0	conifers	parkland	100.0
location	Gol-9020_114_conifers-23	Gol-9020_114_mountain-13	Gol-9020_114_conifers-23_5354	114	Gol-9020_114_mountain-13_4527	114	0	conifers	mountains	100.0
location	Pin-a6d8_2_conifer-31	Pin-a6d8_2_mountains-36	Pin-a6d8_2_conifer-31_5354	2	Pin-a6d8_2_mountains-36_4527	2	0	conifers	mountains	100.0
location	Wil-57af_161_pine-25	Wil-57af_161_taiga-31	Wil-57af_161_pine-25_4432	161	Wil-57af_161_taiga-31_4534	161	0	pines	taiga	100.0
location	Eng-0a3a_39_pine-17	Eng-0a3a_39_taiga-11	Eng-0a3a_39_pine-17_4432	39	Eng-0a3a_39_taiga-11_4534	39	0	pines	taiga	100.0
location	Tai-3286_82_conifers-41	Tai-3286_82_taiga-8	Tai-3286_82_conifers-41_5354	82	Tai-3286_82_taiga-8_4534	82	0	conifers	taiga	100.0
location	Tai-3286_91_pine-12	Tai-3286_91_taiga-5	Tai-3286_91_pine-12_4432	91	Tai-3286_91_taiga-5_4534	91	0	pines	taiga	100.0
location	Bla-b48c_36_conifer-15	Bla-b48c_36_Mountains-31	Bla-b48c_36_conifer-15_5354	36	Bla-b48c_36_Mountains-31_1366	36	0	conifers	Mountains	100.0
location	Red-e311_115_conifer-16	Red-e311_115_Mountains-8	Red-e311_115_conifer-16_5354	115	Red-e311_115_Mountains-8_1366	115	0	conifers	Mountains	100.0
location	Red-e311_115_conifer-16	Red-e311_115_Mountains-29	Red-e311_115_conifer-16_5354	115	Red-e311_115_Mountains-29_1366	115	0	conifers	Mountains	100.0
location	Pin-a6d8_2_conifer-31	Pin-a6d8_2_Mountains-62	Pin-a6d8_2_conifer-31_5354	2	Pin-a6d8_2_Mountains-62_1366	2	0	conifers	Mountains	100.0
location	Wil-3cbf_51_conifer-8	Wil-3cbf_51_Mountains-19	Wil-3cbf_51_conifer-8_5354	51	Wil-3cbf_51_Mountains-19_1366	51	0	conifers	Mountains	100.0
location	Tai-3286_55_conifers-66	Tai-3286_55_taiga-6	Tai-3286_55_conifers-66_5354	55	Tai-3286_55_taiga-6_4534	55	0	conifers	taiga	100.0
location	Tai-3286_74_conifers-23	Tai-3286_74_taiga-7	Tai-3286_74_conifers-23_5354	74	Tai-3286_74_taiga-7_4534	74	0	conifers	taiga	100.0
location	Tai-3286_55_pine-21	Tai-3286_55_taiga-6	Tai-3286_55_pine-21_4432	55	Tai-3286_55_taiga-6_4534	55	0	pines	taiga	100.0
location	Con-7997_194_Conifers-1	Con-7997_194_taiga-15	Con-7997_194_Conifers-1_3091	194	Con-7997_194_taiga-15_4534	194	0	Conifers	taiga	100.0
location	Tai-3286_7_pines-30	Tai-3286_7_taiga-2	Tai-3286_7_pines-30_4432	7	Tai-3286_7_taiga-2_4534	7	0	pines	taiga	100.0
location	Con-7997_194_Conifers-1	Con-7997_194_mountains-28	Con-7997_194_Conifers-1_3091	194	Con-7997_194_mountains-28_4527	194	0	Conifers	mountains	100.0
location	Tai-3286_7_pines-30	Tai-3286_7_taiga-26	Tai-3286_7_pines-30_4432	7	Tai-3286_7_taiga-26_4534	7	0	pines	taiga	100.0
location	Tai-3286_7_pines-30	Tai-3286_7_taiga-13	Tai-3286_7_pines-30_4432	7	Tai-3286_7_taiga-13_4534	7	0	pines	taiga	100.0
location	Tai-3286_107_pine-9	Tai-3286_107_taiga-19	Tai-3286_107_pine-9_4432	107	Tai-3286_107_taiga-19_4534	107	0	pines	taiga	100.0
location	Tai-3286_7_pines-21	Tai-3286_7_taiga-42	Tai-3286_7_pines-21_4432	7	Tai-3286_7_taiga-42_4534	7	0	pines	taiga	100.0
location	Tai-3286_107_pine-9	Tai-3286_107_taiga-16	Tai-3286_107_pine-9_4432	107	Tai-3286_107_taiga-16_4534	107	0	pines	taiga	100.0
location	Tai-3286_7_pines-21	Tai-3286_7_taiga-2	Tai-3286_7_pines-21_4432	7	Tai-3286_7_taiga-2_4534	7	0	pines	taiga	100.0
location	Tai-3286_7_pines-21	Tai-3286_7_taiga-13	Tai-3286_7_pines-21_4432	7	Tai-3286_7_taiga-13_4534	7	0	pines	taiga	100.0
location	Tai-3286_2_pines-28	Tai-3286_2_Taiga-1	Tai-3286_2_pines-28_4432	2	Tai-3286_2_Taiga-1_1373	2	0	pines	Taiga	100.0
location	Tai-3286_101_pine-23	Tai-3286_101_taiga-16	Tai-3286_101_pine-23_4432	101	Tai-3286_101_taiga-16_4534	101	0	pines	taiga	100.0
location	Tai-3286_7_pines-21	Tai-3286_7_taiga-26	Tai-3286_7_pines-21_4432	7	Tai-3286_7_taiga-26_4534	7	0	pines	taiga	100.0
location	Tai-3286_91_pine-12	Tai-3286_91_taiga-24	Tai-3286_91_pine-12_4432	91	Tai-3286_91_taiga-24_4534	91	0	pines	taiga	100.0
location	Pin-c005_2_longaeva-2	Pin-c005_2_mountains-37	Pin-c005_2_longaeva-2_3094	2	Pin-c005_2_mountains-37_4527	2	0	Pinus longaeva	mountains	87.0
location	Pin-c005_2_pine-31	Pin-c005_2_mountains-37	Pin-c005_2_pine-31_3096	2	Pin-c005_2_mountains-37_4527	2	0	Western bristlecone pine	mountains	83.0
location	Pin-c005_2_pine-16	Pin-c005_2_mountains-37	Pin-c005_2_pine-16_3096	2	Pin-c005_2_mountains-37_4527	2	0	Western bristlecone pine	mountains	83.0
location	Pin-c005_2_pine-12	Pin-c005_2_mountains-37	Pin-c005_2_pine-12_3096	2	Pin-c005_2_mountains-37_4527	2	0	Western bristlecone pine	mountains	83.0
location	Pin-c005_2_pine-21	Pin-c005_2_mountains-37	Pin-c005_2_pine-21_3096	2	Pin-c005_2_mountains-37_4527	2	0	Western bristlecone pine	mountains	83.0
location	Bot-5a32_69_pine-25	Bot-5a32_69_forest-20	Bot-5a32_69_pine-25_4432	69	Bot-5a32_69_forest-20_4538	69	0	pines	tropical coniferous forest	66.0
location	Bot-5a32_69_pine-25	Bot-5a32_69_forest-23	Bot-5a32_69_pine-25_4432	69	Bot-5a32_69_forest-23_4538	69	0	pines	tropical coniferous forest	66.0
location	Tai-3286_164_pine-23	Tai-3286_165_Taiga-1	Tai-3286_164_pine-23_4432	164	Tai-3286_165_Taiga-1_1373	165	1	pines	Taiga	50.0
location	Con-7997_11_conifers-2	Con-7997_10_mountains-28	Con-7997_11_conifers-2_5354	11	Con-7997_10_mountains-28_4527	10	1	conifers	mountains	50.0
location	Tai-3286_91_pine-12	Tai-3286_92_Taiga-1	Tai-3286_91_pine-12_4432	91	Tai-3286_92_Taiga-1_1373	92	1	pines	Taiga	50.0
location	Tai-3286_2_pines-28	Tai-3286_1_Taiga-1	Tai-3286_2_pines-28_4432	2	Tai-3286_1_Taiga-1_1373	1	1	pines	Taiga	50.0
location	Tem-9c2f_13_sequoia-11	Tem-9c2f_14_forest-3	Tem-9c2f_13_sequoia-11_5459	13	Tem-9c2f_14_forest-3_4536	14	1	giant sequoia	coniferous forest	50.0
location	Con-7997_60_conifers-16	Con-7997_61_mountain-21	Con-7997_60_conifers-16_5354	60	Con-7997_61_mountain-21_4527	61	1	conifers	mountains	50.0
location	Con-7997_9_conifers-11	Con-7997_10_mountains-28	Con-7997_9_conifers-11_5354	9	Con-7997_10_mountains-28_4527	10	1	conifers	mountains	50.0
location	Rho-ff03_16_conifers-45	Rho-ff03_15_mountain-9	Rho-ff03_16_conifers-45_5354	16	Rho-ff03_15_mountain-9_4527	15	1	conifers	mountains	50.0
