,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Aar-5e58_113_ant-7,ant,Ant#family,amod>,african,ADJ,5,amod> ...,0.32661390390519845,-0.2870501850767676,Hymenoptera__order,free_topic,1,79
4,Aarec7c_6_ants-25,ants,Ant#family,nmod<case>,on,ADP,21,nmod<case> on,0.4350104938939215,-0.3957517029619342,Hymenoptera__order,free_topic,1,79
4,Acc-0f45_117_wasps-20,wasps,Vespidae#family,nmod<case>,of,ADP,15,nmod<case> of,0.4445375648627755,-0.3277472480801753,Hymenoptera__order,free_topic,1,79
0,Aes-3859_34_ants-3,ants,Ant#family,amod>,false,ADJ,1,amod> ...,0.186346421450984,-0.12050318450169678,Hymenoptera__order,free_topic,1,79
12,Ani-4d8b_83_bees-31,bees,Apidae#family,amod>,older,ADJ,30,amod> ...,0.18600737402645384,-0.06600911157311506,Hymenoptera__order,free_topic,1,79
6,Ani-57f1_218_ants-11,ants,Ant#family,amod>,more,ADJ,10,amod> ...,0.2921558298266068,-0.07572188446508178,Hymenoptera__order,free_topic,1,79
12,Ant-f910_2_ants-24,ants,Ant#family,amod>,eat,VERB,23,amod> ...,0.4658269843200961,-0.1313296347602288,Hymenoptera__order,free_topic,1,79
7,Ant83a9_10_ants-12,ants,Ant#family,amod>,rare,ADJ,11,amod> ...,0.3040899578744257,-0.19840872527228218,Hymenoptera__order,free_topic,1,79
2,Aph-1a7e_13_ants-4,ants,Ant#family,amod>,dairying,VERB,3,amod> ...,0.24093509450801426,-0.17118220041397955,Hymenoptera__order,free_topic,1,79
4,Arm-5913_100_wasps-9,wasps,Vespidae#family,amod>,parasitoid,ADJ,8,amod> parasitoid,0.577930734906882,-0.17576176790407788,Hymenoptera__order,free_topic,1,79
9,Ase-acb4_146_wasp-17,wasp,Vespidae#family,amod>,parasitoid,ADJ,16,amod> parasitoid,0.577930734906882,-0.17576176790407788,Hymenoptera__order,free_topic,1,79
15,Asi-8957_112_hornet-18,hornet,European_hornet#species,nmod<nsubj<conj>,state,VERB,31,nmod<nsubj<conj> ...,0.02081027850745539,-0.16820270130556766,Hymenoptera__order,free_topic,1,79
0,Bee-ace3_104_bees-3,bees,Apidae#family,amod>,true,ADJ,1,amod> ...,0.5393764772714451,-0.2380062433961485,Hymenoptera__order,free_topic,1,79
6,Bla-1ce1_126_being-13,being,Apidae#family,amod>,first,ADJ,12,amod> ...,0.1274287374986214,-0.09978913024301041,Hymenoptera__order,free_topic,1,79
12,Cha-1a30_161_wasps-20,wasps,Vespidae#family,parataxis>,form,VERB,26,parataxis> ...,0.5154307454712128,-0.1610632029693172,Hymenoptera__order,free_topic,1,79
4,Cic-663f_151_wasp-19,wasp,Vespidae#family,nmod<case>,as,ADP,8,nmod<case> ...,0.285274473738769,-0.3144473252491543,Hymenoptera__order,free_topic,1,79
8,Cic-663f_169_wasp-13,wasp,Vespidae#family,amod>,australian,ADJ,10,amod> ...,0.4225987034392917,-0.3070729686421211,Hymenoptera__order,free_topic,1,79
1,Coc01f6_1_wasp-3,wasp,Vespidae#family,amod>,parasitic,ADJ,2,amod> parasitic,0.569222558719444,-0.22722481363905078,Hymenoptera__order,free_topic,1,79
0,Dan-d300_18_wasps-2,wasps,Vespidae#family,amod>,numerous,ADJ,1,amod> ...,0.5820899911362742,-0.22691382059901935,Hymenoptera__order,free_topic,1,79
6,Des-78ef_116_wasps-10,wasps,Vespidae#family,amod>,predatory,ADJ,9,amod> predatory,0.4160057303327112,-0.17776228751102835,Hymenoptera__order,free_topic,1,79
5,Dra-48f6_118_ants-15,ants,Ant#family,amod>,fly,VERB,14,amod> ...,0.25259389210952976,-0.06666973281653993,Hymenoptera__order,free_topic,1,79
4,Eur-0e68_100_hornet-18,hornet,European_hornet#species,amod>,european,ADJ,17,amod> ...,0.32984854217967946,-0.29040493834157677,Hymenoptera__order,free_topic,1,79
2,Eur-2860_5_ants-12,ants,Ant#family,nmod<case>,of,ADP,7,nmod<case> of,0.4445375648627755,-0.3277472480801753,Hymenoptera__order,free_topic,1,79
4,Flo-338d_166_bees-10,bees,Apidae#family,amod>,female,ADJ,9,amod> female,-0.09775042300477517,0.07276980488085028,Hymenoptera__order,free_topic,1,79
0,For5f16_3_ants-2,ants,Ant#family,amod>,Wood,ADJ,1,amod> ...,-0.021575156655990822,-0.18304887291819674,Hymenoptera__order,free_topic,1,79
7,Forbe64_6_ants-12,ants,Ant#family,amod>,rare,ADJ,11,amod> ...,0.3040899578744257,-0.19840872527228218,Hymenoptera__order,free_topic,1,79
4,Fro-2392_423_wasps-14,wasps,Vespidae#family,amod>,nearby,ADJ,12,amod> ...,0.1972413051437759,-0.06518987158762002,Hymenoptera__order,free_topic,1,79
5,Fro-2392_423_wasps-14,wasps,Vespidae#family,amod>,predatory,ADJ,13,amod> predatory,0.4160057303327112,-0.17776228751102835,Hymenoptera__order,free_topic,1,79
9,Gia-bc1d_45_being-36,being,Apidae#family,amod>,human,ADJ,35,amod> ...,0.1612922443805032,-0.1722366599739975,Hymenoptera__order,free_topic,1,79
6,Gree128_6_ant-9,ant,Ant#family,amod>,favourite,ADJ,8,amod> ...,0.4064042785137323,-0.19869730336538444,Hymenoptera__order,free_topic,1,79
7,Hel-87b2_39_being-18,being,Apidae#family,amod>,simplest,ADJ,17,amod> ...,0.3377287121090053,-0.08197138308203575,Hymenoptera__order,free_topic,1,79
4,Hem-78f3_180_ant-7,ant,Ant#family,amod>,yellow,ADJ,5,amod> ...,0.16056009543243913,-0.03942907828779628,Hymenoptera__order,free_topic,1,79
8,Mee-4cdd_75_ants-26,ants,Ant#family,nmod<case>,such,ADJ,18,nmod<case> ...,0.15985953943973985,-0.36324247606154236,Hymenoptera__order,free_topic,1,79
0,Mon-6a24_372_wasps-2,wasps,Vespidae#family,amod>,Pteromalid,ADJ,1,amod> ...,0.37578261903462495,-0.18722033856219528,Hymenoptera__order,free_topic,1,79
14,Mur-6918_48_being-74,being,Apidae#family,amod>,rest,ADJ,73,amod> ...,0.33978904058261383,-0.027161003273739825,Hymenoptera__order,free_topic,1,79
7,Oak-f2b6_154_wasps-14,wasps,Vespidae#family,amod>,parasitoid,ADJ,13,amod> parasitoid,0.577930734906882,-0.17576176790407788,Hymenoptera__order,free_topic,1,79
5,Oph-1439_6_bees-24,bees,Apidae#family,nmod<case>,to,ADP,19,nmod<case> to,0.5132203639091046,-0.30708519494672415,Hymenoptera__order,free_topic,1,79
6,Ophb6aa_3_bees-8,bees,Apidae#family,amod>,female,ADJ,7,amod> female,-0.09775042300477517,0.07276980488085028,Hymenoptera__order,free_topic,1,79
7,Orc5d52_13_bees-11,bees,Apidae#family,amod>,male,ADJ,10,amod> male,-0.11992981830980509,0.048506921094394764,Hymenoptera__order,free_topic,1,79
6,Par-5c6e_162_bees-11,bees,Apidae#family,amod>,domesticated,ADJ,9,amod> ...,0.3613118905993794,-0.2689565543385437,Hymenoptera__order,free_topic,1,79
4,Par-b275_36_Hymenoptera-6,Hymenoptera,Hymenoptera#order,amod>,social,ADJ,5,amod> ...,0.03623264085684347,-0.12048861087783945,Hymenoptera__order,free_topic,1,79
3,Par-e8bc_104_wasps-5,wasps,Vespidae#family,amod>,parasitoid,ADJ,4,amod> parasitoid,0.577930734906882,-0.17576176790407788,Hymenoptera__order,free_topic,1,79
