	kldiv	group	g_N
kldiv_adaptation_comment	1.3236252216659499	Hymenoptera__order	1988
kldiv_adaptation_topic	0.9124439357680968	Hymenoptera__order	1988
kldiv_free_topic	0.13847541866537438	Hymenoptera__order	1988
kldiv_location_comment	2.729536457057522	Hymenoptera__order	1988
kldiv_location_topic	1.917200276720474	Hymenoptera__order	1988
kldiv_taxongroup_comment	0.4412611236916078	Hymenoptera__order	1988
kldiv_taxongroup_topic	0.4490360948180868	Hymenoptera__order	1988
