rel_role	adaptation_comment	adaptation_topic	free_topic	location_comment	location_topic	taxongroup_comment	taxongroup_topic	group	N
adaptation_comment	1.0	0.08	0.003	0.138	0.031	0.0	0.0	Hymenoptera__order	114
adaptation_topic	0.08	1.0	0.0	0.055	0.068	0.0	0.0	Hymenoptera__order	169
free_topic	0.003	0.0	1.0	0.053	0.024	0.0	0.0	Hymenoptera__order	900
location_comment	0.138	0.055	0.053	1.0	0.098	0.004	0.003	Hymenoptera__order	19
location_topic	0.031	0.068	0.024	0.098	1.0	0.001	0.001	Hymenoptera__order	36
taxongroup_comment	0.0	0.0	0.0	0.004	0.001	1.0	0.001	Hymenoptera__order	367
taxongroup_topic	0.0	0.0	0.0	0.003	0.001	0.001	1.0	Hymenoptera__order	383
