relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Com07fd_2_bat-9	Com07fd_3_rainforest-11	Com07fd_2_bat-9_1913	2	Com07fd_3_rainforest-11_3811	3	1	Common blossom bat	rainforest	50.0
location	Com07fd_2_bats-3	Com07fd_3_rainforest-11	Com07fd_2_bats-3_1913	2	Com07fd_3_rainforest-11_3811	3	1	Common blossom bat	rainforest	50.0
location	Com-a11e_13_bat-3	Com-a11e_12_rainforests-7	Com-a11e_13_bat-3_1913	13	Com-a11e_12_rainforests-7_3811	12	1	Common blossom bat	rainforest	50.0
location	Com-a11e_13_bat-3	Com-a11e_15_rainforest-6	Com-a11e_13_bat-3_4795	13	Com-a11e_15_rainforest-6_3811	15	2	common blossom bat	rainforest	33.333
location	Com-a11e_9_bat-3	Com-a11e_12_rainforests-7	Com-a11e_9_bat-3_4795	9	Com-a11e_12_rainforests-7_3811	12	3	common blossom bat	rainforest	25.0
location	Bat-2d5b_285_brasiliensis-11	Bat-2d5b_263_deserts-16	Bat-2d5b_285_brasiliensis-11_2847	285	Bat-2d5b_263_deserts-16_34	263	22	Tadarida brasiliensis	Desert	3.783
location	Bat-2d5b_234_bat-22	Bat-2d5b_263_deserts-16	Bat-2d5b_234_bat-22_2846	234	Bat-2d5b_263_deserts-16_34	263	29	Mexican free-tailed bat	Desert	2.667
location	Bat-2d5b_234_bat-17	Bat-2d5b_263_deserts-16	Bat-2d5b_234_bat-17_2846	234	Bat-2d5b_263_deserts-16_3805	263	29	Mexican free-tailed bat	desert	2.667
location	Meg-fd01_353_bat-19	Meg-fd01_323_rainforests-20	Meg-fd01_353_bat-19_2728	353	Meg-fd01_323_rainforests-20_3811	323	30	Little long-fingered bat	rainforest	2.129
location	Mam-3742_525_rotundus-22	Mam-3742_596_rainforest-36	Mam-3742_525_rotundus-22_1964	525	Mam-3742_596_rainforest-36_3811	596	71	Desmodus rotundus	rainforest	1.208
location	Mam-3742_525_bat-19	Mam-3742_596_rainforest-36	Mam-3742_525_bat-19_4822	525	Mam-3742_596_rainforest-36_3811	596	71	vampire bat	rainforest	1.153
adaptation	Com-8568_28_bats-3	Com-8568_28_hibernation-12	Com-8568_28_bats-3_4812	28	Com-8568_28_hibernation-12_338	28	0	noctule bat	Hibernation	100.0
adaptation	Bat-2d5b_362_bat-17	Bat-2d5b_362_social-26	Bat-2d5b_362_bat-17_4821	362	Bat-2d5b_362_social-26_3788	362	0	common vampire bat	social	100.0
