relation	btoken	rtoken	btag	bloc	rtag	rloc	rdist	bterm	rterm	tagscore
location	Dol-b828_10_spider-46	Dol-b828_10_bogs-38	Dol-b828_10_spider-46_4865	10	Dol-b828_10_bogs-38_4511	10	0	raft spiders	bog	100.0
location	Cro-4b5e_147_crab-9	Cro-4b5e_147_reef-20	Cro-4b5e_147_crab-9_5092	147	Cro-4b5e_147_reef-20_4532	147	0	hermit crabs	reefs	100.0
location	Dol-b828_70_spider-4	Dol-b828_70_bog-15	Dol-b828_70_spider-4_4865	70	Dol-b828_70_bog-15_4511	70	0	raft spiders	bog	100.0
location	Dol-b828_10_spider-29	Dol-b828_10_bogs-38	Dol-b828_10_spider-29_4865	10	Dol-b828_10_bogs-38_4511	10	0	raft spiders	bog	100.0
location	Dolc856_8_spider-9	Dolc856_8_marshes-29	Dolc856_8_spider-9_4865	8	Dolc856_8_marshes-29_3807	8	0	raft spiders	marsh	100.0
location	Sol-e070_77_Solifugae-2	Sol-e070_77_deserts-14	Sol-e070_77_Solifugae-2_3355	77	Sol-e070_77_deserts-14_3805	77	0	Solifugae	desert	87.0
location	Dol-b828_61_spider-6	Dol-b828_61_lakes-15	Dol-b828_61_spider-6_4867	61	Dol-b828_61_lakes-15_4522	61	0	fishing spiders	lakes and ponds	83.0
location	Her-fb77_159_crab-33	Her-fb77_158_reef-6	Her-fb77_159_crab-33_5092	159	Her-fb77_158_reef-6_4532	158	1	hermit crabs	reefs	50.0
location	Her-fb77_159_crab-43	Her-fb77_158_reef-6	Her-fb77_159_crab-43_5092	159	Her-fb77_158_reef-6_4532	158	1	hermit crabs	reefs	50.0
location	Her-fb77_157_crabs-6	Her-fb77_158_reef-6	Her-fb77_157_crabs-6_5092	157	Her-fb77_158_reef-6_4532	158	1	hermit crabs	reefs	50.0
location	Her-fb77_159_crab-24	Her-fb77_158_reef-6	Her-fb77_159_crab-24_5092	159	Her-fb77_158_reef-6_4532	158	1	hermit crabs	reefs	50.0
location	Dol-b828_71_spider-4	Dol-b828_70_bog-15	Dol-b828_71_spider-4_4865	71	Dol-b828_70_bog-15_4511	70	1	raft spiders	bog	50.0
location	Sol-e070_100_Solifugae-22	Sol-e070_99_desert-29	Sol-e070_100_Solifugae-22_3355	100	Sol-e070_99_desert-29_3805	99	1	Solifugae	desert	43.5
location	Dol-b828_9_Dolomedes-2	Dol-b828_10_bogs-38	Dol-b828_9_Dolomedes-2_2050	9	Dol-b828_10_bogs-38_4511	10	1	Dolomedes	bog	43.5
location	Dol-b828_69_Dolomedes-2	Dol-b828_70_bog-15	Dol-b828_69_Dolomedes-2_2050	69	Dol-b828_70_bog-15_4511	70	1	Dolomedes	bog	43.5
location	Tid-b2db_86_crabs-2	Tid-b2db_88_zone-8	Tid-b2db_86_crabs-2_2525	86	Tid-b2db_88_zone-8_4521	88	2	Hermit crabs	intertidal zone	33.333
location	Her-fb77_156_crabs-2	Her-fb77_158_reef-6	Her-fb77_156_crabs-2_2525	156	Her-fb77_158_reef-6_4532	158	2	Hermit crabs	reefs	33.333
location	Tar-bf27_19_tarantulas-6	Tar-bf27_21_desert-16	Tar-bf27_19_tarantulas-6_4198	19	Tar-bf27_21_desert-16_34	21	2	tarantulas	Desert	33.333
location	Tar-bf27_19_tarantulas-6	Tar-bf27_21_rainforest-14	Tar-bf27_19_tarantulas-6_4198	19	Tar-bf27_21_rainforest-14_3811	21	2	tarantulas	rainforest	33.333
location	Sol0749_7_spiders-6	Sol0749_9_deserts-15	Sol0749_7_spiders-6_5489	7	Sol0749_9_deserts-15_34	9	2	camel spiders	Desert	33.333
location	Sol-e070_77_Solifugae-2	Sol-e070_75_desert-11	Sol-e070_77_Solifugae-2_3355	77	Sol-e070_75_desert-11_34	75	2	Solifugae	Desert	29.0
location	Dol-b828_12_Dolomedes-1	Dol-b828_10_bogs-38	Dol-b828_12_Dolomedes-1_2050	12	Dol-b828_10_bogs-38_4511	10	2	Dolomedes	bog	29.0
location	Dol-b828_72_Dolomedes-1	Dol-b828_70_bog-15	Dol-b828_72_Dolomedes-1_2050	72	Dol-b828_70_bog-15_4511	70	2	Dolomedes	bog	29.0
location	Dol-b828_59_Dolomedes-1	Dol-b828_61_lakes-15	Dol-b828_59_Dolomedes-1_2050	59	Dol-b828_61_lakes-15_4522	61	2	Dolomedes	lakes and ponds	29.0
location	Six-3725_35_spider-5	Six-3725_33_lakes-8	Six-3725_35_spider-5_2052	35	Six-3725_33_lakes-8_4522	33	2	Fishing spiders	lakes and ponds	27.667
location	Dol-b828_61_spider-6	Dol-b828_63_bog-5	Dol-b828_61_spider-6_2052	61	Dol-b828_63_bog-5_4511	63	2	Fishing spiders	bog	27.667
location	Dolc856_5_spider-15	Dolc856_8_marshes-29	Dolc856_5_spider-15_4865	5	Dolc856_8_marshes-29_3807	8	3	raft spiders	marsh	25.0
location	Tid-b2db_85_crab-5	Tid-b2db_88_zone-8	Tid-b2db_85_crab-5_5092	85	Tid-b2db_88_zone-8_4521	88	3	hermit crabs	intertidal zone	25.0
location	Her-fb77_155_crab-2	Her-fb77_158_reef-6	Her-fb77_155_crab-2_2525	155	Her-fb77_158_reef-6_4532	158	3	Hermit crabs	reefs	25.0
location	Her-fb77_161_crabs-2	Her-fb77_158_reef-6	Her-fb77_161_crabs-2_2525	161	Her-fb77_158_reef-6_4532	158	3	Hermit crabs	reefs	25.0
location	Dol-b828_67_Dolomedes-1	Dol-b828_70_bog-15	Dol-b828_67_Dolomedes-1_2050	67	Dol-b828_70_bog-15_4511	70	3	Dolomedes	bog	21.75
location	Dol-b828_13_Dolomedes-1	Dol-b828_10_bogs-38	Dol-b828_13_Dolomedes-1_2050	13	Dol-b828_10_bogs-38_4511	10	3	Dolomedes	bog	21.75
location	Dol-b828_79_Dolomedes-1	Dol-b828_76_wetlands-19	Dol-b828_79_Dolomedes-1_2050	79	Dol-b828_76_wetlands-19_4542	76	3	Dolomedes	wetlands	21.75
location	Six-3725_36_spider-3	Six-3725_33_lakes-8	Six-3725_36_spider-3_2052	36	Six-3725_33_lakes-8_4522	33	3	Fishing spiders	lakes and ponds	20.75
location	Six-3725_30_spider-5	Six-3725_33_lakes-8	Six-3725_30_spider-5_2052	30	Six-3725_33_lakes-8_4522	33	3	Fishing spiders	lakes and ponds	20.75
location	Sol-e070_95_spider-6	Sol-e070_99_desert-29	Sol-e070_95_spider-6_5489	95	Sol-e070_99_desert-29_3805	99	4	camel spiders	desert	20.0
location	Tid-b2db_84_crab-5	Tid-b2db_88_zone-8	Tid-b2db_84_crab-5_2525	84	Tid-b2db_88_zone-8_4521	88	4	Hermit crabs	intertidal zone	20.0
location	Spi-b4d6_267_tarantulas-9	Spi-b4d6_271_desert-12	Spi-b4d6_267_tarantulas-9_4198	267	Spi-b4d6_271_desert-12_34	271	4	tarantulas	Desert	20.0
location	Sol-e070_95_spider-21	Sol-e070_99_desert-29	Sol-e070_95_spider-21_5489	95	Sol-e070_99_desert-29_3805	99	4	camel spiders	desert	20.0
location	Sol0749_5_spiders-2	Sol0749_9_deserts-15	Sol0749_5_spiders-2_3354	5	Sol0749_9_deserts-15_34	9	4	Camel spiders	Desert	20.0
location	Tid-b2db_84_crab-5	Tid-b2db_80_zone-3	Tid-b2db_84_crab-5_2525	84	Tid-b2db_80_zone-3_4521	80	4	Hermit crabs	intertidal zone	20.0
location	Tar-bf27_17_tarantula-10	Tar-bf27_21_desert-16	Tar-bf27_17_tarantula-10_4198	17	Tar-bf27_21_desert-16_3805	21	4	tarantulas	desert	20.0
location	Tar-bf27_17_tarantula-10	Tar-bf27_21_rainforest-14	Tar-bf27_17_tarantula-10_4198	17	Tar-bf27_21_rainforest-14_3811	21	4	tarantulas	rainforest	20.0
location	Her-fb77_162_crab-2	Her-fb77_158_reef-6	Her-fb77_162_crab-2_2525	162	Her-fb77_158_reef-6_4532	158	4	Hermit crabs	reefs	20.0
location	Dol-b828_67_Dolomedes-1	Dol-b828_63_bog-5	Dol-b828_67_Dolomedes-1_2050	67	Dol-b828_63_bog-5_4511	63	4	Dolomedes	bog	17.4
