token	relrole	arcpath	lemma	upos	widx	token
Ang0262_6_predators-2	adaptation_comment	amod>	pass	ADJ	1	Ang0262_6_predators-2
Ang0262_6_predators-2	adaptation_comment	acl:relcl>nsubj>	who	PRON	3	Ang0262_6_predators-2
Ang0262_6_predators-2	adaptation_comment	acl:relcl>	think	VERB	4	Ang0262_6_predators-2
Ang0262_6_predators-2	adaptation_comment	acl:relcl>ccomp>nsubj>	they	PRON	5	Ang0262_6_predators-2
Ang0262_6_predators-2	adaptation_comment	acl:relcl>ccomp>aux>	have	AUX	6	Ang0262_6_predators-2
Ang0262_6_predators-2	adaptation_comment	acl:relcl>ccomp>	find	VERB	7	Ang0262_6_predators-2
Ang0262_6_predators-2	adaptation_comment	acl:relcl>ccomp>ccomp>	need	VERB	12	Ang0262_6_predators-2
Fro-21e4_6_predators-7	adaptation_comment	nmod<det>	the	DET	1	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	nmod<compound>	camouflage	NOUN	2	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	nmod<	aids	NOUN	3	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	nmod<nmod>case>	in	ADP	4	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	nmod<nmod>	protection	NOUN	5	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	case>	from	ADP	6	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	nmod<conj>cc>	and	CCONJ	8	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	nmod<conj>	enable	VERB	9	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	nmod<conj>obj>	they	PRON	10	Fro-21e4_6_predators-7
Fro-21e4_6_predators-7	adaptation_comment	nmod<conj>xcomp>	lure	VERB	12	Fro-21e4_6_predators-7
Fro-21e4_8_camouflage-5	adaptation_comment	obl<mark>	in	SCONJ	1	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	obl<	keep	VERB	2	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	case>	with	ADP	3	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	det>	this	DET	4	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	obl<advcl<aux>	frogfish	AUX	7	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	obl<advcl<advmod>	typically	ADV	8	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	obl<advcl<	move	VERB	9	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	obl<advcl<advmod>	slowly	ADV	10	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	obl<advcl<advcl>	lie	VERB	12	Fro-21e4_8_camouflage-5
Fro-21e4_8_camouflage-5	adaptation_comment	obl<advcl<conj>	strike	VERB	20	Fro-21e4_8_camouflage-5
Fro-21e4_6_camouflage-2	adaptation_comment	compound<det>	the	DET	1	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<	aids	NOUN	3	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<nmod>case>	in	ADP	4	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<nmod>	protection	NOUN	5	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<nmod>case>	from	ADP	6	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<nmod>	predator	NOUN	7	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<conj>cc>	and	CCONJ	8	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<conj>	enable	VERB	9	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<conj>obj>	they	PRON	10	Fro-21e4_6_camouflage-2
Fro-21e4_6_camouflage-2	adaptation_comment	compound<conj>xcomp>	lure	VERB	12	Fro-21e4_6_camouflage-2
Fro-21e4_5_camouflage-20	adaptation_comment	obl<acl<obl<	cover	VERB	11	Fro-21e4_5_camouflage-20
Fro-21e4_5_camouflage-20	adaptation_comment	obl<acl<case>	in	ADP	12	Fro-21e4_5_camouflage-20
Fro-21e4_5_camouflage-20	adaptation_comment	obl<acl<	spinule	NOUN	13	Fro-21e4_5_camouflage-20
Fro-21e4_5_camouflage-20	adaptation_comment	obl<acl<conj>	appendage	NOUN	16	Fro-21e4_5_camouflage-20
Fro-21e4_5_camouflage-20	adaptation_comment	obl<mark>	to	PART	17	Fro-21e4_5_camouflage-20
