	kldiv	group	g_N
kldiv_adaptation_comment	1.2221537462520178	Rodent__order	2182
kldiv_adaptation_topic	0.7340301102478244	Rodent__order	2182
kldiv_free_topic	0.17166449406952194	Rodent__order	2182
kldiv_location_comment	1.4265613823243934	Rodent__order	2182
kldiv_location_topic	0.7732839013763054	Rodent__order	2182
kldiv_taxongroup_comment	0.49162076795760734	Rodent__order	2182
kldiv_taxongroup_topic	0.49337756428702373	Rodent__order	2182
