s	p	o
Atlantic_spotted_dolphin#species	wo:adaptation	Vivipary#adaptation
Atlantic_spotted_dolphin#species	wo:class	Mammal#class
Atlantic_spotted_dolphin#species	wo:family	Oceanic_dolphin#family
Atlantic_spotted_dolphin#species	wo:genus	Stenella#genus
Atlantic_spotted_dolphin#species	wo:growsIn	Neritic_zone#habitat
Atlantic_spotted_dolphin#species	wo:growsIn	Pelagic#habitat
Atlantic_spotted_dolphin#species	wo:kingdom	Animal#kingdom
Atlantic_spotted_dolphin#species	wo:livesIn	Neritic_zone#habitat
Atlantic_spotted_dolphin#species	wo:livesIn	Pelagic#habitat
Atlantic_spotted_dolphin#species	wo:name	Atlantic_spotted_dolphin#name
Atlantic_spotted_dolphin#species	wo:order	Cetacea#order
Atlantic_spotted_dolphin#species	wo:phylum	Chordate#phylum
Atlantic_spotted_dolphin#species	wo:superorder	Cetartiodactyla#superorder
Atta_genus#genus	rdf:type	wo:Genus
Atta_genus#genus	wo:family	Ant#family
Atta_genus#genus	rdf:type	wo:Genus
Atta_genus#genus	wo:adaptation	Antipredator_adaptation#adaptation
Atta_genus#genus	wo:adaptation	Eusociality#adaptation
Atta_genus#genus	wo:adaptation	Haptic_perception#adaptation
Atta_genus#genus	wo:adaptation	Herbivore#adaptation
Atta_genus#genus	wo:adaptation	Metamorphosis#adaptation
Atta_genus#genus	wo:adaptation	Oviparity#adaptation
Atta_genus#genus	wo:adaptation	Polymorphism_biology#adaptation
Atta_genus#genus	wo:adaptation	Semiochemical#adaptation
Atta_genus#genus	wo:class	Insect#class
Atta_genus#genus	wo:family	Ant#family
Atta_genus#genus	wo:kingdom	Animal#kingdom
Atta_genus#genus	wo:livesIn	Tropical_and_subtropical_coniferous_forests#habitat
Atta_genus#genus	wo:livesIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Atta_genus#genus	wo:name	Atta_genus#name
Atta_genus#genus	wo:order	Hymenoptera#order
Atta_genus#genus	wo:phylum	Arthropod#phylum
Auk#family	wo:adaptation	Aquatic_locomotion#adaptation
Auk#family	wo:adaptation	Carnivore#adaptation
Auk#family	wo:adaptation	Flight#adaptation
Auk#family	wo:adaptation	Oviparity#adaptation
Auk#family	wo:adaptation	Predation#adaptation
Auk#family	wo:class	Bird#class
Auk#family	wo:kingdom	Animal#kingdom
Auk#family	wo:livesIn	Coast#habitat
Auk#family	wo:livesIn	Neritic_zone#habitat
Auk#family	wo:name	Auk#name
Auk#family	wo:order	Charadriiformes#order
Auk#family	wo:phylum	Chordate#phylum
Auk#family	rdf:type	wo:Family
Auk#family	wo:order	Charadriiformes#order
Aurelia_aurita#species	rdf:type	wo:Species
Aurelia_aurita#species	wo:class	Jellyfish#class
Aurelia_aurita#species	rdf:type	wo:Species
Aurelia_aurita#species	wo:phylum	Cnidaria#phylum
Aurelia_aurita#species	rdf:type	wo:Species
Aurelia_aurita#species	wo:adaptation	Antipredator_adaptation#adaptation
Aurelia_aurita#species	wo:adaptation	Aquatic_locomotion#adaptation
Aurelia_aurita#species	wo:adaptation	Carnivore#adaptation
Aurelia_aurita#species	wo:adaptation	Colony_biology#adaptation
Aurelia_aurita#species	wo:adaptation	Maternal_effect#adaptation
Aurelia_aurita#species	wo:adaptation	Predation#adaptation
Aurelia_aurita#species	wo:adaptation	Sessility_zoology#adaptation
Aurelia_aurita#species	wo:adaptation	Venom#adaptation
Aurelia_aurita#species	wo:class	Jellyfish#class
Aurelia_aurita#species	wo:ecozone	Nearctic_ecozone#ecozone
Aurelia_aurita#species	wo:ecozone	Palearctic_ecozone#ecozone
Aurelia_aurita#species	wo:family	Ulmaridae#family
Aurelia_aurita#species	wo:genus	Aurelia_genus#genus
Aurelia_aurita#species	wo:growsIn	Brackish#habitat
Aurelia_aurita#species	wo:growsIn	Coast#habitat
Aurelia_aurita#species	wo:growsIn	Estuary#habitat
Aurelia_aurita#species	wo:growsIn	Intertidal_zone#habitat
Aurelia_aurita#species	wo:growsIn	Neritic_zone#habitat
Aurelia_aurita#species	wo:growsIn	Pelagic#habitat
Aurelia_aurita#species	wo:growsIn	Reef#habitat
Aurelia_aurita#species	wo:kingdom	Animal#kingdom
Aurelia_aurita#species	wo:livesIn	Brackish#habitat
Aurelia_aurita#species	wo:livesIn	Coast#habitat
Aurelia_aurita#species	wo:livesIn	Estuary#habitat
Aurelia_aurita#species	wo:livesIn	Intertidal_zone#habitat
Aurelia_aurita#species	wo:livesIn	Neritic_zone#habitat
Aurelia_aurita#species	wo:livesIn	Pelagic#habitat
Aurelia_aurita#species	wo:livesIn	Reef#habitat
Aurelia_aurita#species	wo:name	Aurelia_aurita#name
Aurelia_aurita#species	wo:order	Semaeostomeae#order
Aurelia_aurita#species	wo:phylum	Cnidaria#phylum
Aurochs#species	rdf:type	wo:Species
Aurochs#species	wo:family	Bovid#family
Aurochs#species	rdf:type	wo:Species
Aurochs#species	wo:adaptation	Altricial#adaptation
Aurochs#species	wo:adaptation	Dominance_hierarchy#adaptation
Aurochs#species	wo:adaptation	Hearing_sense#adaptation
Aurochs#species	wo:adaptation	Herbivore#adaptation
Aurochs#species	wo:adaptation	Maternal_effect#adaptation
Aurochs#species	wo:adaptation	Presociality#adaptation
Aurochs#species	wo:adaptation	Running#adaptation
Aurochs#species	wo:adaptation	Semiochemical#adaptation
Aurochs#species	wo:adaptation	Sexual_dimorphism#adaptation
Aurochs#species	wo:adaptation	Visual_perception#adaptation
Aurochs#species	wo:adaptation	Vivipary#adaptation
Aurochs#species	wo:class	Mammal#class
Aurochs#species	wo:family	Bovid#family
Aurochs#species	wo:genus	Bos#genus
Aurochs#species	wo:growsIn	Arable_land#habitat
Aurochs#species	wo:kingdom	Animal#kingdom
Aurochs#species	wo:livesIn	Arable_land#habitat
Aurochs#species	wo:name	Aurochs#name
Aurochs#species	wo:order	Even-toed_ungulate#order
Aurochs#species	wo:phylum	Chordate#phylum
Aurochs#species	wo:superorder	Cetartiodactyla#superorder
Australian_Giant_Cuttlefish#species	rdf:type	wo:Species
Australian_Giant_Cuttlefish#species	wo:genus	Sepia_genus#genus
Australian_Giant_Cuttlefish#species	rdf:type	wo:Species
Australian_Giant_Cuttlefish#species	wo:adaptation	Ambush_predator#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Aquatic_locomotion#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Camouflage#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Carnivore#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Courtship_display#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Oviparity#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Polygyny#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Predation#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Semelparity_and_iteroparity#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Spawn_biology#adaptation
Australian_Giant_Cuttlefish#species	wo:adaptation	Visual_perception#adaptation
Australian_Giant_Cuttlefish#species	wo:class	Cephalopod#class
Australian_Giant_Cuttlefish#species	wo:ecozone	Indomalaya_ecozone#ecozone
Australian_Giant_Cuttlefish#species	wo:family	Sepiidae#family
Australian_Giant_Cuttlefish#species	wo:genus	Sepia_genus#genus
Australian_Giant_Cuttlefish#species	wo:growsIn	Neritic_zone#habitat
Australian_Giant_Cuttlefish#species	wo:kingdom	Animal#kingdom
Australian_Giant_Cuttlefish#species	wo:livesIn	Neritic_zone#habitat
Australian_Giant_Cuttlefish#species	wo:name	Australian_Giant_Cuttlefish#name
Australian_Giant_Cuttlefish#species	wo:order	Cuttlefish#order
Australian_Giant_Cuttlefish#species	wo:phylum	Mollusca#phylum
Australopithecus#genus	rdf:type	wo:Genus
Australopithecus#genus	wo:family	Hominidae#family
Australopithecus#genus	rdf:type	wo:Genus
Australopithecus#genus	wo:adaptation	Altricial#adaptation
Australopithecus#genus	wo:adaptation	Animal_cognition#adaptation
Australopithecus#genus	wo:adaptation	Haptic_perception#adaptation
Australopithecus#genus	wo:adaptation	Hearing_sense#adaptation
Australopithecus#genus	wo:adaptation	Maternal_effect#adaptation
Australopithecus#genus	wo:adaptation	Presociality#adaptation
Australopithecus#genus	wo:adaptation	Running#adaptation
Australopithecus#genus	wo:adaptation	Sexual_dimorphism#adaptation
Australopithecus#genus	wo:adaptation	Tool_use_by_animals#adaptation
Australopithecus#genus	wo:adaptation	Visual_perception#adaptation
Australopithecus#genus	wo:adaptation	Vivipary#adaptation
Australopithecus#genus	wo:class	Mammal#class
Australopithecus#genus	wo:family	Hominidae#family
Australopithecus#genus	wo:kingdom	Animal#kingdom
Australopithecus#genus	wo:name	Australopithecus#name
Australopithecus#genus	wo:order	Primate#order
Australopithecus#genus	wo:phylum	Chordate#phylum
Australovenator#genus	rdf:type	wo:Genus
Australovenator#genus	wo:adaptation	Carnivore#adaptation
Australovenator#genus	wo:adaptation	Oviparity#adaptation
Australovenator#genus	wo:adaptation	Predation#adaptation
Australovenator#genus	wo:adaptation	Running#adaptation
Australovenator#genus	wo:adaptation	Scavenger#adaptation
Australovenator#genus	wo:class	Reptile#class
Australovenator#genus	wo:family	Neovenatoridae#family
Australovenator#genus	wo:kingdom	Animal#kingdom
Australovenator#genus	wo:name	Australovenator#name
Australovenator#genus	wo:order	Saurischia#order
Australovenator#genus	wo:phylum	Chordate#phylum
Australovenator#genus	wo:suborder	Theropoda#suborder
Australovenator#genus	wo:superorder	Dinosaur#superorder
Australovenator#genus	rdf:type	wo:Genus
Australovenator#genus	wo:suborder	Theropoda#suborder
Austropotamobius_pallipes#species	rdf:type	wo:Species
Austropotamobius_pallipes#species	wo:order	Decapoda#order
Austropotamobius_pallipes#species	rdf:type	wo:Species
Austropotamobius_pallipes#species	wo:adaptation	Altricial#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Antipredator_adaptation#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Courtship_display#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Maternal_effect#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Moulting#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Nocturnality#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Oviparity#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Scavenger#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Semiochemical#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Sexual_dimorphism#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Territory_animal#adaptation
Austropotamobius_pallipes#species	wo:adaptation	Visual_perception#adaptation
Austropotamobius_pallipes#species	wo:class	Malacostraca#class
Austropotamobius_pallipes#species	wo:ecozone	Palearctic_ecozone#ecozone
Austropotamobius_pallipes#species	wo:family	Astacidae#family
Austropotamobius_pallipes#species	wo:genus	Austropotamobius#genus
Austropotamobius_pallipes#species	wo:growsIn	Lake#habitat
Austropotamobius_pallipes#species	wo:growsIn	River#habitat
Austropotamobius_pallipes#species	wo:kingdom	Animal#kingdom
Austropotamobius_pallipes#species	wo:livesIn	Lake#habitat
Austropotamobius_pallipes#species	wo:livesIn	River#habitat
Austropotamobius_pallipes#species	wo:name	Austropotamobius_pallipes#name
Austropotamobius_pallipes#species	wo:order	Decapoda#order
Austropotamobius_pallipes#species	wo:phylum	Arthropod#phylum
Aye-aye#species	rdf:type	wo:Species
Aye-aye#species	wo:infraorder	Lemur#infraorder
Aye-aye#species	rdf:type	wo:Species
Aye-aye#species	wo:adaptation	Altricial#adaptation
Aye-aye#species	wo:adaptation	Arboreal_locomotion#adaptation
Aye-aye#species	wo:adaptation	Climbing#adaptation
Aye-aye#species	wo:adaptation	Dominance_hierarchy#adaptation
Aye-aye#species	wo:adaptation	Nocturnality#adaptation
Aye-aye#species	wo:adaptation	Semiochemical#adaptation
Aye-aye#species	wo:adaptation	Vivipary#adaptation
Aye-aye#species	wo:class	Mammal#class
Aye-aye#species	wo:ecozone	Afrotropic_ecozone#ecozone
Aye-aye#species	wo:growsIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Aye-aye#species	wo:growsIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Aye-aye#species	wo:infraorder	Lemur#infraorder
Aye-aye#species	wo:kingdom	Animal#kingdom
Aye-aye#species	wo:livesIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Aye-aye#species	wo:livesIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Aye-aye#species	wo:name	Aye-aye#name
Aye-aye#species	wo:order	Primate#order
Aye-aye#species	wo:phylum	Chordate#phylum
Baboon#genus	rdf:type	wo:Genus
Baboon#genus	wo:family	Old_World_monkey#family
Baboon#genus	wo:class	Mammal#class
Baboon#genus	wo:family	Old_World_monkey#family
Baboon#genus	wo:kingdom	Animal#kingdom
Baboon#genus	wo:name	Baboon#name
Baboon#genus	wo:order	Primate#order
Baboon#genus	wo:phylum	Chordate#phylum
Bactrian_Camel#species	rdf:type	wo:Species
Bactrian_Camel#species	wo:genus	Camel#genus
Bactrian_Camel#species	rdf:type	wo:Species
Bactrian_Camel#species	wo:adaptation	Desiccation_tolerance#adaptation
Bactrian_Camel#species	wo:adaptation	Halotolerance#adaptation
Bactrian_Camel#species	wo:adaptation	Herbivore#adaptation
Bactrian_Camel#species	wo:adaptation	Nomad#adaptation
Bactrian_Camel#species	wo:adaptation	Polygyny#adaptation
Bactrian_Camel#species	wo:adaptation	Precocial#adaptation
Bactrian_Camel#species	wo:adaptation	Presociality#adaptation
Bactrian_Camel#species	wo:adaptation	Psychrophile#adaptation
Bactrian_Camel#species	wo:adaptation	Running#adaptation
Bactrian_Camel#species	wo:adaptation	Thermophile#adaptation
Bactrian_Camel#species	wo:adaptation	Vivipary#adaptation
Bactrian_Camel#species	wo:class	Mammal#class
Bactrian_Camel#species	wo:ecozone	Palearctic_ecozone#ecozone
Bactrian_Camel#species	wo:family	Camelid#family
Bactrian_Camel#species	wo:genus	Camel#genus
Bactrian_Camel#species	wo:growsIn	Deserts_and_xeric_shrublands#habitat
Bactrian_Camel#species	wo:kingdom	Animal#kingdom
Bactrian_Camel#species	wo:livesIn	Deserts_and_xeric_shrublands#habitat
Bactrian_Camel#species	wo:name	Bactrian_Camel#name
Bactrian_Camel#species	wo:order	Even-toed_ungulate#order
Bactrian_Camel#species	wo:phylum	Chordate#phylum
Bactrian_Camel#species	wo:superorder	Cetartiodactyla#superorder
Baikal_Seal#species	rdf:type	wo:Species
Baikal_Seal#species	wo:genus	Pusa#genus
Baikal_Seal#species	rdf:type	wo:Species
Baikal_Seal#species	wo:adaptation	Aquatic_locomotion#adaptation
Baikal_Seal#species	wo:adaptation	Carnivore#adaptation
Baikal_Seal#species	wo:adaptation	Hearing_sense#adaptation
Baikal_Seal#species	wo:adaptation	Maternal_effect#adaptation
Baikal_Seal#species	wo:adaptation	Moulting#adaptation
Baikal_Seal#species	wo:adaptation	Nocturnality#adaptation
Baikal_Seal#species	wo:adaptation	Polygyny#adaptation
Baikal_Seal#species	wo:adaptation	Predation#adaptation
Baikal_Seal#species	wo:adaptation	Psychrophile#adaptation
Baikal_Seal#species	wo:adaptation	Vivipary#adaptation
Baikal_Seal#species	wo:class	Mammal#class
Baikal_Seal#species	wo:ecozone	Palearctic_ecozone#ecozone
Baikal_Seal#species	wo:family	Earless_seal#family
Baikal_Seal#species	wo:genus	Pusa#genus
Baikal_Seal#species	wo:growsIn	Lake#habitat
Baikal_Seal#species	wo:growsIn	River#habitat
Baikal_Seal#species	wo:kingdom	Animal#kingdom
Baikal_Seal#species	wo:livesIn	Lake#habitat
Baikal_Seal#species	wo:livesIn	River#habitat
Baikal_Seal#species	wo:name	Baikal_Seal#name
Baikal_Seal#species	wo:order	Carnivora#order
Baikal_Seal#species	wo:phylum	Chordate#phylum
Baikal_Seal#species	wo:superfamily	Pinniped#superfamily
Balaenidae#family	wo:adaptation	Animal_migration#adaptation
Balaenidae#family	wo:adaptation	Aquatic_locomotion#adaptation
Balaenidae#family	wo:adaptation	Hearing_sense#adaptation
Balaenidae#family	wo:adaptation	Visual_perception#adaptation
Balaenidae#family	wo:adaptation	Vivipary#adaptation
Balaenidae#family	wo:class	Mammal#class
Balaenidae#family	wo:kingdom	Animal#kingdom
Balaenidae#family	wo:livesIn	Pelagic#habitat
Balaenidae#family	wo:name	Balaenidae#name
Balaenidae#family	wo:order	Cetacea#order
Balaenidae#family	wo:phylum	Chordate#phylum
Balaenidae#family	wo:superorder	Cetartiodactyla#superorder
Balaenidae#family	rdf:type	wo:Family
Balaenidae#family	wo:order	Cetacea#order
Balaenoptera#genus	rdf:type	wo:Genus
Balaenoptera#genus	wo:family	Rorqual#family
Balaenoptera#genus	wo:adaptation	Aquatic_locomotion#adaptation
Balaenoptera#genus	wo:adaptation	Hearing_sense#adaptation
Balaenoptera#genus	wo:adaptation	Predation#adaptation
Balaenoptera#genus	wo:adaptation	Vivipary#adaptation
Balaenoptera#genus	wo:class	Mammal#class
Balaenoptera#genus	wo:family	Rorqual#family
Balaenoptera#genus	wo:kingdom	Animal#kingdom
Balaenoptera#genus	wo:livesIn	Deep_sea#habitat
Balaenoptera#genus	wo:livesIn	Pelagic#habitat
Balaenoptera#genus	wo:name	Balaenoptera#name
Balaenoptera#genus	wo:order	Cetacea#order
Balaenoptera#genus	wo:phylum	Chordate#phylum
Balaenoptera#genus	wo:superorder	Cetartiodactyla#superorder
Bald_Uakari#species	rdf:type	wo:Species
Bald_Uakari#species	wo:family	Pitheciidae#family
Bald_Uakari#species	rdf:type	wo:Species
Bald_Uakari#species	wo:adaptation	Arboreal_locomotion#adaptation
Bald_Uakari#species	wo:adaptation	Climbing#adaptation
Bald_Uakari#species	wo:adaptation	Hearing_sense#adaptation
Bald_Uakari#species	wo:adaptation	Herbivore#adaptation
Bald_Uakari#species	wo:adaptation	Maternal_effect#adaptation
Bald_Uakari#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Bald_Uakari#species	wo:adaptation	Presociality#adaptation
Bald_Uakari#species	wo:adaptation	Territory_animal#adaptation
Bald_Uakari#species	wo:adaptation	Visual_perception#adaptation
Bald_Uakari#species	wo:adaptation	Vivipary#adaptation
Bald_Uakari#species	wo:class	Mammal#class
Bald_Uakari#species	wo:ecozone	Neotropic_ecozone#ecozone
Bald_Uakari#species	wo:family	Pitheciidae#family
Bald_Uakari#species	wo:genus	Uakari#genus
Bald_Uakari#species	wo:growsIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Bald_Uakari#species	wo:kingdom	Animal#kingdom
Bald_Uakari#species	wo:livesIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Bald_Uakari#species	wo:name	Bald_Uakari#name
Bald_Uakari#species	wo:order	Primate#order
Bald_Uakari#species	wo:phylum	Chordate#phylum
Bamboo#tribe	rdf:type	wo:Tribe
Bamboo#tribe	wo:family	Poaceae#family
Bamboo#tribe	rdf:type	wo:Tribe
Bamboo#tribe	wo:order	Poales#order
Bamboo#tribe	rdf:type	wo:Tribe
Bamboo#tribe	wo:adaptation	Flower#adaptation
Bamboo#tribe	wo:adaptation	Semelparity_and_iteroparity#adaptation
Bamboo#tribe	wo:adaptation	Visual_perception#adaptation
Bamboo#tribe	wo:class	Monocotyledon#class
Bamboo#tribe	wo:family	Poaceae#family
Bamboo#tribe	wo:growsIn	Tropical_and_subtropical_coniferous_forests#habitat
Bamboo#tribe	wo:growsIn	Tropical_and_subtropical_dry_broadleaf_forests#habitat
Bamboo#tribe	wo:growsIn	Tropical_and_subtropical_moist_broadleaf_forests#habitat
Bamboo#tribe	wo:kingdom	Plant#kingdom
Bamboo#tribe	wo:name	Bamboo#name
Bamboo#tribe	wo:order	Poales#order
Bamboo#tribe	wo:phylum	Flowering_plant#phylum
Banded_Demoiselle#species	rdf:type	wo:Species
Banded_Demoiselle#species	wo:order	Odonata#order
Banded_Demoiselle#species	rdf:type	wo:Species
Banded_Demoiselle#species	wo:adaptation	Aquatic_locomotion#adaptation
Banded_Demoiselle#species	wo:adaptation	Carnivore#adaptation
Banded_Demoiselle#species	wo:adaptation	Courtship_display#adaptation
Banded_Demoiselle#species	wo:adaptation	Flight#adaptation
Banded_Demoiselle#species	wo:adaptation	Metamorphosis#adaptation
Banded_Demoiselle#species	wo:adaptation	Moulting#adaptation
Banded_Demoiselle#species	wo:adaptation	Nocturnality#adaptation
Banded_Demoiselle#species	wo:adaptation	Oviparity#adaptation
Banded_Demoiselle#species	wo:adaptation	Predation#adaptation
Banded_Demoiselle#species	wo:adaptation	Sexual_dimorphism#adaptation
Banded_Demoiselle#species	wo:adaptation	Territory_animal#adaptation
Banded_Demoiselle#species	wo:adaptation	Visual_perception#adaptation
Banded_Demoiselle#species	wo:class	Insect#class
Banded_Demoiselle#species	wo:ecozone	Palearctic_ecozone#ecozone
Banded_Demoiselle#species	wo:family	Calopterygidae#family
Banded_Demoiselle#species	wo:genus	Calopteryx#genus
Banded_Demoiselle#species	wo:growsIn	Lake#habitat
Banded_Demoiselle#species	wo:growsIn	River#habitat
Banded_Demoiselle#species	wo:growsIn	Wetland#habitat
Banded_Demoiselle#species	wo:kingdom	Animal#kingdom
Banded_Demoiselle#species	wo:livesIn	Lake#habitat
Banded_Demoiselle#species	wo:livesIn	River#habitat
Banded_Demoiselle#species	wo:livesIn	Wetland#habitat
Banded_Demoiselle#species	wo:name	Banded_Demoiselle#name
Banded_Demoiselle#species	wo:order	Odonata#order
Banded_Demoiselle#species	wo:phylum	Arthropod#phylum
Banded_Mongoose#species	rdf:type	wo:Species
Banded_Mongoose#species	wo:family	Mongoose#family
Banded_Mongoose#species	rdf:type	wo:Species
Banded_Mongoose#species	wo:adaptation	Altricial#adaptation
Banded_Mongoose#species	wo:adaptation	Antipredator_adaptation#adaptation
Banded_Mongoose#species	wo:adaptation	Cooperative_breeding#adaptation
Banded_Mongoose#species	wo:adaptation	Hearing_sense#adaptation
Banded_Mongoose#species	wo:adaptation	Nomad#adaptation
Banded_Mongoose#species	wo:adaptation	Presociality#adaptation
Banded_Mongoose#species	wo:adaptation	Running#adaptation
Banded_Mongoose#species	wo:adaptation	Vivipary#adaptation
Banded_Mongoose#species	wo:class	Mammal#class
Banded_Mongoose#species	wo:ecozone	Afrotropic_ecozone#ecozone
Banded_Mongoose#species	wo:family	Mongoose#family
Banded_Mongoose#species	wo:growsIn	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
Banded_Mongoose#species	wo:kingdom	Animal#kingdom
Banded_Mongoose#species	wo:livesIn	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
Banded_Mongoose#species	wo:name	Banded_Mongoose#name
Banded_Mongoose#species	wo:order	Carnivora#order
Banded_Mongoose#species	wo:phylum	Chordate#phylum
Banded_penguin#genus	rdf:type	wo:Genus
Banded_penguin#genus	wo:family	Penguin#family
Banded_penguin#genus	wo:class	Bird#class
Banded_penguin#genus	wo:family	Penguin#family
Banded_penguin#genus	wo:kingdom	Animal#kingdom
Banded_penguin#genus	wo:name	Banded_penguin#name
Banded_penguin#genus	wo:phylum	Chordate#phylum
Barbary_macaque#species	rdf:type	wo:Species
Barbary_macaque#species	wo:genus	Macaque#genus
Barbary_macaque#species	rdf:type	wo:Species
Barbary_macaque#species	wo:adaptation	Allomothering#adaptation
Barbary_macaque#species	wo:adaptation	Altricial#adaptation
Barbary_macaque#species	wo:adaptation	Arboreal_locomotion#adaptation
Barbary_macaque#species	wo:adaptation	Climbing#adaptation
Barbary_macaque#species	wo:adaptation	Cooperative_breeding#adaptation
Barbary_macaque#species	wo:adaptation	Dominance_hierarchy#adaptation
Barbary_macaque#species	wo:adaptation	Hearing_sense#adaptation
Barbary_macaque#species	wo:adaptation	Maternal_effect#adaptation
Barbary_macaque#species	wo:adaptation	Polygynandry#adaptation
Barbary_macaque#species	wo:adaptation	Presociality#adaptation
Barbary_macaque#species	wo:adaptation	Semiochemical#adaptation
Barbary_macaque#species	wo:adaptation	Territory_animal#adaptation
Barbary_macaque#species	wo:adaptation	Visual_perception#adaptation
Barbary_macaque#species	wo:adaptation	Vivipary#adaptation
Barbary_macaque#species	wo:class	Mammal#class
Barbary_macaque#species	wo:ecozone	Palearctic_ecozone#ecozone
Barbary_macaque#species	wo:family	Old_World_monkey#family
Barbary_macaque#species	wo:genus	Macaque#genus
Barbary_macaque#species	wo:growsIn	Ancient_woodland#habitat
Barbary_macaque#species	wo:growsIn	Coast#habitat
Barbary_macaque#species	wo:growsIn	Mountain#habitat
Barbary_macaque#species	wo:growsIn	Temperate_broadleaf_and_mixed_forests#habitat
Barbary_macaque#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Barbary_macaque#species	wo:kingdom	Animal#kingdom
Barbary_macaque#species	wo:livesIn	Ancient_woodland#habitat
Barbary_macaque#species	wo:livesIn	Coast#habitat
Barbary_macaque#species	wo:livesIn	Mountain#habitat
Barbary_macaque#species	wo:livesIn	Temperate_broadleaf_and_mixed_forests#habitat
Barbary_macaque#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Barbary_macaque#species	wo:name	Barbary_macaque#name
Barbary_macaque#species	wo:order	Primate#order
Barbary_macaque#species	wo:phylum	Chordate#phylum
Bar-headed_Goose#species	rdf:type	wo:Species
Bar-headed_Goose#species	wo:family	Anatidae#family
Bar-headed_Goose#species	rdf:type	wo:Species
Bar-headed_Goose#species	wo:adaptation	Animal_migration#adaptation
Bar-headed_Goose#species	wo:adaptation	Flight#adaptation
Bar-headed_Goose#species	wo:adaptation	Hearing_sense#adaptation
Bar-headed_Goose#species	wo:adaptation	Herbivore#adaptation
Bar-headed_Goose#species	wo:adaptation	High_altitude#adaptation
Bar-headed_Goose#species	wo:adaptation	Monogamous_pairing_in_animals#adaptation
Bar-headed_Goose#species	wo:adaptation	Moulting#adaptation
Bar-headed_Goose#species	wo:adaptation	Oviparity#adaptation
Bar-headed_Goose#species	wo:adaptation	Parental_investment#adaptation
Bar-headed_Goose#species	wo:adaptation	Presociality#adaptation
Bar-headed_Goose#species	wo:adaptation	Psychrophile#adaptation
Bar-headed_Goose#species	wo:adaptation	Visual_perception#adaptation
Bar-headed_Goose#species	wo:class	Bird#class
Bar-headed_Goose#species	wo:ecozone	Indomalaya_ecozone#ecozone
Bar-headed_Goose#species	wo:ecozone	Palearctic_ecozone#ecozone
Bar-headed_Goose#species	wo:family	Anatidae#family
Bar-headed_Goose#species	wo:genus	Anser_genus#genus
Bar-headed_Goose#species	wo:growsIn	Montane_grasslands_and_shrublands#habitat
Bar-headed_Goose#species	wo:growsIn	Moorland#habitat
Bar-headed_Goose#species	wo:growsIn	Mountain#habitat
Bar-headed_Goose#species	wo:growsIn	Temperate_grasslands_savannas_and_shrublands#habitat
Bar-headed_Goose#species	wo:growsIn	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
Bar-headed_Goose#species	wo:kingdom	Animal#kingdom
Bar-headed_Goose#species	wo:livesIn	Montane_grasslands_and_shrublands#habitat
Bar-headed_Goose#species	wo:livesIn	Moorland#habitat
Bar-headed_Goose#species	wo:livesIn	Mountain#habitat
Bar-headed_Goose#species	wo:livesIn	Temperate_grasslands_savannas_and_shrublands#habitat
Bar-headed_Goose#species	wo:livesIn	Tropical_and_subtropical_grasslands_savannas_and_shrublands#habitat
Bar-headed_Goose#species	wo:name	Bar-headed_Goose#name
Bar-headed_Goose#species	wo:order	Anseriformes#order
Bar-headed_Goose#species	wo:phylum	Chordate#phylum
Barnacle_Goose#species	rdf:type	wo:Species
Barnacle_Goose#species	wo:genus	Branta#genus
Barnacle_Goose#species	rdf:type	wo:Species
Barnacle_Goose#species	wo:adaptation	Animal_migration#adaptation
Barnacle_Goose#species	wo:adaptation	Colony_biology#adaptation
