concept	lang	token	priority	head_lemma	parts
Animal_cognition#adaptation	en	Learning	0	learning NOUN	
Animal_migration#adaptation	en	Migration	0	migration NOUN	
Cooperative_breeding#adaptation	en	Co-operative breeding	0	breeding NOUN	Co-operative ADJ amod> breeding NOUN
Coprophagia#adaptation	en	Dung eater	0	eater NOUN	dung NOUN compound> eater NOUN
Dominance_hierarchy#adaptation	en	Hierarchical	0	hierarchical ADJ	
Hearing_sense#adaptation	en	Acoustic communication	0	communication NOUN	Acoustic ADJ amod> communication NOUN
Herbivore#adaptation	en	Herbivorous	0	Herbivorous PROPN	
Maternal_effect#adaptation	en	Maternal care	0	care NOUN	maternal ADJ amod> care NOUN
Nomad#adaptation	en	Nomadic	0	Nomadic PROPN	
Polygyny#adaptation	en	Polygynous	0	Polygynous PROPN	
Precocial#adaptation	en	Active at birth	0	active NOUN	at ADP case> birth NOUN | birth NOUN nmod> active NOUN
Presociality#adaptation	en	Social	0	social PROPN	
Seed_dispersal#adaptation	en	Seed dispersal	0	dispersal NOUN	seed NOUN compound> dispersal NOUN
Semiochemical#adaptation	en	Chemical communication	0	communication NOUN	Chemical ADJ amod> communication NOUN
Sexual_dimorphism#adaptation	en	Sexual dimorphism	0	dimorphism NOUN	sexual ADJ amod> dimorphism NOUN
Thermophile#adaptation	en	Heat tolerant	0	tolerant NOUN	heat PROPN compound> tolerant NOUN
Tool_use_by_animals#adaptation	en	Tool use	0	use NOUN	tool PROPN compound> use NOUN
Visual_perception#adaptation	en	Visual communication	0	communication NOUN	visual ADJ amod> communication NOUN
Vivipary#adaptation	en	Viviparous	0	Viviparous PROPN	
Mammal#class	en	Mammalia	0	Mammalia PROPN	
Mammal#class	en	Mammals	0	Mammal PROPN	
Mammal#class	en	Mammalia	1	Mammalia PROPN	
Mammal#class	en	Mammals	2	Mammal PROPN	
Afrotropic_ecozone#ecozone	en	Afrotropics	0	Afrotropic NOUN	
Australasia_ecozone#ecozone	en	Australasia	0	Australasia PROPN	
